Genotype,Area
Cultivar_A,16.86
Cultivar_A,13.61
Cultivar_A,19.42
Cultivar_A,15.20
Cultivar_A,19.88
Cultivar_A,15.67
Cultivar_A,13.56
Cultivar_A,16.79
Cultivar_A,18.39
Cultivar_A,17.94
Cultivar_A,17.40
Cultivar_A,15.89
Cultivar_A,13.45
Cultivar_A,12.37
Cultivar_A,19.64
Cultivar_A,12.79
Cultivar_A,12.20
Cultivar_A,13.32
Cultivar_A,16.95
Cultivar_A,16.68
Cultivar_A,13.55
Cultivar_A,13.76
Cultivar_A,15.30
Cultivar_A,18.57
Cultivar_A,14.52
Cultivar_A,15.77
Cultivar_A,13.03
Cultivar_A,16.57
Cultivar_A,14.60
Cultivar_A,17.96
Cultivar_A,13.94
Cultivar_A,20.86
Cultivar_A,19.47
Cultivar_A,17.99
Cultivar_A,13.94
Cultivar_A,13.22
Cultivar_A,14.42
Cultivar_A,18.46
Cultivar_A,12.07
Cultivar_A,19.56
Cultivar_A,21.77
Cultivar_A,12.40
Cultivar_A,18.23
Cultivar_A,12.73
Cultivar_A,15.18
Cultivar_A,14.61
Cultivar_A,11.11
Cultivar_A,19.56
Cultivar_A,13.24
Cultivar_A,14.15
Cultivar_A,18.09
Cultivar_A,11.17
Cultivar_A,16.65
Cultivar_A,15.34
Cultivar_A,13.24
Cultivar_A,18.93
Cultivar_A,13.27
Cultivar_A,16.20
Cultivar_A,20.55
Cultivar_A,12.07
Cultivar_A,12.90
Cultivar_A,14.13
Cultivar_A,16.70
Cultivar_A,14.17
Cultivar_A,17.25
Cultivar_A,14.73
Cultivar_A,14.32
Cultivar_A,17.26
Cultivar_A,14.71
Cultivar_A,13.22
Cultivar_A,12.45
Cultivar_A,16.79
Cultivar_A,17.09
Cultivar_A,13.76
Cultivar_A,15.41
Cultivar_A,18.85
Cultivar_A,16.32
Cultivar_A,13.79
Cultivar_A,17.07
Cultivar_A,15.15
Cultivar_A,13.78
Cultivar_A,15.25
Cultivar_A,18.90
Cultivar_A,13.87
Cultivar_A,18.53
Cultivar_A,14.59
Cultivar_A,12.86
Cultivar_A,14.13
Cultivar_A,20.91
Cultivar_A,21.94
Cultivar_A,20.57
Cultivar_A,13.49
Cultivar_A,15.92
Cultivar_A,16.89
Cultivar_A,19.54
Cultivar_A,11.65
Cultivar_A,19.68
Cultivar_A,11.56
Cultivar_A,13.40
Cultivar_A,16.63
Cultivar_A,18.83
Cultivar_A,14.92
Cultivar_A,16.46
Cultivar_A,15.03
Cultivar_A,21.56
Cultivar_A,21.57
Cultivar_A,19.44
Cultivar_A,15.23
Cultivar_A,13.09
Cultivar_A,15.11
Cultivar_A,15.13
Cultivar_A,11.92
Cultivar_A,18.35
Cultivar_A,11.67
Cultivar_A,19.96
Cultivar_A,16.10
Cultivar_A,12.23
Cultivar_A,18.10
Cultivar_A,19.95
Cultivar_A,13.86
Cultivar_A,20.44
Cultivar_A,20.73
Cultivar_A,13.40
Cultivar_A,22.79
Cultivar_A,21.78
Cultivar_A,21.46
Cultivar_A,11.55
Cultivar_A,23.20
Cultivar_A,18.39
Cultivar_A,20.37
Cultivar_A,22.23
Cultivar_A,21.79
Cultivar_A,17.58
Cultivar_A,21.31
Cultivar_A,21.94
Cultivar_A,20.57
Cultivar_A,22.29
Cultivar_A,13.78
Cultivar_A,21.37
Cultivar_A,18.51
Cultivar_A,18.73
Cultivar_A,24.45
Cultivar_A,19.47
Cultivar_A,17.17
Cultivar_A,19.40
Cultivar_A,18.35
Cultivar_A,19.05
Cultivar_A,18.50
Cultivar_A,15.92
Cultivar_A,20.73
Cultivar_A,16.18
Cultivar_A,16.26
Cultivar_A,17.72
Cultivar_A,20.12
Cultivar_A,19.29
Cultivar_A,19.22
Cultivar_A,19.74
Cultivar_A,20.35
Cultivar_A,21.11
Cultivar_A,22.31
Cultivar_A,18.98
Cultivar_A,22.72
Cultivar_A,17.36
Cultivar_A,15.21
Cultivar_A,21.66
Cultivar_A,16.83
Cultivar_A,20.75
Cultivar_A,16.20
Cultivar_A,15.67
Cultivar_A,16.65
Cultivar_A,14.55
Cultivar_A,23.88
Cultivar_A,19.93
Cultivar_A,19.59
Cultivar_A,21.92
Cultivar_A,21.21
Cultivar_A,17.36
Cultivar_A,20.02
Cultivar_A,22.26
Cultivar_A,19.85
Cultivar_A,19.03
Cultivar_A,21.35
Cultivar_A,16.66
Cultivar_A,17.59
Cultivar_A,21.27
Cultivar_A,19.03
Cultivar_A,21.18
Cultivar_A,21.26
Cultivar_A,17.13
Cultivar_A,18.18
Cultivar_A,20.77
Cultivar_A,20.70
Cultivar_A,13.96
Cultivar_A,18.44
Cultivar_A,16.43
Cultivar_A,15.86
Cultivar_A,21.18
Cultivar_A,20.21
Cultivar_A,19.21
Cultivar_A,22.43
Cultivar_A,15.65
Cultivar_A,19.27
Cultivar_A,19.25
Cultivar_A,12.82
Cultivar_A,16.85
Cultivar_A,19.33
Cultivar_A,12.67
Cultivar_A,20.83
Cultivar_A,19.73
Cultivar_A,17.37
Cultivar_A,15.24
Cultivar_A,18.67
Cultivar_A,21.09
Cultivar_A,19.65
Cultivar_A,18.70
Cultivar_A,17.83
Cultivar_A,19.11
Cultivar_A,16.54
Cultivar_A,21.72
Cultivar_A,20.34
Cultivar_A,19.42
Cultivar_A,22.54
Cultivar_A,19.71
Cultivar_A,18.26
Cultivar_A,17.93
Cultivar_A,17.09
Cultivar_A,20.73
Cultivar_A,20.12
Cultivar_A,14.56
Cultivar_A,17.14
Cultivar_A,18.11
Cultivar_A,18.36
Cultivar_A,15.01
Cultivar_A,21.34
Cultivar_A,17.76
Cultivar_A,19.17
Cultivar_A,21.96
Cultivar_A,19.21
Cultivar_A,22.47
Cultivar_A,20.17
Cultivar_A,17.51
Cultivar_A,14.25
Cultivar_A,18.23
Cultivar_A,15.79
Cultivar_A,13.60
Cultivar_A,19.11
Cultivar_A,19.34
Cultivar_A,18.51
Cultivar_A,19.33
Cultivar_A,16.25
Cultivar_A,18.33
Cultivar_A,14.72
Cultivar_A,17.22
Cultivar_A,20.11
Cultivar_A,16.95
Cultivar_A,13.74
Cultivar_A,17.17
Cultivar_A,11.23
Cultivar_A,20.77
Cultivar_A,15.25
Cultivar_A,12.38
Cultivar_A,22.07
Cultivar_A,15.58
Cultivar_A,19.20
Cultivar_A,13.85
Cultivar_A,16.10
Cultivar_A,19.71
Cultivar_A,19.91
Cultivar_A,14.92
Cultivar_A,19.26
Cultivar_A,19.61
Cultivar_A,17.91
Cultivar_A,15.89
Cultivar_A,22.22
Cultivar_A,13.90
Cultivar_A,12.63
Cultivar_A,17.82
Cultivar_A,15.25
Cultivar_A,19.83
Cultivar_A,15.22
Cultivar_A,17.28
Cultivar_A,17.64
Cultivar_A,12.74
Cultivar_A,20.30
Cultivar_A,17.91
Cultivar_A,18.88
Cultivar_A,11.41
Cultivar_A,12.12
Cultivar_A,21.67
Cultivar_A,17.41
Cultivar_A,14.08
Cultivar_A,19.30
Cultivar_A,16.15
Cultivar_A,21.84
Cultivar_A,13.95
Cultivar_A,18.93
Cultivar_A,17.94
Cultivar_A,13.54
Cultivar_A,15.11
Cultivar_A,19.08
Cultivar_A,19.31
Cultivar_A,13.11
Cultivar_A,19.69
Cultivar_A,22.12
Cultivar_A,21.16
Cultivar_A,18.65
Cultivar_A,16.68
Cultivar_A,16.00
Cultivar_A,21.88
Cultivar_A,15.83
Cultivar_A,15.36
Cultivar_A,21.59
Cultivar_A,15.32
Cultivar_A,20.48
Cultivar_A,20.42
Cultivar_A,11.09
Cultivar_A,15.21
Cultivar_A,16.14
Cultivar_A,16.41
Cultivar_A,18.59
Cultivar_A,18.80
Cultivar_A,10.93
Cultivar_A,15.93
Cultivar_A,19.35
Cultivar_A,18.54
Cultivar_A,21.00
Cultivar_A,13.24
Cultivar_A,18.18
Cultivar_A,18.11
Cultivar_A,21.04
Cultivar_A,20.31
Cultivar_A,18.20
Cultivar_A,18.96
Cultivar_A,19.89
Cultivar_A,19.96
Cultivar_A,18.05
Cultivar_A,18.84
Cultivar_A,15.17
Cultivar_A,17.43
Cultivar_A,21.18
Cultivar_A,23.45
Cultivar_A,20.81
Cultivar_A,18.98
Cultivar_A,16.67
Cultivar_A,22.80
Cultivar_A,19.13
Cultivar_A,9.48
Cultivar_A,11.00
Cultivar_A,19.14
Cultivar_A,18.18
Cultivar_A,13.17
Cultivar_A,12.02
Cultivar_A,16.36
Cultivar_A,18.77
Cultivar_A,15.99
Cultivar_A,17.03
Cultivar_A,14.78
Cultivar_A,18.88
Cultivar_A,16.18
Cultivar_A,17.86
Cultivar_A,15.73
Cultivar_A,14.50
Cultivar_A,18.08
Cultivar_A,10.48
Cultivar_A,11.40
Cultivar_A,23.07
Cultivar_A,15.49
Cultivar_A,13.40
Cultivar_A,18.65
Cultivar_A,20.03
Cultivar_A,16.98
Cultivar_A,13.41
Cultivar_A,21.59
Cultivar_A,20.22
Cultivar_A,17.43
Cultivar_A,15.84
Cultivar_A,18.38
Cultivar_A,12.96
Cultivar_A,17.72
Cultivar_A,17.78
Cultivar_A,16.49
Cultivar_A,18.65
Cultivar_A,20.90
Cultivar_A,13.51
Cultivar_A,17.60
Cultivar_A,15.42
Cultivar_A,20.65
Cultivar_A,16.35
Cultivar_A,19.38
Cultivar_A,12.70
Cultivar_A,18.38
Cultivar_A,15.34
Cultivar_A,20.39
Cultivar_A,19.11
Cultivar_A,21.41
Cultivar_A,18.16
Cultivar_A,9.15
Cultivar_A,18.02
Cultivar_A,19.71
Cultivar_A,15.36
Cultivar_A,14.91
Cultivar_A,12.48
Cultivar_A,15.95
Cultivar_A,21.41
Cultivar_A,18.27
Cultivar_A,18.90
Cultivar_A,14.30
Cultivar_A,20.06
Cultivar_A,21.75
Cultivar_A,17.30
Cultivar_A,18.85
Cultivar_A,15.29
Cultivar_A,18.53
Cultivar_A,16.87
Cultivar_A,19.93
Cultivar_A,19.03
Cultivar_A,13.37
Cultivar_A,21.63
Cultivar_A,22.60
Cultivar_A,18.99
Cultivar_A,11.39
Cultivar_A,16.01
Cultivar_A,19.34
Cultivar_A,19.34
Cultivar_A,15.49
Cultivar_A,19.79
Cultivar_A,15.20
Cultivar_A,19.82
Cultivar_A,15.68
Cultivar_A,20.20
Cultivar_A,13.25
Cultivar_A,14.42
Cultivar_A,12.97
Cultivar_A,18.50
Cultivar_A,18.75
Cultivar_A,19.34
Cultivar_A,20.04
Cultivar_A,20.44
Cultivar_A,20.58
Cultivar_A,11.43
Cultivar_A,20.02
Cultivar_A,15.09
Cultivar_A,14.74
Cultivar_A,14.21
Cultivar_A,10.38
Cultivar_A,14.17
Cultivar_A,21.19
Cultivar_A,18.93
Cultivar_A,16.52
Cultivar_A,17.71
Cultivar_A,18.42
Cultivar_A,19.78
Cultivar_A,17.11
Cultivar_A,21.95
Cultivar_A,18.92
Cultivar_A,15.50
Cultivar_A,14.61
Cultivar_A,15.75
Cultivar_A,17.34
Cultivar_A,16.33
Cultivar_A,11.45
Cultivar_A,20.18
Cultivar_A,18.26
Cultivar_A,18.16
Cultivar_A,11.25
Cultivar_A,12.94
Cultivar_A,14.68
Cultivar_A,24.28
Cultivar_A,16.22
Cultivar_A,20.65
Cultivar_A,14.95
Cultivar_A,23.89
Cultivar_A,15.38
Cultivar_A,22.25
Cultivar_A,21.58
Cultivar_A,13.00
Cultivar_A,13.81
Cultivar_A,18.18
Cultivar_A,20.06
Cultivar_A,21.74
Cultivar_A,19.72
Cultivar_A,15.62
Cultivar_A,15.12
Cultivar_A,19.32
Cultivar_A,20.91
Cultivar_A,18.28
Cultivar_A,18.52
Cultivar_A,15.71
Cultivar_A,16.14
Cultivar_A,17.90
Cultivar_A,17.83
Cultivar_A,20.45
Cultivar_A,14.23
Cultivar_A,17.22
Cultivar_A,18.80
Cultivar_A,19.30
Cultivar_A,19.48
Cultivar_A,16.21
Cultivar_A,20.81
Cultivar_A,20.00
Cultivar_A,17.87
Cultivar_A,17.05
Cultivar_A,20.85
Cultivar_A,20.41
Cultivar_A,19.71
Cultivar_A,18.88
Cultivar_A,18.42
Cultivar_A,17.99
Cultivar_A,20.10
Cultivar_A,9.38
Cultivar_A,18.31
Cultivar_A,12.70
Cultivar_A,16.51
Cultivar_A,14.87
Cultivar_A,15.91
Cultivar_A,17.65
Cultivar_A,12.20
Cultivar_A,20.18
Cultivar_A,11.96
Cultivar_A,18.43
Cultivar_A,19.52
Cultivar_A,21.21
Cultivar_A,15.07
Cultivar_A,19.13
Cultivar_A,16.76
Cultivar_A,16.42
Cultivar_A,15.33
Cultivar_A,18.65
Cultivar_A,20.72
Cultivar_A,19.20
Cultivar_A,19.78
Cultivar_A,23.04
Cultivar_A,16.13
Cultivar_A,13.34
Cultivar_A,16.70
Cultivar_A,12.66
Cultivar_A,17.84
Cultivar_A,17.30
Cultivar_A,15.77
Cultivar_A,22.58
Cultivar_A,23.92
Cultivar_A,19.60
Cultivar_A,16.61
Cultivar_A,20.83
Cultivar_A,22.75
Cultivar_A,20.96
Cultivar_A,19.56
Cultivar_A,19.66
Cultivar_A,16.95
Cultivar_A,22.43
Cultivar_A,20.96
Cultivar_A,18.19
Cultivar_A,22.35
Cultivar_A,13.07
Cultivar_A,19.12
Cultivar_A,13.55
Cultivar_A,17.35
Cultivar_A,20.42
Cultivar_A,18.97
Cultivar_A,16.40
Cultivar_A,14.96
Cultivar_A,17.19
Cultivar_A,15.05
Cultivar_A,20.12
Cultivar_A,18.88
Cultivar_A,20.35
Cultivar_A,16.05
Cultivar_A,21.07
Cultivar_A,18.83
Cultivar_A,17.26
Cultivar_A,12.81
Cultivar_A,11.21
Cultivar_A,17.69
Cultivar_A,15.82
Cultivar_A,16.73
Cultivar_A,17.58
Cultivar_A,16.64
Cultivar_A,15.91
Cultivar_A,21.66
Cultivar_A,19.56
Cultivar_A,18.04
Cultivar_A,16.88
Cultivar_A,18.57
Cultivar_A,14.70
Cultivar_A,18.46
Cultivar_A,20.81
Cultivar_A,16.64
Cultivar_A,17.03
Cultivar_A,20.65
Cultivar_A,18.98
Cultivar_A,21.69
Cultivar_A,18.32
Cultivar_A,22.93
Cultivar_A,16.13
Cultivar_A,18.06
Cultivar_A,14.86
Cultivar_A,18.41
Cultivar_A,12.63
Cultivar_A,13.40
Cultivar_A,15.29
Cultivar_A,21.74
Cultivar_A,20.04
Cultivar_A,16.70
Cultivar_A,20.26
Cultivar_A,19.76
Cultivar_A,16.92
Cultivar_A,17.27
Cultivar_A,17.47
Cultivar_A,23.57
Cultivar_A,18.56
Cultivar_A,17.68
Cultivar_A,22.94
Cultivar_A,18.86
Cultivar_A,22.87
Cultivar_A,18.38
Cultivar_A,16.53
Cultivar_A,19.14
Cultivar_A,17.84
Cultivar_A,22.63
Cultivar_A,19.26
Cultivar_A,19.96
Cultivar_A,24.13
Cultivar_A,12.56
Cultivar_A,21.33
Cultivar_A,17.03
Cultivar_A,14.10
Cultivar_A,20.24
Cultivar_A,14.77
Cultivar_A,15.44
Cultivar_A,17.94
Cultivar_A,14.33
Cultivar_A,17.87
Cultivar_A,19.16
Cultivar_A,11.89
Cultivar_A,18.71
Cultivar_A,21.14
Cultivar_A,18.45
Cultivar_A,13.42
Cultivar_A,16.60
Cultivar_A,17.98
Cultivar_A,21.77
Cultivar_A,14.54
Cultivar_A,19.29
Cultivar_A,20.30
Cultivar_A,21.46
Cultivar_A,16.14
Cultivar_A,18.36
Cultivar_A,17.15
Cultivar_A,21.16
Cultivar_A,13.06
Cultivar_A,13.00
Cultivar_A,17.95
Cultivar_A,17.91
Cultivar_A,19.92
Cultivar_A,16.49
Cultivar_A,17.00
Cultivar_A,16.92
Cultivar_A,19.76
Cultivar_A,15.37
Cultivar_A,21.31
Cultivar_A,23.98
Cultivar_A,15.53
Cultivar_A,22.72
Cultivar_A,18.08
Cultivar_A,20.19
Cultivar_A,18.73
Cultivar_A,15.52
Cultivar_A,18.81
Cultivar_A,18.93
Cultivar_A,20.77
Cultivar_A,19.00
Cultivar_A,21.40
Cultivar_A,21.81
Cultivar_A,13.79
Cultivar_A,15.59
Cultivar_A,15.16
Cultivar_A,13.33
Cultivar_A,19.46
Cultivar_A,19.88
Cultivar_A,13.31
Cultivar_A,17.41
Cultivar_A,11.93
Cultivar_A,15.80
Cultivar_A,12.17
Cultivar_A,20.91
Cultivar_A,16.85
Cultivar_A,19.51
Cultivar_A,13.14
Cultivar_A,18.34
Cultivar_A,17.50
Cultivar_A,20.74
Cultivar_A,18.29
Cultivar_A,19.51
Cultivar_A,19.53
Cultivar_A,15.72
Cultivar_A,17.58
Cultivar_A,19.37
Cultivar_A,20.12
Cultivar_A,17.10
Cultivar_A,16.73
Cultivar_A,17.94
Cultivar_A,16.96
Cultivar_A,16.40
Cultivar_A,17.66
Cultivar_A,18.77
Cultivar_A,14.89
Cultivar_A,16.85
Cultivar_A,16.63
Cultivar_A,16.72
Cultivar_A,16.61
Cultivar_A,16.54
Cultivar_A,9.95
Cultivar_A,17.54
Cultivar_A,11.23
Cultivar_A,18.78
Cultivar_A,19.16
Cultivar_A,14.91
Cultivar_A,16.82
Cultivar_A,13.36
Cultivar_A,21.08
Cultivar_A,16.61
Cultivar_A,14.94
Cultivar_A,15.14
Cultivar_A,18.28
Cultivar_A,12.61
Cultivar_A,20.04
Cultivar_A,16.90
Cultivar_A,18.15
Cultivar_A,15.88
Cultivar_A,16.46
Cultivar_A,19.93
Cultivar_A,19.37
Cultivar_A,17.67
Cultivar_A,21.66
Cultivar_A,20.19
Cultivar_A,14.44
Cultivar_A,11.18
Cultivar_A,16.46
Cultivar_A,15.16
Cultivar_A,18.98
Cultivar_A,12.40
Cultivar_A,15.94
Cultivar_A,13.24
Cultivar_A,17.49
Cultivar_A,16.90
Cultivar_A,18.66
Cultivar_A,13.90
Cultivar_A,14.39
Cultivar_A,19.42
Cultivar_A,16.85
Cultivar_A,17.90
Cultivar_A,16.46
Cultivar_A,20.68
Cultivar_A,19.71
Cultivar_A,16.00
Cultivar_A,18.45
Cultivar_A,21.34
Cultivar_A,14.42
Cultivar_A,12.39
Cultivar_A,21.68
Cultivar_A,16.77
Cultivar_A,19.56
Cultivar_A,18.76
Cultivar_A,21.09
Cultivar_A,14.61
Cultivar_A,16.33
Cultivar_A,12.13
Cultivar_A,18.12
Cultivar_A,18.16
Cultivar_A,21.53
Cultivar_A,20.33
Cultivar_A,20.89
Cultivar_A,17.09
Cultivar_A,17.96
Cultivar_A,17.27
Cultivar_A,17.43
Cultivar_A,16.04
Cultivar_A,15.65
Cultivar_A,14.03
Cultivar_A,17.15
Cultivar_A,14.40
Cultivar_A,16.80
Cultivar_A,16.53
Cultivar_A,16.23
Cultivar_A,17.22
Cultivar_A,17.54
Cultivar_A,19.66
Cultivar_A,24.69
Cultivar_A,19.48
Cultivar_A,16.11
Cultivar_A,12.15
Cultivar_A,16.47
Cultivar_A,16.72
Cultivar_A,15.69
Cultivar_A,19.99
Cultivar_A,16.84
Cultivar_A,17.19
Cultivar_A,18.91
Cultivar_A,19.34
Cultivar_A,15.99
Cultivar_A,18.43
Cultivar_A,19.44
Cultivar_A,15.97
Cultivar_A,18.52
Cultivar_A,18.95
Cultivar_A,22.39
Cultivar_A,16.04
Cultivar_A,17.65
Cultivar_A,15.03
Cultivar_A,17.05
Cultivar_A,19.74
Cultivar_A,17.01
Cultivar_A,14.38
Cultivar_A,21.71
Cultivar_A,11.48
Cultivar_A,14.45
Cultivar_A,19.27
Cultivar_A,15.30
Cultivar_A,14.52
Cultivar_A,20.91
Cultivar_A,19.45
Cultivar_A,16.45
Cultivar_A,15.25
Cultivar_A,17.26
Cultivar_A,14.02
Cultivar_A,12.29
Cultivar_A,19.47
Cultivar_A,19.24
Cultivar_A,15.52
Cultivar_A,15.48
Cultivar_A,21.30
Cultivar_A,21.81
Cultivar_A,18.54
Cultivar_A,16.95
Cultivar_A,20.10
Cultivar_A,21.66
Cultivar_A,17.06
Cultivar_A,19.19
Cultivar_A,12.37
Cultivar_A,15.46
Cultivar_A,16.59
Cultivar_A,15.58
Cultivar_A,15.40
Cultivar_A,16.60
Cultivar_A,15.19
Cultivar_A,15.53
Cultivar_A,20.18
Cultivar_A,17.43
Cultivar_A,16.56
Cultivar_A,18.72
Cultivar_A,16.65
Cultivar_A,17.52
Cultivar_A,22.66
Cultivar_A,21.35
Cultivar_A,19.32
Cultivar_A,16.71
Cultivar_A,16.93
Cultivar_A,16.51
Cultivar_A,18.51
Cultivar_A,19.44
Cultivar_A,15.87
Cultivar_A,19.57
Cultivar_A,19.98
Cultivar_A,20.10
Cultivar_A,16.36
Cultivar_A,13.53
Cultivar_A,18.19
Cultivar_A,12.92
Cultivar_A,13.34
Cultivar_A,15.30
Cultivar_A,19.70
Cultivar_A,14.86
Cultivar_A,21.10
Cultivar_A,15.76
Cultivar_A,23.29
Cultivar_A,17.16
Cultivar_A,18.39
Cultivar_A,18.34
Cultivar_A,15.65
Cultivar_A,20.28
Cultivar_A,16.87
Cultivar_A,15.72
Cultivar_A,22.26
Cultivar_A,17.64
Cultivar_A,16.18
Cultivar_A,17.14
Cultivar_A,22.07
Cultivar_A,20.67
Cultivar_A,21.04
Cultivar_A,10.27
Cultivar_A,19.08
Cultivar_A,19.12
