type,genotype,block,heat_stress,ht,agw
Triticum aestivum,cv_1,I,ht,1,54.67
Triticum aestivum,cv_1,I,ht,1,19.3
Triticum aestivum,cv_1,I,ht,1,16.51
Triticum aestivum,cv_1,I,ht,1,30.81
Triticum aestivum,cv_1,I,ht,1,32.49
Triticum aestivum,cv_1,I,ht,1,34.5
Triticum aestivum,cv_1,I,ht,1,29.55
Triticum aestivum,cv_1,I,ht,1,53.24
Triticum aestivum,cv_1,I,ht,1,32.52
Triticum aestivum,cv_1,I,ht,1,33.78
Triticum aestivum,cv_1,I,ht,1,26.08
Triticum aestivum,cv_1,I,ht,1,30.86
Triticum aestivum,cv_1,I,ht,1,29.76
Triticum aestivum,cv_1,I,ht,1,21.1
Triticum aestivum,cv_1,I,ht,1,26.02
Triticum aestivum,cv_1,I,ht,1,23.19
Triticum aestivum,cv_1,I,ht,1,32.41
Triticum aestivum,cv_1,I,ht,1,41.66
Triticum aestivum,cv_1,I,ht,1,17.61
Triticum aestivum,cv_1,I,ht,1,28.19
Triticum aestivum,cv_1,I,ht,1,16.74
Triticum aestivum,cv_1,I,ht,1,33.45
Triticum aestivum,cv_1,I,ht,1,50.79
Triticum aestivum,cv_1,I,ht,1,36.43
Triticum aestivum,cv_1,I,ht,1,24.25
Triticum aestivum,cv_1,I,ht,1,14.19
Triticum aestivum,cv_1,I,ht,1,33.73
Triticum aestivum,cv_1,I,ht,1,41.16
Triticum aestivum,cv_1,I,ht,1,20.81
Triticum aestivum,cv_1,I,ht,1,25.48
Triticum aestivum,cv_1,I,ht,1,43.5
Triticum aestivum,cv_1,I,ht,1,35.03
Triticum aestivum,cv_1,I,ht,1,39.58
Triticum aestivum,cv_1,I,ht,1,25.17
Triticum aestivum,cv_1,I,ht,1,33.78
Triticum aestivum,cv_1,I,ht,1,29.28
Triticum aestivum,cv_1,I,ht,1,31.08
Triticum aestivum,cv_1,I,ht,1,29.23
Triticum aestivum,cv_1,I,ht,1,23.82
Triticum aestivum,cv_1,I,ht,1,37.9
Triticum aestivum,cv_1,I,ht,1,44.44
Triticum aestivum,cv_1,I,ht,1,36.57
Triticum aestivum,cv_1,I,ht,1,26.54
Triticum aestivum,cv_1,I,ht,1,29.79
Triticum aestivum,cv_1,I,ht,1,36.18
Triticum aestivum,cv_1,I,ht,1,35.31
Triticum aestivum,cv_1,I,ht,1,20.85
Triticum aestivum,cv_1,I,ht,1,9.18
Triticum aestivum,cv_1,I,ht,1,25.48
Triticum aestivum,cv_1,I,ht,1,50.92
Triticum aestivum,cv_1,I,ht,1,54.7
Triticum aestivum,cv_1,I,ht,1,40.59
Triticum aestivum,cv_1,I,ht,1,21.08
Triticum aestivum,cv_1,I,ht,1,31.92
Triticum aestivum,cv_1,I,ht,1,34.59
Triticum aestivum,cv_1,I,ht,1,19.59
Triticum aestivum,cv_1,I,ht,1,26.49
Triticum aestivum,cv_1,I,ht,1,39.09
Triticum aestivum,cv_1,I,ht,1,56.91
Triticum aestivum,cv_1,I,ht,1,29.52
Triticum aestivum,cv_1,I,ht,1,30.06
Triticum aestivum,cv_1,I,ht,1,34.17
Triticum aestivum,cv_1,I,ht,1,42.91
Triticum aestivum,cv_1,I,ht,1,35.48
Triticum aestivum,cv_1,I,ht,1,43.85
Triticum aestivum,cv_1,I,ht,1,36.51
Triticum aestivum,cv_1,I,ht,1,28.01
Triticum aestivum,cv_1,I,ht,1,35.23
Triticum aestivum,cv_1,I,ht,1,19.73
Triticum aestivum,cv_1,I,ht,1,23.06
Triticum aestivum,cv_1,I,ht,1,37.42
Triticum aestivum,cv_1,I,ht,1,37.84
Triticum aestivum,cv_1,I,ht,1,21.35
Triticum aestivum,cv_1,I,ht,1,34.25
Triticum aestivum,cv_1,I,ht,1,28.83
Triticum aestivum,cv_1,I,ht,1,23.92
Triticum aestivum,cv_1,I,ht,1,19.83
Triticum aestivum,cv_1,I,ht,1,35.42
Triticum aestivum,cv_1,I,ht,1,47.23
Triticum aestivum,cv_1,I,ht,1,34.06
Triticum aestivum,cv_1,I,ht,1,19.08
Triticum aestivum,cv_1,I,ht,1,38.61
Triticum aestivum,cv_1,I,ht,1,31.4
Triticum aestivum,cv_1,I,ht,1,34.39
Triticum aestivum,cv_1,I,ht,1,39.84
Triticum aestivum,cv_1,I,ht,1,58.48
Triticum aestivum,cv_1,I,ht,1,32.25
Triticum aestivum,cv_1,I,ht,1,32.71
Triticum aestivum,cv_1,I,ht,1,15.43
Triticum aestivum,cv_1,I,ht,1,33.54
Triticum aestivum,cv_1,I,ht,1,21.47
Triticum aestivum,cv_1,I,ht,1,21.1
Triticum aestivum,cv_1,I,ht,1,34.17
Triticum aestivum,cv_1,I,ht,1,16.19
Triticum aestivum,cv_1,I,ht,1,31.19
Triticum aestivum,cv_1,I,ht,1,27.38
Triticum aestivum,cv_1,I,ht,1,31.16
Triticum aestivum,cv_1,I,ht,1,26.62
Triticum aestivum,cv_1,I,ht,1,25.23
Triticum aestivum,cv_1,I,ht,1,44.41
Triticum aestivum,cv_1,I,ht,1,34.5
Triticum aestivum,cv_1,I,ht,1,36.15
Triticum aestivum,cv_1,I,ht,1,28.17
Triticum aestivum,cv_1,I,ht,1,40.93
Triticum aestivum,cv_1,I,ht,1,27.75
Triticum aestivum,cv_1,I,ht,1,30.57
Triticum aestivum,cv_1,I,ht,1,38.27
Triticum aestivum,cv_1,I,ht,1,24.58
Triticum aestivum,cv_1,I,ht,1,46.87
Triticum aestivum,cv_1,I,ht,1,52.94
Triticum aestivum,cv_1,I,ht,1,32.47
Triticum aestivum,cv_1,I,ht,1,37.13
Triticum aestivum,cv_1,I,ht,1,33.87
Triticum aestivum,cv_1,I,ht,1,15.48
Triticum aestivum,cv_1,I,ht,1,28.94
Triticum aestivum,cv_1,I,ht,1,16.23
Triticum aestivum,cv_1,I,ht,1,19.18
Triticum aestivum,cv_1,I,ht,1,25.9
Triticum aestivum,cv_1,I,ht,1,19.42
Triticum aestivum,cv_1,I,ht,1,24.25
Triticum aestivum,cv_1,I,ht,1,28.54
Triticum aestivum,cv_1,I,ht,1,33.65
Triticum aestivum,cv_1,I,ht,1,16.3
Triticum aestivum,cv_1,I,ht,1,42.85
Triticum aestivum,cv_1,I,ht,1,32.71
Triticum aestivum,cv_1,I,ht,1,20.85
Triticum aestivum,cv_1,I,ht,1,29.23
Triticum aestivum,cv_1,I,ht,1,23.82
Triticum aestivum,cv_1,I,ht,1,22.71
Triticum aestivum,cv_1,I,ht,1,26.75
Triticum aestivum,cv_1,I,ht,1,43.44
Triticum aestivum,cv_1,I,ht,1,23.01
Triticum aestivum,cv_1,I,ht,1,41.51
Triticum aestivum,cv_1,I,ht,1,45.68
Triticum aestivum,cv_1,I,ht,1,39.58
Triticum aestivum,cv_1,I,ht,1,30.35
Triticum aestivum,cv_1,I,ht,1,30.16
Triticum aestivum,cv_1,I,ht,1,44.79
Triticum aestivum,cv_1,I,ht,1,41.51
Triticum aestivum,cv_1,I,ht,1,30.24
Triticum aestivum,cv_1,I,ht,1,28.06
Triticum aestivum,cv_1,I,ht,1,27.48
Triticum aestivum,cv_1,I,ht,1,19.64
Triticum aestivum,cv_1,I,ht,1,31.81
Triticum aestivum,cv_1,I,ht,1,35.84
Triticum aestivum,cv_1,I,ht,1,23.72
Triticum aestivum,cv_1,I,ht,1,18.7
Triticum aestivum,cv_1,I,ht,1,34.03
Triticum aestivum,cv_1,I,ht,1,28.7
Triticum aestivum,cv_1,I,ht,1,22.09
Triticum aestivum,cv_1,I,ht,1,17.47
Triticum aestivum,cv_1,I,ht,1,25.35
Triticum aestivum,cv_1,I,ht,1,23.7
Triticum aestivum,cv_1,I,ht,1,18.18
Triticum aestivum,cv_1,I,ht,1,32.68
Triticum aestivum,cv_1,I,ht,1,29.42
Triticum aestivum,cv_1,I,ht,1,21.89
Triticum aestivum,cv_1,I,ht,1,14.35
Triticum aestivum,cv_1,I,ht,1,38.95
Triticum aestivum,cv_1,I,ht,1,37.73
Triticum aestivum,cv_1,I,ht,1,40.87
Triticum aestivum,cv_1,I,ht,1,18.7
Triticum aestivum,cv_1,I,ht,1,31.68
Triticum aestivum,cv_1,I,ht,1,23.9
Triticum aestivum,cv_1,I,ht,1,49.64
Triticum aestivum,cv_1,I,ht,1,27.75
Triticum aestivum,cv_1,I,ht,1,19.56
Triticum aestivum,cv_1,I,ht,1,33.7
Triticum aestivum,cv_1,I,ht,1,31.03
Triticum aestivum,cv_1,I,ht,1,35.39
Triticum aestivum,cv_1,I,ht,1,26.62
Triticum aestivum,cv_1,I,ht,1,13.97
Triticum aestivum,cv_1,I,ht,1,32.77
Triticum aestivum,cv_1,I,ht,1,35.62
Triticum aestivum,cv_1,I,ht,1,30.19
Triticum aestivum,cv_1,I,ht,1,30.14
Triticum aestivum,cv_1,I,ht,1,41.77
Triticum aestivum,cv_1,I,ht,1,21.72
Triticum aestivum,cv_1,I,ht,1,21.4
Triticum aestivum,cv_1,I,ht,1,30.3
Triticum aestivum,cv_1,I,ht,1,34.92
Triticum aestivum,cv_1,I,ht,1,46.66
Triticum aestivum,cv_1,I,ht,1,34.56
Triticum aestivum,cv_1,I,ht,1,35.53
Triticum aestivum,cv_1,I,ht,1,33.37
Triticum aestivum,cv_1,I,ht,1,24.76
Triticum aestivum,cv_1,I,ht,1,28.12
Triticum aestivum,cv_1,I,ht,1,27.38
Triticum aestivum,cv_1,I,ht,1,24.66
Triticum aestivum,cv_1,I,ht,1,43.7
Triticum aestivum,cv_1,I,ht,1,24.02
Triticum aestivum,cv_1,I,ht,1,29.39
Triticum aestivum,cv_1,I,ht,1,23.42
Triticum aestivum,cv_1,I,ht,1,17.21
Triticum aestivum,cv_1,I,ht,1,35.31
Triticum aestivum,cv_1,I,ht,1,48.97
Triticum aestivum,cv_1,I,ht,1,48.19
Triticum aestivum,cv_1,I,ht,1,37.5
Triticum aestivum,cv_1,I,ht,1,17.3
Triticum aestivum,cv_1,I,ht,1,28.04
Triticum aestivum,cv_1,I,ht,1,23.11
Triticum aestivum,cv_1,I,ht,1,33.26
Triticum aestivum,cv_1,I,ht,1,19.06
Triticum aestivum,cv_1,I,ht,1,29.15
Triticum aestivum,cv_1,I,ht,1,32.38
Triticum aestivum,cv_1,I,ht,1,40.64
Triticum aestivum,cv_1,I,ht,1,23.11
Triticum aestivum,cv_1,I,ht,1,31.73
Triticum aestivum,cv_1,I,ht,1,24.33
Triticum aestivum,cv_1,I,ht,1,27.04
Triticum aestivum,cv_1,I,ht,1,30.73
Triticum aestivum,cv_1,I,ht,1,35.73
Triticum aestivum,cv_1,I,ht,1,21.72
Triticum aestivum,cv_1,I,ht,1,26.1
Triticum aestivum,cv_1,I,ht,1,24.81
Triticum aestivum,cv_1,I,ht,1,25.61
Triticum aestivum,cv_1,I,ht,1,21.59
Triticum aestivum,cv_1,I,ht,1,26
Triticum aestivum,cv_1,I,ht,1,49.58
Triticum aestivum,cv_1,I,ht,1,45.12
Triticum aestivum,cv_1,I,ht,1,31.32
Triticum aestivum,cv_1,I,ht,1,33.59
Triticum aestivum,cv_1,I,ht,1,24.1
Triticum aestivum,cv_1,I,ht,1,36.68
Triticum aestivum,cv_1,I,ht,1,37.33
Triticum aestivum,cv_1,I,ht,1,21.79
Triticum aestivum,cv_1,I,ht,1,32.44
Triticum aestivum,cv_1,I,ht,1,36.32
Triticum aestivum,cv_1,I,ht,1,22.74
Triticum aestivum,cv_1,I,ht,1,31.81
Triticum aestivum,cv_1,I,ht,1,34.95
Triticum aestivum,cv_1,I,ht,1,33.65
Triticum aestivum,cv_1,I,ht,1,37.47
Triticum aestivum,cv_1,I,ht,1,37.73
Triticum aestivum,cv_1,I,ht,1,25.2
Triticum aestivum,cv_1,I,ht,1,47.26
Triticum aestivum,cv_1,I,ht,1,27.98
Triticum aestivum,cv_1,I,ht,1,36.46
Triticum aestivum,cv_1,I,ht,1,30.27
Triticum aestivum,cv_1,I,ht,1,43.14
Triticum aestivum,cv_1,I,ht,1,34
Triticum aestivum,cv_1,I,ht,1,29.36
Triticum aestivum,cv_1,I,ht,1,20.1
Triticum aestivum,cv_1,I,ht,1,22.96
Triticum aestivum,cv_1,I,ht,1,20.41
Triticum aestivum,cv_1,I,ht,1,23.64
Triticum aestivum,cv_1,I,ht,1,34.12
Triticum aestivum,cv_1,I,ht,1,28.7
Triticum aestivum,cv_1,I,ht,1,36.82
Triticum aestivum,cv_1,I,ht,1,13.04
Triticum aestivum,cv_1,I,ht,1,30.62
Triticum aestivum,cv_1,I,ht,1,46.18
Triticum aestivum,cv_1,I,ht,1,21.35
Triticum aestivum,cv_1,I,ht,1,50.52
Triticum aestivum,cv_1,I,ht,1,30.57
Triticum aestivum,cv_1,I,ht,1,26.93
Triticum aestivum,cv_1,I,ht,1,26.73
Triticum aestivum,cv_1,I,ht,1,29.39
Triticum aestivum,cv_1,I,ht,1,29.42
Triticum aestivum,cv_1,I,ht,1,14.93
Triticum aestivum,cv_1,I,ht,1,24.94
Triticum aestivum,cv_1,I,ht,1,25.79
Triticum aestivum,cv_1,I,ht,1,25.41
Triticum aestivum,cv_1,I,ht,1,35.36
Triticum aestivum,cv_1,I,ht,1,42.44
Triticum aestivum,cv_1,I,ht,1,27.96
Triticum aestivum,cv_1,I,ht,1,25.79
Triticum aestivum,cv_1,I,ht,1,20.27
Triticum aestivum,cv_1,I,ht,1,19.35
Triticum aestivum,cv_1,I,ht,1,24.02
Triticum aestivum,cv_1,I,ht,1,23.7
Triticum aestivum,cv_1,I,ht,1,27.17
Triticum aestivum,cv_1,I,ht,1,41.45
Triticum aestivum,cv_1,I,ht,1,31.38
Triticum aestivum,cv_1,I,ht,1,35.14
Triticum aestivum,cv_1,I,ht,1,36.54
Triticum aestivum,cv_1,I,ht,1,24.33
Triticum aestivum,cv_1,I,ht,1,46.48
Triticum aestivum,cv_1,I,ht,1,43.44
Triticum aestivum,cv_1,I,ht,1,31.98
Triticum aestivum,cv_1,I,ht,1,33.15
Triticum aestivum,cv_1,I,ht,1,27.51
Triticum aestivum,cv_1,I,ht,1,24.64
Triticum aestivum,cv_1,I,ht,1,27.22
Triticum aestivum,cv_1,I,ht,1,23.82
Triticum aestivum,cv_1,I,ht,1,35.45
Triticum aestivum,cv_1,I,ht,1,17.99
Triticum aestivum,cv_1,I,ht,1,15
Triticum aestivum,cv_1,I,ht,1,34.03
Triticum aestivum,cv_1,I,ht,1,21.22
Triticum aestivum,cv_1,I,ht,1,27.56
Triticum aestivum,cv_1,I,ht,1,27.12
Triticum aestivum,cv_1,I,ht,1,39.29
Triticum aestivum,cv_1,I,ht,1,26.21
Triticum aestivum,cv_1,I,ht,1,29.79
Triticum aestivum,cv_1,I,ht,1,34.23
Triticum aestivum,cv_1,I,ht,1,27.83
Triticum aestivum,cv_1,I,ht,1,9.64
Triticum aestivum,cv_1,I,ht,1,37.64
Triticum aestivum,cv_1,I,ht,1,29.26
Triticum aestivum,cv_1,I,ht,1,34.36
Triticum aestivum,cv_1,I,ht,1,28.86
Triticum aestivum,cv_1,I,ht,1,29.74
Triticum aestivum,cv_1,I,ht,1,46.72
Triticum aestivum,cv_1,I,ht,1,37.19
Triticum aestivum,cv_1,I,ht,1,21.97
Triticum aestivum,cv_1,I,ht,1,25.23
Triticum aestivum,cv_1,I,ht,1,23.92
Triticum aestivum,cv_1,I,ht,1,34.64
Triticum aestivum,cv_1,I,ht,1,31.51
Triticum aestivum,cv_1,I,ht,1,32.96
Triticum aestivum,cv_1,I,ht,1,34.97
Triticum aestivum,cv_1,I,ht,1,16.35
Triticum aestivum,cv_1,I,ht,1,28.09
Triticum aestivum,cv_1,I,ht,1,27.43
Triticum aestivum,cv_1,I,ht,1,28.04
Triticum aestivum,cv_1,I,ht,1,41.14
Triticum aestivum,cv_1,I,ht,1,39.46
Triticum aestivum,cv_1,I,ht,1,30.08
Triticum aestivum,cv_1,I,ht,1,22.24
Triticum aestivum,cv_1,I,ht,1,33.21
Triticum aestivum,cv_1,I,ht,1,34.14
Triticum aestivum,cv_1,I,ht,1,31.24
Triticum aestivum,cv_1,I,ht,1,21.22
Triticum aestivum,cv_1,I,ht,1,38.38
Triticum aestivum,cv_1,I,ht,1,26.23
Triticum aestivum,cv_1,I,ht,1,34.31
Triticum aestivum,cv_1,I,ht,1,52.23
Triticum aestivum,cv_1,I,ht,1,28.46
Triticum aestivum,cv_1,I,ht,1,26.52
Triticum aestivum,cv_1,I,ht,1,32.58
Triticum aestivum,cv_1,I,ht,1,36.04
Triticum aestivum,cv_1,I,ht,1,27.06
Triticum aestivum,cv_1,I,ht,1,16.53
Triticum aestivum,cv_1,I,ht,1,30.24
Triticum aestivum,cv_1,I,ht,1,20.12
Triticum aestivum,cv_1,I,ht,1,22.91
Triticum aestivum,cv_1,I,ht,1,35.95
Triticum aestivum,cv_1,I,ht,1,34.2
Triticum aestivum,cv_1,I,ht,1,19.88
Triticum aestivum,cv_1,I,ht,1,35.28
Triticum aestivum,cv_1,I,ht,1,29.2
Triticum aestivum,cv_1,I,ht,1,32.19
Triticum aestivum,cv_1,I,ht,1,35.11
Triticum aestivum,cv_1,I,ht,1,39.44
Triticum aestivum,cv_1,I,ht,1,50.79
Triticum aestivum,cv_1,I,ht,1,36.01
Triticum aestivum,cv_1,I,ht,1,43.03
Triticum aestivum,cv_1,I,ht,1,40.82
Triticum aestivum,cv_1,I,ht,1,28.22
Triticum aestivum,cv_1,I,ht,1,30.54
Triticum aestivum,cv_1,I,ht,1,35.48
Triticum aestivum,cv_1,I,ht,1,32.44
Triticum aestivum,cv_1,I,ht,1,31.68
Triticum aestivum,cv_1,I,ht,1,19.59
Triticum aestivum,cv_1,I,ht,1,38.27
Triticum aestivum,cv_1,I,ht,1,40.33
Triticum aestivum,cv_1,I,ht,1,24.87
Triticum aestivum,cv_1,I,ht,1,22.71
Triticum aestivum,cv_1,I,ht,1,22.54
Triticum aestivum,cv_1,I,ht,1,33.67
Triticum aestivum,cv_1,I,ht,1,23.49
Triticum aestivum,cv_1,I,ht,1,29.87
Triticum aestivum,cv_1,I,ht,1,32.52
Triticum aestivum,cv_1,I,ht,1,28.78
Triticum aestivum,cv_1,I,ht,1,27.12
Triticum aestivum,cv_1,I,ht,1,28.62
Triticum aestivum,cv_1,I,ht,1,20.95
Triticum aestivum,cv_1,I,ht,1,25.2
Triticum aestivum,cv_1,I,ht,1,49.97
Triticum aestivum,cv_1,I,ht,1,36.34
Triticum aestivum,cv_1,I,ht,1,26.96
Triticum aestivum,cv_1,I,ht,1,36.26
Triticum aestivum,cv_1,I,ht,1,28.35
Triticum aestivum,cv_1,I,ht,1,42.91
Triticum aestivum,cv_1,I,ht,1,28.17
Triticum aestivum,cv_1,I,ht,1,36.34
Triticum aestivum,cv_1,I,ht,1,29.02
Triticum aestivum,cv_1,I,ht,1,30.33
Triticum aestivum,cv_1,I,ht,1,39.81
Triticum aestivum,cv_1,I,ht,1,24.71
Triticum aestivum,cv_1,I,ht,1,26.88
Triticum aestivum,cv_1,I,ht,1,35.56
Triticum aestivum,cv_1,I,ht,1,20.93
Triticum aestivum,cv_1,I,ht,1,39.41
Triticum aestivum,cv_1,I,ht,1,24.97
Triticum aestivum,cv_1,I,ht,1,16.81
Triticum aestivum,cv_1,I,ht,1,29.63
Triticum aestivum,cv_1,I,ht,1,24.33
Triticum aestivum,cv_1,I,ht,1,29.04
Triticum aestivum,cv_1,I,ht,1,37.98
Triticum aestivum,cv_1,I,ht,1,21.64
Triticum aestivum,cv_1,I,ht,1,33.84
Triticum aestivum,cv_1,I,ht,1,19.61
Triticum aestivum,cv_1,I,ht,1,25.66
Triticum aestivum,cv_1,I,ht,1,27.38
Triticum aestivum,cv_1,I,ht,1,18.06
Triticum aestivum,cv_1,I,ht,1,48.22
Triticum aestivum,cv_1,I,ht,1,37.84
Triticum aestivum,cv_1,I,ht,1,29.44
Triticum aestivum,cv_1,I,ht,1,32.99
Triticum aestivum,cv_1,I,ht,1,24.43
Triticum aestivum,cv_1,I,ht,1,26.67
Triticum aestivum,cv_1,I,ht,1,53.77
Triticum aestivum,cv_1,I,ht,1,28.22
Triticum aestivum,cv_1,I,ht,1,39.38
Triticum aestivum,cv_1,I,ht,1,18.46
Triticum aestivum,cv_1,I,ht,1,32.49
Triticum aestivum,cv_1,I,ht,1,22.66
Triticum aestivum,cv_1,I,ht,1,33.15
Triticum aestivum,cv_1,I,ht,1,27.2
Triticum aestivum,cv_1,I,ht,1,32.6
Triticum aestivum,cv_1,I,ht,1,19.2
Triticum aestivum,cv_1,I,ht,1,40.18
Triticum aestivum,cv_1,I,ht,1,33.89
Triticum aestivum,cv_1,I,ht,1,43.47
Triticum aestivum,cv_1,I,ht,1,33.56
Triticum aestivum,cv_1,I,ht,1,23.32
Triticum aestivum,cv_1,I,ht,1,24.13
Triticum aestivum,cv_1,I,ht,1,42.68
Triticum aestivum,cv_1,I,ht,1,21.67
Triticum aestivum,cv_1,I,ht,1,19.37
Triticum aestivum,cv_1,I,ht,1,14.26
Triticum aestivum,cv_1,I,ht,1,26.75
Triticum aestivum,cv_1,I,ht,1,27.59
Triticum aestivum,cv_1,I,ht,1,23.01
Triticum aestivum,cv_1,I,ht,1,26.88
Triticum aestivum,cv_1,I,ht,1,25.77
Triticum aestivum,cv_1,I,ht,1,27.41
Triticum aestivum,cv_1,I,ht,1,34.56
Triticum aestivum,cv_1,I,ht,1,25.02
Triticum aestivum,cv_1,I,ht,1,29.44
Triticum aestivum,cv_1,I,ht,1,31.76
Triticum aestivum,cv_1,I,ht,1,19.9
Triticum aestivum,cv_1,I,ht,1,36.18
Triticum aestivum,cv_1,I,ht,1,40.36
Triticum aestivum,cv_1,I,ht,1,39.38
Triticum aestivum,cv_1,I,ht,1,37.22
Triticum aestivum,cv_1,I,ht,1,16.12
Triticum aestivum,cv_1,I,ht,1,31.46
Triticum aestivum,cv_1,I,ht,1,37.93
Triticum aestivum,cv_1,I,ht,1,27.9
Triticum aestivum,cv_1,I,ht,1,19.03
Triticum aestivum,cv_1,I,ht,1,18.91
Triticum aestivum,cv_1,I,ht,1,20.34
Triticum aestivum,cv_1,I,ht,1,31.76
Triticum aestivum,cv_1,I,ht,1,21.84
Triticum aestivum,cv_1,I,ht,1,25.84
Triticum aestivum,cv_1,I,ht,1,35.25
Triticum aestivum,cv_1,I,ht,1,35.56
Triticum aestivum,cv_1,I,ht,1,49.19
Triticum aestivum,cv_1,I,ht,1,22.64
Triticum aestivum,cv_1,I,ht,1,19.56
Triticum aestivum,cv_1,I,ht,1,25.07
Triticum aestivum,cv_1,I,ht,1,22.79
Triticum aestivum,cv_1,I,ht,1,30.89
Triticum aestivum,cv_1,I,ht,1,36.04
Triticum aestivum,cv_1,I,ht,1,22.04
Triticum aestivum,cv_1,I,ht,1,36.65
Triticum aestivum,cv_1,I,ht,1,36.29
Triticum aestivum,cv_1,I,ht,1,19.13
Triticum aestivum,cv_1,I,ht,1,33.26
Triticum aestivum,cv_1,I,ht,1,18.48
Triticum aestivum,cv_1,I,ht,1,35.59
Triticum aestivum,cv_1,I,ht,1,24
Triticum aestivum,cv_1,I,ht,1,13.33
Triticum aestivum,cv_1,I,ht,1,16.12
Triticum aestivum,cv_1,I,ht,1,23.95
Triticum aestivum,cv_1,I,ht,1,22.44
Triticum aestivum,cv_1,I,ht,1,35.81
Triticum aestivum,cv_1,I,ht,1,37.05
Triticum aestivum,cv_1,I,ht,1,41.42
Triticum aestivum,cv_1,I,ht,1,28.3
Triticum aestivum,cv_1,I,ht,1,24.71
Triticum aestivum,cv_1,I,ht,1,30.19
Triticum aestivum,cv_1,I,ht,1,23.34
Triticum aestivum,cv_1,I,ht,1,31.7
Triticum aestivum,cv_1,I,ht,1,25.12
Triticum aestivum,cv_1,I,ht,1,27.8
Triticum aestivum,cv_1,I,ht,1,43.94
Triticum aestivum,cv_1,I,ht,1,12.58
Triticum aestivum,cv_1,I,ht,1,27.83
Triticum aestivum,cv_1,I,ht,1,28.41
Triticum aestivum,cv_1,I,ht,1,36.32
Triticum aestivum,cv_1,I,ht,1,35.67
Triticum aestivum,cv_1,I,ht,1,23.9
Triticum aestivum,cv_1,I,ht,1,31.13
Triticum aestivum,cv_1,I,ht,1,27.77
Triticum aestivum,cv_1,I,ht,1,40.67
Triticum aestivum,cv_1,I,ht,1,31.03
Triticum aestivum,cv_1,I,ht,1,23.44
Triticum aestivum,cv_1,I,ht,1,31.05
Triticum aestivum,cv_1,I,ht,1,32.11
Triticum aestivum,cv_1,I,ht,1,31.81
Triticum aestivum,cv_1,I,ht,1,33.54
Triticum aestivum,cv_1,I,ht,1,29.74
Triticum aestivum,cv_1,I,ht,1,16.14
Triticum aestivum,cv_1,I,ht,1,22.31
Triticum aestivum,cv_1,I,ht,1,27.25
Triticum aestivum,cv_1,I,ht,1,46.21
Triticum aestivum,cv_1,I,ht,1,26.93
Triticum aestivum,cv_1,I,ht,1,31.73
Triticum aestivum,cv_1,I,ht,1,32.19
Triticum aestivum,cv_1,I,ht,1,36.32
Triticum aestivum,cv_1,I,ht,1,24.92
Triticum aestivum,cv_1,I,ht,1,55.01
Triticum aestivum,cv_1,I,ht,1,28.72
Triticum aestivum,cv_1,I,ht,1,16.81
Triticum aestivum,cv_1,I,ht,1,14.17
Triticum aestivum,cv_1,I,ht,1,41.42
Triticum aestivum,cv_1,I,ht,1,20.19
Triticum aestivum,cv_1,I,ht,1,18.41
Triticum aestivum,cv_1,I,ht,1,46.04
Triticum aestivum,cv_1,I,ht,1,23.29
Triticum aestivum,cv_1,I,ht,1,33.45
Triticum aestivum,cv_1,I,ht,1,47.47
Triticum aestivum,cv_1,I,ht,1,30.54
Triticum aestivum,cv_1,I,ht,1,33.65
