Genotype,Nitrogen_Level,Replicate,Yield
CV1,0,107,2.83
CV1,0,108,3.09
CV1,0,109,2.89
CV1,0,110,3.13
CV1,0,111,3.04
CV1,0,112,2.70
CV1,0,113,3.31
CV1,0,114,3.36
CV1,0,115,2.88
CV1,0,116,2.92
CV1,0,117,3.06
CV1,0,118,3.07
CV1,0,119,3.13
CV1,0,120,3.40
CV1,0,121,2.96
CV1,0,122,2.84
CV1,0,123,2.72
CV1,0,124,2.85
CV1,0,125,2.99
CV1,0,126,3.36
CV1,0,127,2.90
CV1,0,128,3.04
CV1,0,129,3.00
CV1,0,130,3.24
CV1,0,131,3.51
CV1,0,132,2.89
CV1,0,133,2.90
CV1,0,134,3.21
CV1,0,135,3.14
CV1,0,136,3.37
CV1,0,137,3.12
CV1,0,138,2.93
CV1,0,139,3.12
CV1,0,140,3.22
CV1,0,141,3.16
CV1,0,142,3.10
CV1,0,143,3.21
CV1,0,144,3.23
CV1,0,145,3.28
CV1,0,146,3.13
CV1,0,147,2.97
CV1,0,148,3.03
CV1,0,149,3.24
CV1,0,150,2.84
CV1,0,151,3.07
CV1,0,152,2.92
CV1,0,153,3.01
CV1,0,154,3.26
CV1,0,155,3.04
CV1,0,156,3.01
CV1,0,157,2.73
CV1,0,158,3.15
CV1,0,159,3.13
CV1,0,160,3.43
CV1,0,161,2.94
CV1,0,162,3.04
CV1,0,163,3.05
CV1,0,164,3.32
CV1,0,165,2.98
CV1,0,166,3.06
CV1,0,167,3.12
CV1,0,168,3.04
CV1,0,169,2.91
CV1,0,170,3.04
CV1,0,171,3.21
CV1,0,172,2.79
CV1,0,173,3.03
CV1,0,174,2.86
CV1,0,175,3.24
CV1,0,176,2.70
CV1,0,177,2.89
CV1,0,178,3.08
CV1,0,179,3.31
CV1,0,180,2.99
CV1,0,181,2.89
CV1,0,182,3.38
CV1,0,183,2.71
CV1,0,184,2.56
CV1,0,185,3.09
CV1,0,186,2.90
CV1,0,187,2.80
CV1,0,188,3.14
CV1,0,189,3.05
CV1,0,190,2.89
CV1,0,191,2.74
CV1,0,192,3.17
CV1,0,193,3.13
CV1,0,194,2.98
CV1,0,195,3.37
CV1,0,196,2.79
CV1,0,197,2.69
CV1,0,198,2.86
CV1,0,199,2.99
CV1,0,200,3.05
CV1,0,201,2.95
CV1,0,202,3.07
CV1,0,203,2.75
CV1,0,204,3.29
CV1,0,205,2.98
CV1,0,206,3.22
CV1,0,207,3.07
CV1,0,208,3.09
CV1,0,209,3.11
CV1,0,210,3.09
CV1,0,211,3.13
CV1,0,212,3.27
CV1,0,213,3.04
CV1,0,214,3.14
CV1,0,215,2.98
CV1,0,216,3.29
CV1,0,217,2.86
CV1,0,218,3.36
CV1,0,219,2.99
CV1,0,220,2.71
CV1,0,221,3.03
CV1,0,222,2.86
CV1,0,223,3.17
CV1,0,224,2.87
CV1,0,225,2.91
CV1,0,226,2.62
CV1,0,227,2.91
CV1,0,228,2.52
CV1,0,229,2.68
CV1,0,230,3.15
CV1,0,231,3.16
CV1,0,232,3.09
CV1,0,233,2.81
CV1,0,234,2.99
CV1,0,235,3.00
CV1,0,236,2.77
CV1,0,237,3.30
CV1,0,238,3.18
CV1,0,239,2.96
CV1,0,240,3.01
CV1,0,241,3.04
CV1,0,242,2.59
CV1,0,243,2.95
CV1,0,244,2.86
CV1,0,245,2.80
CV1,0,246,2.94
CV1,0,247,3.36
CV1,0,248,3.13
CV1,0,249,2.89
CV1,0,250,3.11
CV1,0,251,3.28
CV1,0,252,3.18
CV1,0,253,3.01
CV1,0,254,2.87
CV1,0,255,3.14
CV1,0,256,3.08
CV1,0,257,3.18
CV1,0,258,3.13
CV1,0,259,3.21
CV1,0,260,2.89
CV1,0,261,3.26
CV1,0,262,3.04
CV1,0,263,3.42
CV1,0,264,2.86
CV1,0,265,3.35
CV1,0,266,3.04
CV1,0,267,2.87
CV1,0,268,2.90
CV1,0,269,2.94
CV1,0,270,3.08
CV1,0,271,3.10
CV1,0,272,2.89
CV1,0,273,3.00
CV1,0,274,3.43
CV1,0,275,3.35
CV1,0,276,3.09
CV1,0,277,3.01
CV1,0,278,3.02
CV1,0,279,3.12
CV1,0,280,2.80
CV1,0,281,2.95
CV1,0,282,2.67
CV1,0,283,3.08
CV1,0,284,3.13
CV1,0,285,2.90
CV1,0,286,3.31
CV1,0,287,2.75
CV1,0,288,2.71
CV1,0,289,3.04
CV1,0,290,3.21
CV1,0,291,3.34
CV1,0,292,2.91
CV1,0,293,3.22
CV1,0,294,2.99
CV1,0,295,2.97
CV1,0,296,3.18
CV1,0,297,3.13
CV1,0,298,2.68
CV1,0,299,3.30
CV1,0,300,3.28
CV1,0,301,2.87
CV1,0,302,3.08
CV1,0,303,3.10
CV1,0,304,3.05
CV1,0,305,2.89
CV1,0,306,2.87
CV1,0,307,2.99
CV1,0,308,3.23
CV1,0,309,3.11
CV1,0,310,2.93
CV1,0,311,3.15
CV1,0,312,2.43
CV1,0,313,3.23
CV1,0,314,2.65
CV1,0,315,2.93
CV1,0,316,2.78
CV1,0,317,2.74
CV1,0,318,3.23
CV1,0,319,2.91
CV1,0,320,3.07
CV1,0,321,2.99
CV1,0,322,3.10
CV1,0,323,3.02
CV1,0,324,2.74
CV1,0,325,3.20
CV1,0,326,2.90
CV1,0,327,2.69
CV1,0,328,2.91
CV1,0,329,3.30
CV1,0,330,3.17
CV1,0,331,2.93
CV1,0,332,2.93
CV1,0,333,2.94
CV1,0,334,3.42
CV1,0,335,3.08
CV1,0,336,3.09
CV1,0,337,3.21
CV1,0,338,3.05
CV1,0,339,2.95
CV1,0,340,2.96
CV1,0,341,2.99
CV1,0,342,2.99
CV1,0,343,3.15
CV1,0,344,3.01
CV1,0,345,3.15
CV1,0,346,2.98
CV1,0,347,3.02
CV1,0,348,2.60
CV1,0,349,3.18
CV1,0,350,3.07
CV1,0,351,3.20
CV1,0,352,2.42
CV1,0,353,3.42
CV1,0,354,2.97
CV1,0,355,3.22
CV1,0,356,2.79
CV1,0,357,3.12
CV1,0,358,2.79
CV1,0,359,2.88
CV1,0,360,3.38
CV1,0,361,2.96
CV1,0,362,3.04
CV1,0,363,3.17
CV1,0,364,3.10
CV1,0,365,3.03
CV1,0,366,3.07
CV1,0,367,3.48
CV1,0,368,2.99
CV1,0,369,3.04
CV1,0,370,3.21
CV1,0,371,3.22
CV1,0,372,3.24
CV1,0,373,3.13
CV1,0,374,2.77
CV1,0,375,3.33
CV1,0,376,2.77
CV1,0,377,3.06
CV1,0,378,2.85
CV1,0,379,2.99
CV1,0,380,3.07
CV1,0,381,3.06
CV1,0,382,3.08
CV1,0,383,3.32
CV1,0,384,3.09
CV1,0,385,2.95
CV1,0,386,3.19
CV1,0,387,3.24
CV1,0,388,2.75
CV1,0,389,3.12
CV1,0,390,3.14
CV1,0,391,2.94
CV1,0,392,3.28
CV1,0,393,2.97
CV1,0,394,3.03
CV1,0,395,2.97
CV1,0,396,3.00
CV1,0,397,2.78
CV1,0,398,2.71
CV1,0,399,3.32
CV1,0,400,2.83
CV1,0,401,2.80
CV1,0,402,2.57
CV1,0,403,2.87
CV1,0,404,2.74
CV1,0,405,3.33
CV1,0,406,3.20
CV1,0,407,2.86
CV1,0,408,3.45
CV1,0,409,3.20
CV1,0,410,2.94
CV1,0,411,2.50
CV1,0,412,3.46
CV1,0,413,2.72
CV1,0,414,2.67
CV1,0,415,3.20
CV1,0,416,3.49
CV1,0,417,3.28
CV1,0,418,3.11
CV1,0,419,3.12
CV1,0,420,3.17
CV1,0,421,3.15
CV1,0,422,3.06
CV1,0,423,3.02
CV1,0,424,2.99
CV1,0,425,2.85
CV1,0,426,2.94
CV1,0,427,2.66
CV1,0,428,2.98
CV1,0,429,2.80
CV1,0,430,2.78
CV1,0,431,3.04
CV1,0,432,3.28
CV1,0,433,3.18
CV1,0,434,2.69
CV1,0,435,2.80
CV1,0,436,3.19
CV1,0,437,2.80
CV1,0,438,2.96
CV1,0,439,3.11
CV1,0,440,2.81
CV1,0,441,3.02
CV1,0,442,2.73
CV1,0,443,2.88
CV1,0,444,3.06
CV1,0,445,2.68
CV1,0,446,3.09
CV1,0,447,3.00
CV1,0,448,3.11
CV1,0,449,3.04
CV1,0,450,3.27
CV1,0,451,3.03
CV1,0,452,2.91
CV1,0,453,3.02
CV1,0,454,3.11
CV1,0,455,3.01
CV1,0,456,3.01
CV1,0,457,2.86
CV1,0,458,2.87
CV1,0,459,2.72
CV1,0,460,3.35
CV1,0,461,2.75
CV1,0,462,2.86
CV1,0,463,2.86
CV1,0,464,3.18
CV1,0,465,2.94
CV1,0,466,3.25
CV1,0,467,2.87
CV1,0,468,3.06
CV1,0,469,2.83
CV1,0,470,3.43
CV1,0,471,2.76
CV1,0,472,3.06
CV1,0,473,3.13
CV1,0,474,3.08
CV1,0,475,2.96
CV1,0,476,2.97
CV1,0,477,3.01
CV1,0,478,2.97
CV1,0,479,3.19
CV1,0,480,3.44
CV1,0,481,2.89
CV1,0,482,2.73
CV1,0,483,2.98
CV1,0,484,3.52
CV1,0,485,2.84
CV1,0,486,3.33
CV1,0,487,3.34
CV1,0,488,2.89
CV1,0,489,3.11
CV1,0,490,3.33
CV1,0,491,2.92
CV1,0,492,2.96
CV1,0,493,2.88
CV1,0,494,2.80
CV1,0,495,2.87
CV1,0,496,2.76
CV1,0,497,3.01
CV1,0,498,2.85
CV1,0,499,3.05
CV1,0,500,2.69
CV1,50,1,2.58
CV1,50,2,3.26
CV1,50,3,2.99
CV1,50,4,2.76
CV1,50,5,3.23
CV1,50,6,3.40
CV1,50,7,3.10
CV1,50,8,3.32
CV1,50,9,3.45
CV1,50,10,3.39
CV1,50,11,3.45
CV1,50,12,3.27
CV1,50,13,3.14
CV1,50,14,2.80
CV1,50,15,3.08
CV1,50,16,2.96
CV1,50,17,3.56
CV1,50,18,3.09
CV1,50,19,3.15
CV1,50,20,3.24
CV1,50,21,3.13
CV1,50,22,3.46
CV1,50,23,3.00
CV1,50,24,3.16
CV1,50,25,2.98
CV1,50,26,2.86
CV1,50,27,3.00
CV1,50,28,3.12
CV1,50,29,3.04
CV1,50,30,2.99
CV1,50,31,2.84
CV1,50,32,3.11
CV1,50,33,2.82
CV1,50,34,3.28
CV1,50,35,3.14
CV1,50,36,2.83
CV1,50,37,3.06
CV1,50,38,2.97
CV1,50,39,3.19
CV1,50,40,3.39
CV1,50,41,2.75
CV1,50,42,3.15
CV1,50,43,3.09
CV1,50,44,3.26
CV1,50,45,3.17
CV1,50,46,2.97
CV1,50,47,3.06
CV1,50,48,2.97
CV1,50,49,3.34
CV1,50,50,3.13
CV1,50,51,3.51
CV1,50,52,3.11
CV1,50,53,2.98
CV1,50,54,2.82
CV1,50,55,2.76
CV1,50,56,2.81
CV1,50,57,3.18
CV1,50,58,3.23
CV1,50,59,2.81
CV1,50,60,3.30
CV1,50,61,3.03
CV1,50,62,3.15
CV1,50,63,3.45
CV1,50,64,3.30
CV1,50,65,3.07
CV1,50,66,2.95
CV1,50,67,2.69
CV1,50,68,2.98
CV1,50,69,3.08
CV1,50,70,2.93
CV1,50,71,3.10
CV1,50,72,3.14
CV1,50,73,3.08
CV1,50,74,2.99
CV1,50,75,3.16
CV1,50,76,3.21
CV1,50,77,2.91
CV1,50,78,3.41
CV1,50,79,3.11
CV1,50,80,3.13
CV1,50,81,3.27
CV1,50,82,3.17
CV1,50,83,3.32
CV1,50,84,3.18
CV1,50,85,3.00
CV1,50,86,3.20
CV1,50,87,2.90
CV1,50,88,3.15
CV1,50,89,3.12
CV1,50,90,3.08
CV1,50,91,3.10
CV1,50,92,2.75
CV1,50,93,3.02
CV1,50,94,3.14
CV1,50,95,3.16
CV1,50,96,2.92
CV1,50,97,3.38
CV1,50,98,2.95
CV1,50,99,3.32
CV1,50,100,3.21
CV1,50,101,3.00
CV1,50,102,3.48
CV1,50,103,2.89
CV1,50,104,3.31
CV1,50,105,3.33
CV1,50,106,2.99
CV1,50,107,3.40
CV1,50,108,3.07
CV1,50,109,3.18
CV1,50,110,3.18
CV1,50,111,3.10
CV1,50,112,3.29
CV1,50,113,3.28
CV1,50,114,2.78
CV1,50,115,3.39
CV1,50,116,2.79
CV1,50,117,3.33
CV1,50,118,3.35
CV1,50,119,2.91
CV1,50,120,3.04
CV1,50,121,2.90
CV1,50,122,3.08
CV1,50,123,3.06
CV1,50,124,3.28
CV1,50,125,3.39
CV1,50,126,3.40
CV1,50,127,3.01
CV1,50,128,3.08
CV1,50,129,2.79
CV1,50,130,2.96
CV1,50,131,3.32
CV1,50,132,3.45
CV1,50,133,2.88
CV1,50,134,3.01
CV1,50,135,3.12
CV1,50,136,3.18
CV1,50,137,2.96
CV1,50,138,3.21
CV1,50,139,3.03
CV1,50,140,3.12
CV1,50,141,3.23
CV1,50,142,3.13
CV1,50,143,3.04
CV1,50,144,3.10
CV1,50,145,3.11
CV1,50,146,3.05
CV1,50,147,3.07
CV1,50,148,3.44
CV1,50,149,3.24
CV1,50,150,3.07
CV1,50,151,3.26
CV1,50,152,3.06
CV1,50,153,3.36
CV1,50,154,3.20
CV1,50,155,3.10
CV1,50,156,3.21
CV1,50,157,2.81
CV1,50,158,2.90
CV1,50,159,2.89
CV1,50,160,3.15
CV1,50,161,3.47
CV1,50,162,3.57
CV1,50,163,3.25
CV1,50,164,3.23
CV1,50,165,2.76
CV1,50,166,3.02
CV1,50,167,2.97
CV1,50,168,3.00
CV1,50,169,3.09
CV1,50,170,3.03
CV1,50,171,2.73
CV1,50,172,3.27
CV1,50,173,2.91
CV1,50,174,3.17
CV1,50,175,3.54
CV1,50,176,2.94
CV1,50,177,2.62
CV1,50,178,3.07
CV1,50,179,3.35
CV1,50,180,3.52
CV1,50,181,2.88
CV1,50,182,3.22
CV1,50,183,3.03
CV1,50,184,3.10
CV1,50,185,3.65
CV1,50,186,2.82
CV1,50,187,3.18
CV1,50,188,3.22
CV1,50,189,3.34
CV1,50,190,3.14
CV1,50,191,3.19
CV1,50,192,3.05
CV1,50,193,3.18
CV1,50,194,3.06
CV1,50,195,3.25
CV1,50,196,3.05
CV1,50,197,3.20
CV1,50,198,3.12
CV1,50,199,3.35
CV1,50,200,3.11
CV1,50,201,2.77
CV1,50,202,3.38
CV1,50,203,2.94
CV1,50,204,2.99
CV1,50,205,3.01
CV1,50,206,3.40
CV1,50,207,2.70
CV1,50,208,3.75
CV1,50,209,3.34
CV1,50,210,3.17
CV1,50,211,3.11
CV1,50,212,3.18
CV1,50,213,3.23
CV1,50,214,3.25
CV1,50,215,3.24
CV1,50,216,3.14
CV1,50,217,3.09
CV1,50,218,3.09
CV1,50,219,3.09
CV1,50,220,3.35
CV1,50,221,3.24
CV1,50,222,2.54
CV1,50,223,3.26
CV1,50,224,3.16
CV1,50,225,3.12
CV1,50,226,3.05
CV1,50,227,3.35
CV1,50,228,3.31
CV1,50,229,2.97
CV1,50,230,3.21
CV1,50,231,2.93
CV1,50,232,2.85
CV1,50,233,3.00
CV1,50,234,3.30
CV1,50,235,3.32
CV1,50,236,3.23
CV1,50,237,3.27
CV1,50,238,3.23
CV1,50,239,3.00
CV1,50,240,3.21
CV1,50,241,3.29
CV1,50,242,3.28
CV1,50,243,3.36
CV1,50,244,3.27
CV1,50,245,3.20
CV1,50,246,3.34
CV1,50,247,3.12
CV1,50,248,2.95
CV1,50,249,3.09
CV1,50,250,2.98
CV1,50,251,2.99
CV1,50,252,3.10
CV1,50,253,2.97
CV1,50,254,3.06
CV1,50,255,2.75
CV1,50,256,3.17
CV1,50,257,3.13
CV1,50,258,2.96
CV1,50,259,3.26
CV1,50,260,3.31
CV1,50,261,2.80
CV1,50,262,2.97
CV1,50,263,2.97
CV1,50,264,2.94
CV1,50,265,3.29
CV1,50,266,3.09
CV1,50,267,3.07
CV1,50,268,2.72
CV1,50,269,3.25
CV1,50,270,2.88
CV1,50,271,3.14
CV1,50,272,3.18
CV1,50,273,3.40
CV1,50,274,2.86
CV1,50,275,2.52
CV1,50,276,3.16
CV1,50,277,3.49
CV1,50,278,3.37
CV1,50,279,3.17
CV1,50,280,3.03
CV1,50,281,3.29
CV1,50,282,2.93
CV1,50,283,3.22
CV1,50,284,3.23
CV1,50,285,3.34
CV1,50,286,3.68
CV1,50,287,3.20
CV1,50,288,3.02
CV1,50,289,3.12
CV1,50,290,2.77
CV1,50,291,2.99
CV1,50,292,3.04
CV1,50,293,3.02
CV1,50,294,3.16
CV1,50,295,2.96
CV1,50,296,3.35
CV1,50,297,3.13
CV1,50,298,3.12
CV1,50,299,3.06
CV1,50,300,3.16
CV1,50,301,3.29
CV1,50,302,2.95
CV1,50,303,2.99
CV1,50,304,3.06
CV1,50,305,2.86
CV1,50,306,2.96
CV1,50,307,3.03
CV1,50,308,3.30
CV1,50,309,3.18
CV1,50,310,3.16
CV1,50,311,3.30
CV1,50,312,3.10
CV1,50,313,3.20
CV1,50,314,3.10
CV1,50,315,3.18
CV1,50,316,3.01
CV1,50,317,2.64
CV1,50,318,3.10
CV1,50,319,3.41
CV1,50,320,3.31
CV1,50,321,3.32
CV1,50,322,3.37
CV1,50,323,3.14
CV1,50,324,3.16
CV1,50,325,3.00
CV1,50,326,3.06
CV1,50,327,3.25
CV1,50,328,3.37
CV1,50,329,3.10
CV1,50,330,3.03
CV1,50,331,3.13
CV1,50,332,3.25
CV1,50,333,2.84
CV1,50,334,2.67
CV1,50,335,3.01
CV1,50,336,2.88
CV1,50,337,3.02
CV1,50,338,3.10
CV1,50,339,3.03
CV1,50,340,3.42
CV1,50,341,3.19
CV1,50,342,3.19
CV1,50,343,3.25
CV1,50,344,2.90
CV1,50,345,3.33
CV1,50,346,3.11
CV1,50,347,3.26
CV1,50,348,2.91
CV1,50,349,2.81
CV1,50,350,3.29
CV1,50,351,3.20
CV1,50,352,2.94
CV1,50,353,2.95
CV1,50,354,3.35
CV1,50,355,2.89
CV1,50,356,3.45
CV1,50,357,2.94
CV1,50,358,3.25
CV1,50,359,3.06
CV1,50,360,3.25
CV1,50,361,3.02
CV1,50,362,3.09
CV1,50,363,3.13
CV1,50,364,2.92
CV1,50,365,3.27
CV1,50,366,3.02
CV1,50,367,3.08
CV1,50,368,2.93
CV1,50,369,2.61
CV1,50,370,3.09
CV1,50,371,3.61
CV1,50,372,3.28
CV1,50,373,3.12
CV1,50,374,3.07
CV1,50,375,3.13
CV1,50,376,3.23
CV1,50,377,2.89
CV1,50,378,3.35
CV1,50,379,3.27
CV1,50,380,3.27
CV1,50,381,3.21
CV1,50,382,3.13
CV1,50,383,3.26
CV1,50,384,3.24
CV1,50,385,3.05
CV1,50,386,3.01
CV1,50,387,3.15
CV1,50,388,3.43
CV1,50,389,2.88
CV1,50,390,2.83
CV1,50,391,3.16
CV1,50,392,3.14
CV1,50,393,3.16
CV1,50,394,3.17
CV1,50,395,3.08
CV1,50,396,3.42
CV1,50,397,2.80
CV1,50,398,2.96
CV1,50,399,3.10
CV1,50,400,2.80
CV1,50,401,3.09
CV1,50,402,3.46
CV1,50,403,3.13
CV1,50,404,3.17
CV1,50,405,2.87
CV1,50,406,3.00
CV1,50,407,3.05
CV1,50,408,3.06
CV1,50,409,3.38
CV1,50,410,3.24
CV1,50,411,2.90
CV1,50,412,3.17
CV1,50,413,3.22
CV1,50,414,3.35
CV1,50,415,3.44
CV1,50,416,2.92
CV1,50,417,2.96
CV1,50,418,2.87
CV1,50,419,3.08
CV1,50,420,3.22
CV1,50,421,3.32
CV1,50,422,3.11
CV1,50,423,3.06
CV1,50,424,3.16
CV1,50,425,2.96
CV1,50,426,3.54
CV1,50,427,2.80
CV1,50,428,3.16
CV1,50,429,3.53
CV1,50,430,3.13
CV1,50,431,3.09
CV1,50,432,3.05
CV1,50,433,3.09
CV1,50,434,3.40
CV1,50,435,2.68
CV1,50,436,3.43
CV1,50,437,2.84
CV1,50,438,3.07
CV1,50,439,3.04
CV1,50,440,3.24
CV1,50,441,2.81
CV1,50,442,3.22
CV1,50,443,3.53
CV1,50,444,2.85
CV1,50,445,3.16
CV1,50,446,2.99
CV1,50,447,3.21
CV1,50,448,3.13
CV1,50,449,3.00
CV1,50,450,3.22
CV1,50,451,3.49
CV1,50,452,3.09
CV1,50,453,3.27
CV1,50,454,2.87
CV1,50,455,2.93
CV1,50,456,3.22
CV1,50,457,3.42
CV1,50,458,3.20
CV1,50,459,3.06
CV1,50,460,3.12
CV1,50,461,2.87
CV1,50,462,3.25
CV1,50,463,3.30
CV1,50,464,3.03
CV1,50,465,3.03
CV1,50,466,3.18
CV1,50,467,3.04
CV1,50,468,3.11
CV1,50,469,3.54
CV1,50,470,3.08
CV1,50,471,3.05
CV1,50,472,3.00
CV1,50,473,3.27
CV1,50,474,3.09
CV1,50,475,3.00
CV1,50,476,3.39
CV1,50,477,3.41
CV1,50,478,3.00
CV1,50,479,2.75
CV1,50,480,3.33
CV1,50,481,2.99
CV1,50,482,3.28
CV1,50,483,2.73
CV1,50,484,3.30
CV1,50,485,2.88
CV1,50,486,3.27
CV1,50,487,3.13
CV1,50,488,2.93
CV1,50,489,3.04
CV1,50,490,3.26
CV1,50,491,3.15
CV1,50,492,3.24
CV1,50,493,3.52
CV1,50,494,2.81
CV1,50,495,3.45
CV1,50,496,3.15
CV1,50,497,2.95
CV1,50,498,2.86
CV1,50,499,3.09
CV1,50,500,3.31
CV1,100,1,6.73
CV1,100,2,6.66
CV1,100,3,5.91
CV1,100,4,6.02
CV1,100,5,6.06
CV1,100,6,5.91
CV1,100,7,6.15
CV1,100,8,5.80
CV1,100,9,5.65
CV1,100,10,6.30
CV1,100,11,6.32
CV1,100,12,5.78
CV1,100,13,6.41
CV1,100,14,5.83
CV1,100,15,6.17
CV1,100,16,6.38
CV1,100,17,6.06
CV1,100,18,6.25
CV1,100,19,5.89
CV1,100,20,6.00
CV1,100,21,6.00
CV1,100,22,5.80
CV1,100,23,6.00
CV1,100,24,5.50
CV1,100,25,5.89
CV1,100,26,5.97
CV1,100,27,5.98
CV1,100,28,5.98
CV1,100,29,6.06
CV1,100,30,6.26
CV1,100,31,6.40
CV1,100,32,5.83
CV1,100,33,5.63
CV1,100,34,5.68
CV1,100,35,5.89
CV1,100,36,5.95
CV1,100,37,5.80
CV1,100,38,5.59
CV1,100,39,5.91
CV1,100,40,6.15
CV1,100,41,6.30
CV1,100,42,5.87
CV1,100,43,5.93
CV1,100,44,5.72
CV1,100,45,6.06
CV1,100,46,5.76
CV1,100,47,6.28
CV1,100,48,5.40
CV1,100,49,5.95
CV1,100,50,6.19
CV1,100,51,6.15
CV1,100,52,7.09
CV1,100,53,6.21
CV1,100,54,5.70
CV1,100,55,6.04
CV1,100,56,5.40
CV1,100,57,6.04
CV1,100,58,5.76
CV1,100,59,6.41
CV1,100,60,5.87
CV1,100,61,6.04
CV1,100,62,5.83
CV1,100,63,6.73
CV1,100,64,5.97
CV1,100,65,6.77
CV1,100,66,6.38
CV1,100,67,6.26
CV1,100,68,6.21
CV1,100,69,6.23
CV1,100,70,5.35
CV1,100,71,5.97
CV1,100,72,6.40
CV1,100,73,6.06
CV1,100,74,5.55
CV1,100,75,6.06
CV1,100,76,6.71
CV1,100,77,6.55
CV1,100,78,6.06
CV1,100,79,6.43
CV1,100,80,5.95
CV1,100,81,5.44
CV1,100,82,5.74
CV1,100,83,6.66
CV1,100,84,5.98
CV1,100,85,5.98
CV1,100,86,5.97
CV1,100,87,6.79
CV1,100,88,6.69
CV1,100,89,6.90
CV1,100,90,6.02
CV1,100,91,6.19
CV1,100,92,5.52
CV1,100,93,6.64
CV1,100,94,5.65
CV1,100,95,6.15
CV1,100,96,5.67
CV1,100,97,5.85
CV1,100,98,5.76
CV1,100,99,5.85
CV1,100,100,5.87
CV1,100,101,5.87
CV1,100,102,6.40
CV1,100,103,5.67
CV1,100,104,6.15
CV1,100,105,6.53
CV1,100,106,5.89
CV1,100,107,5.82
CV1,100,108,5.98
CV1,100,109,6.53
CV1,100,110,6.15
CV1,100,111,5.87
CV1,100,112,6.26
CV1,100,113,5.67
CV1,100,114,6.34
CV1,100,115,6.23
CV1,100,116,5.97
CV1,100,117,5.76
CV1,100,118,5.74
CV1,100,119,6.28
CV1,100,120,6.55
CV1,100,121,5.83
CV1,100,122,6.25
CV1,100,123,5.29
CV1,100,124,5.85
CV1,100,125,6.06
CV1,100,126,5.74
CV1,100,127,5.72
CV1,100,128,5.83
CV1,100,129,6.19
CV1,100,130,6.00
CV1,100,131,5.24
CV1,100,132,5.29
CV1,100,133,5.85
CV1,100,134,6.25
CV1,100,135,5.05
CV1,100,136,5.89
CV1,100,137,5.87
CV1,100,138,6.60
CV1,100,139,5.93
CV1,100,140,6.23
CV1,100,141,6.13
CV1,100,142,5.27
CV1,100,143,6.36
CV1,100,144,6.15
CV1,100,145,6.26
CV1,100,146,7.55
CV1,100,147,5.29
CV1,100,148,6.71
CV1,100,149,5.97
CV1,100,150,6.19
CV1,100,151,6.06
CV1,100,152,5.93
CV1,100,153,5.87
CV1,100,154,6.21
CV1,100,155,5.52
CV1,100,156,6.36
CV1,100,157,5.93
CV1,100,158,5.65
CV1,100,159,5.91
CV1,100,160,6.55
CV1,100,161,5.87
CV1,100,162,6.21
