treatment,block,section,days,yield
N0,II,1,7,0
N0,II,2,7,0
N0,II,3,7,0
N0,III,1,7,0
N0,III,2,7,0
N0,III,3,7,0
N0,IV,1,7,0
N0,IV,2,7,0
N0,IV,3,7,0
N1,I,1,10,74.1
N1,I,2,10,0
N1,I,3,10,0
N1,II,1,10,0
N1,II,2,10,0
N1,II,3,10,0
N1,III,1,10,0
N1,III,2,10,0
N1,III,3,10,0
N1,IV,1,10,0
N1,IV,2,10,0
N1,IV,3,10,0
N1,I,1,10,86.45
N1,I,2,10,395.2
N1,I,3,10,148.2
N1,II,1,10,86.45
N1,II,2,10,61.75
N1,II,3,10,0
N1,III,1,10,0
N1,III,2,10,0
N1,III,3,10,0
N1,IV,1,10,123.5
N1,IV,2,10,0
N1,IV,3,10,0
N0,I,1,10,321.1
N0,I,2,10,1148.55
N0,I,3,10,1123.85
N0,II,1,10,1086.8
N0,II,2,10,432.25
N0,II,3,10,0
N0,III,1,10,0
N0,III,2,10,926.25
N0,III,3,10,654.55
N0,IV,1,10,432.25
N0,IV,2,10,975.65
N0,IV,3,10,0
N0,I,1,10,494
N0,I,2,10,518.7
N0,I,3,10,345.8
N0,II,1,10,0
N0,II,2,10,0
N0,II,3,10,0
N0,III,1,10,98.8
N0,III,2,10,61.75
N0,III,3,10,0
N0,IV,1,10,0
N0,IV,2,10,0
N0,IV,3,10,0
N1,I,1,14,889.2
N1,I,2,14,358.15
N1,I,3,14,0
N1,II,1,14,0
N1,II,2,14,0
N1,II,3,14,0
N1,III,1,14,0
N1,III,2,14,0
N1,III,3,14,358.15
N1,IV,1,14,86.45
N1,IV,2,14,0
N1,IV,3,14,0
N1,I,1,14,296.4
N1,I,2,14,0
N1,I,3,14,345.8
N1,II,1,14,222.3
N1,II,2,14,98.8
N1,II,3,14,0
N1,III,1,14,197.6
N1,III,2,14,123.5
N1,III,3,14,0
N1,IV,1,14,135.85
N1,IV,2,14,0
N1,IV,3,14,74.1
N0,I,1,14,407.55
N0,I,2,14,1160.9
N0,I,3,14,395.2
N0,II,1,14,148.2
N0,II,2,14,0
N0,II,3,14,0
N0,III,1,14,382.85
N0,III,2,14,160.55
N0,III,3,14,160.55
N0,IV,1,14,0
N0,IV,2,14,0
N0,IV,3,14,0
N0,I,1,14,321.1
N0,I,2,14,0
N0,I,3,14,419.9
N0,II,1,14,74.1
N0,II,2,14,222.3
N0,II,3,14,0
N0,III,1,14,148.2
N0,III,2,14,61.75
N0,III,3,14,197.6
N0,IV,1,14,0
N0,IV,2,14,407.55
N0,IV,3,14,0
N1,I,1,21,0
N1,I,2,21,0
N1,I,3,21,0
N1,II,1,21,0
N1,II,2,21,0
N1,II,3,21,106.21
N1,III,1,21,0
N1,III,2,21,0
N1,III,3,21,101.27
N1,IV,1,21,0
N1,IV,2,21,0
N1,IV,3,21,0
N1,I,1,21,0
N1,I,2,21,0
N1,I,3,21,98.8
N1,II,1,21,100.035
N1,II,2,21,345.8
N1,II,3,21,172.9
N1,III,1,21,116.09
N1,III,2,21,0
N1,III,3,21,107.445
N1,IV,1,21,104.975
N1,IV,2,21,0
N1,IV,3,21,0
N0,I,1,21,102.505
N0,I,2,21,0
N0,I,3,21,135.85
N0,II,1,21,0
N0,II,2,21,0
N0,II,3,21,0
N0,III,1,21,0
N0,III,2,21,104.975
N0,III,3,21,0
N0,IV,1,21,432.25
N0,IV,2,21,0
N0,IV,3,21,0
N0,I,1,21,172.9
N0,I,2,21,0
N0,I,3,21,321.1
N0,II,1,21,0
N0,II,2,21,0
N0,II,3,21,0
N0,III,1,21,0
N0,III,2,21,111.15
N0,III,3,21,0
N0,IV,1,21,247
N0,IV,2,21,0
N0,IV,3,21,0
N1,I,1,24,0
N1,I,2,24,0
N1,I,3,24,0
N1,II,1,24,0
N1,II,2,24,0
N1,II,3,24,0
N1,III,1,24,0
N1,III,2,24,0
N1,III,3,24,0
N1,IV,1,24,0
N1,IV,2,24,0
N1,IV,3,24,0
N1,I,1,24,0
N1,I,2,24,0
N1,I,3,24,0
N1,II,1,24,0
N1,II,2,24,0
N1,II,3,24,0
N1,III,1,24,0
N1,III,2,24,0
N1,III,3,24,0
N1,IV,1,24,0
N1,IV,2,24,0
N1,IV,3,24,0
N0,I,1,24,0
N0,I,2,24,0
N0,I,3,24,0
N0,II,1,24,0
N0,II,2,24,0
N0,II,3,24,0
N0,III,1,24,0
N0,III,2,24,0
N0,III,3,24,0
N0,IV,1,24,0
N0,IV,2,24,0
N0,IV,3,24,0
N0,I,1,24,148.2
N0,I,2,24,0
N0,I,3,24,0
N0,II,1,24,0
N0,II,2,24,0
N0,II,3,24,0
N0,III,1,24,0
N0,III,2,24,86.45
N0,III,3,24,0
N0,IV,1,24,0
N0,IV,2,24,0
N0,IV,3,24,0
N1,I,1,28,0
N1,I,2,28,0
N1,I,3,28,0
N1,II,1,28,0
N1,II,2,28,0
N1,II,3,28,0
N1,III,1,28,0
N1,III,2,28,0
N1,III,3,28,0
N1,IV,1,28,0
N1,IV,2,28,0
N1,IV,3,28,0
N1,I,1,28,0
N1,I,2,28,0
N1,I,3,28,0
N1,II,1,28,12.35
N1,II,2,28,0
N1,II,3,28,0
N1,III,1,28,0
N1,III,2,28,0
N1,III,3,28,0
N1,IV,1,28,12.35
N1,IV,2,28,0
N1,IV,3,28,0
N0,I,1,28,0
N0,I,2,28,0
N0,I,3,28,0
N0,II,1,28,0
N0,II,2,28,0
N0,II,3,28,0
N0,III,1,28,0
N0,III,2,28,0
N0,III,3,28,0
N0,IV,1,28,0
N0,IV,2,28,0
N0,IV,3,28,0
N0,I,1,28,37.05
N0,I,2,28,0
N0,I,3,28,0
N0,II,1,28,0
N0,II,2,28,0
N0,II,3,28,0
N0,III,1,28,0
N0,III,2,28,0
N0,III,3,28,0
N0,IV,1,28,0
N0,IV,2,28,0
N0,IV,3,28,0
