Genotype,Length_mm,Width_mm,Area_mm_2,GW_mg
cv1,5.78,3,12.65,28.5
cv1,6.06,3.13,14.73,34.84
cv1,6.53,3.69,18.77,47.97
cv1,6.19,3.98,18.61,47.43
cv1,6.45,3.41,17.28,43.02
cv1,6.65,3.71,19.63,50.89
cv1,6.06,3.79,17.4,43.39
cv1,6.92,3.47,18.73,47.85
cv1,6.69,3.92,20.38,53.48
cv1,6.4,3.57,17.99,45.36
cv1,6.33,3.75,17.88,44.97
cv1,6.57,3.77,19.57,50.67
cv1,5.65,2.92,12.16,27.03
cv1,6.39,3.71,17.56,43.92
cv1,6.8,3.14,16.64,40.9
cv1,6.87,3.77,20.54,54.03
cv1,5.84,2.4,10.67,22.76
cv1,6.53,3.79,19.39,50.07
cv1,6.43,3.75,18.87,48.3
cv1,6.55,3.59,18.44,46.87
cv1,5.53,3.23,13.24,30.25
cv1,5.88,3.5,14.66,34.62
cv1,6.45,2.78,13.26,30.33
cv1,6.5,3.63,17.34,43.22
cv1,6.44,3.47,16.84,41.57
cv1,6.5,3.8,18.29,46.36
cv1,6.5,3.34,16.41,40.16
cv1,6.28,3.5,16.77,41.34
cv1,6.28,3.13,15.2,36.31
cv1,5.82,2.79,11.98,26.52
cv1,5.18,2.44,9.47,19.45
cv1,6.71,3.55,18.18,46.01
cv1,4.98,2.73,10.37,21.91
cv1,6.57,3.52,17.57,43.95
cv1,6.54,3.58,17.9,45.06
cv1,6.57,3.56,18.49,47.04
cv1,6.71,3.69,18.87,48.3
cv1,6.3,3.29,15.71,37.91
cv1,6.45,3.69,18.65,47.58
cv1,6.65,4.13,22.1,59.5
cv1,6.13,3.59,16.79,41.42
cv1,6.37,3.4,16.1,39.16
cv1,7.09,3.77,20.29,53.17
cv1,6.94,3.98,21.75,58.28
cv1,5.99,3.19,14.37,33.71
cv1,6.6,3.03,14.44,33.93
cv1,6.51,3.56,17.72,44.45
cv1,6.8,3.67,19.07,48.99
cv1,5.64,3.08,13.27,30.36
cv1,5.59,3.15,13.17,30.04
cv1,6.37,3.38,16.21,39.53
cv1,6.07,3.31,14.83,35.15
cv1,6.03,3.16,14.37,33.71
cv1,6.57,3.45,16.77,41.34
cv1,5.18,2.65,10.02,20.95
cv1,5.91,3.15,14.34,33.63
cv1,6.31,3.34,16.1,39.16
cv1,5.99,3.11,14.15,33.03
cv1,6.15,3.34,15.44,37.07
cv1,6.03,3.02,13.58,31.3
cv1,5.96,2.96,13.09,29.8
cv1,6.32,3.43,16.24,39.62
cv1,4.82,2.35,8.55,17
cv1,6.79,3.78,19.29,49.74
cv1,5.62,3.04,13.14,29.96
cv1,6.61,3.45,17.38,43.34
cv1,5.98,3.32,15.02,35.76
cv1,7.27,4.31,23.44,64.33
cv1,6.44,3.43,16.8,41.45
cv1,6.78,4.06,20.83,55.05
cv1,6.94,3.37,17.8,44.71
cv1,6.59,3.97,20.25,53.02
cv1,5.76,2.87,12.19,27.14
cv1,6.75,3.58,18.16,45.92
cv1,6.69,3.97,19.68,51.07
cv1,6.5,3.53,17.16,42.61
cv1,6.38,3.23,15.51,37.3
cv1,6.52,3.3,16.71,41.13
cv1,6.42,3.49,17.25,42.9
cv1,6.63,3.77,18.58,47.34
cv1,6.07,3.37,15.48,37.18
cv1,6.71,3.84,19.61,50.83
cv1,6.5,2.79,13.74,31.78
cv1,5.35,2.95,12.14,26.98
cv1,6.71,3.67,18.67,47.64
cv1,6.5,3.69,19.05,48.93
cv1,6.42,3.35,16.83,41.54
cv1,5.59,2.99,12.55,28.21
cv1,5.86,3.65,15.9,38.54
cv1,5.49,2.8,11.39,24.82
cv1,7.03,3.72,19.79,51.43
cv1,6.01,2.92,13.14,29.96
cv1,6.5,3.35,16.1,39.19
cv1,6.62,3.83,19.75,51.31
cv1,6.04,3.24,15.16,36.18
cv1,6.65,3.75,18.95,48.57
cv1,6.76,3.45,18,45.39
cv1,6.5,3.05,14.44,33.93
cv1,6.31,3.11,14.71,34.76
cv1,6.13,3.45,16,38.85
cv1,5.98,2.93,13.24,30.28
cv1,6.02,3.45,16,38.85
cv1,6.36,3.1,15.04,35.81
cv1,6.55,3.38,16.47,40.36
cv1,6.05,3.52,16.34,39.96
cv1,6.04,3.1,13.72,31.73
cv1,6.73,3.27,16.72,41.16
cv1,6.55,3.51,17.2,42.75
cv1,5.38,3.08,12.46,27.92
cv1,6.24,3.41,16.61,40.82
cv1,5.76,3.03,13.08,29.77
cv1,6.39,3.71,17.7,44.39
cv1,6.39,3.46,17.4,43.39
cv1,6.24,3.17,15.05,35.84
cv1,6.2,3.2,15.04,35.81
cv1,6.26,3.61,17.41,43.45
cv1,7.21,3.91,21.78,58.37
cv1,6.41,3.44,17.23,42.84
cv1,6.61,3.59,18.03,45.48
cv1,6.45,3.65,18.72,47.79
cv1,6.87,3.56,19.33,49.86
cv1,4.84,2.3,8.16,15.98
cv1,6.7,3.73,19.42,50.19
cv1,6.61,3.66,19.1,49.08
cv1,6.63,4.18,20.62,54.31
cv1,6.45,3.71,19.14,49.23
cv1,6.09,3.23,14.56,34.32
cv1,6.81,3.84,20.02,52.22
cv1,6.14,3.41,15.42,37.01
cv1,5.09,2.75,10.38,21.94
cv1,6.29,3.54,16.79,41.42
cv1,5.96,3.34,15.13,36.09
cv1,6.37,3.29,15.38,36.87
cv1,5.98,3.05,14.25,33.36
cv1,5.98,2.9,12.86,29.13
cv1,6.05,3.07,14.09,32.87
cv1,6.36,3.74,18.72,47.79
cv1,5.89,2.48,10.96,23.58
cv1,5.8,3.26,14.64,34.57
cv1,7.05,3.91,21.27,56.56
cv1,6.72,3.58,18.96,48.6
cv1,6.17,3.71,17.96,45.27
cv1,6.33,3.74,18.39,46.69
cv1,6.44,3.56,17.09,42.38
cv1,6.75,3.42,17.17,42.64
cv1,6.76,3.7,19.02,48.81
cv1,6.53,3.85,18.83,48.18
cv1,6.21,3.73,17.62,44.12
cv1,6.45,3.73,18.9,48.42
cv1,6.24,3.62,16.66,40.99
cv1,6.45,3.73,17.89,45.03
cv1,5.78,3.14,13.97,32.49
cv1,6.75,3.56,18.87,48.3
cv1,5.7,2.8,12.39,27.71
cv1,4.66,2.58,8.68,17.32
cv1,5.67,2.37,10.03,20.98
cv1,6.25,3.63,16.76,41.31
cv1,6.62,3.72,19.27,49.65
cv1,6.01,3.28,15.31,36.65
cv1,6.13,3.4,15.83,38.31
cv1,5.86,3.56,15.77,38.11
cv1,6.37,3.58,17.56,43.92
cv1,5.91,3.01,13.64,31.48
cv1,6.32,3.39,16.48,40.39
cv1,5.83,3.05,13.32,30.52
cv1,6.32,3.45,16.43,40.24
cv1,6.24,3.4,16.05,39.02
cv1,6.73,3.44,17.44,43.54
cv1,6.31,3.78,18.13,45.83
cv1,6.48,3.74,18.6,47.4
cv1,5.22,2.57,10.08,21.13
cv1,6.28,3.63,17.39,43.36
cv1,5.95,3.09,14.02,32.65
cv1,6.53,3.62,18.63,47.49
cv1,6.37,3.04,14.57,34.35
cv1,6.8,3.72,19.21,49.47
cv1,6.07,4.04,17.86,44.92
cv1,6.36,3.27,15.6,37.58
cv1,6.08,3.6,16.66,40.99
cv1,6.42,3.49,17.14,42.55
cv1,6.07,3.1,14.24,33.3
cv1,6.33,3.66,18.11,45.77
cv1,5.51,2.63,11.17,24.19
cv1,6.36,3.53,17.03,42.17
cv1,6.76,3.5,18.66,47.61
cv1,6.73,3.14,14.65,34.59
cv1,6.42,3.32,16.33,39.93
cv1,6.52,3.48,17.56,43.92
cv1,6.44,2.94,14.36,33.69
cv1,6.41,3.69,18.11,45.77
cv1,7.02,3.7,20.17,52.74
cv1,5.85,2.98,13.12,29.9
cv1,6.2,3.39,15.77,38.11
cv1,6.34,3.2,14.91,35.4
cv1,6.45,3.32,17.49,43.69
cv1,6.14,2.73,12.73,28.74
cv1,6.8,3.84,20.1,52.5
cv1,5.82,2.78,11.88,26.23
cv1,6.26,3.49,16.66,40.99
cv1,6.46,3.72,18.87,48.3
cv1,6.4,3.72,17.41,43.42
cv1,5.62,3.12,13.11,29.88
cv1,6.32,3.08,14.47,34.02
cv1,6.61,3.78,19.85,51.64
cv1,6.46,3.46,17.28,43.02
cv1,6.09,3.06,13.92,32.32
cv1,6.15,3.2,14.65,34.59
cv1,6.95,3.96,20.82,55.02
cv1,6.26,3.38,16.34,39.96
cv1,6.61,3.3,16.15,39.33
cv1,6.95,3.52,18.65,47.55
cv1,6.26,3.44,16.09,39.13
cv1,6.28,3.72,17.95,45.24
cv1,6.33,3.34,15.77,38.11
cv1,6.08,2.67,11.93,26.36
cv1,5.98,3.21,14.46,33.99
cv1,6.33,3.35,15.39,36.9
cv1,6.26,3.39,16.3,39.82
cv1,6.4,3.7,17.26,42.96
cv1,6.44,3.56,17.11,42.46
cv1,6.53,3.79,19.18,49.35
cv1,6.28,3.12,15.1,36.01
cv1,6.28,3.35,16.08,39.1
cv1,5.59,2.8,11.45,24.97
cv1,6.63,3.62,18.73,47.82
cv1,5.93,3.39,15.09,35.95
cv1,6.95,3.35,17.36,43.28
cv1,6.55,3.4,17.05,42.26
cv1,7.03,3.66,19.19,49.41
cv1,5.87,3.67,16.1,39.19
cv1,6.32,3.39,15.82,38.28
cv1,6.95,3.92,20.43,53.66
cv1,4.62,2.43,8.57,17.04
cv1,6.08,3.55,16.38,40.07
cv1,6.35,3.61,17.17,42.64
cv1,6.31,3.74,17.99,45.36
cv1,6.9,3.96,21.14,56.13
cv1,5.91,3.34,14.71,34.79
cv1,5.69,3.17,13.48,31
cv1,5.32,2.99,11.75,25.85
cv1,6.73,4.17,20.15,52.68
cv1,5.69,3.09,12.36,27.63
cv1,5.85,3.11,13.78,31.92
cv1,5.69,2.98,12.81,28.97
cv1,6.73,3.7,19.4,50.1
cv1,6.01,3.29,14.59,34.4
cv1,5.88,3.39,14.58,34.37
cv1,6.82,3.53,18.56,47.25
cv1,5.18,2.56,9.69,20.05
cv1,6.55,3.44,17.1,42.43
cv1,5.4,3,12.16,27.06
cv1,6.36,3.72,17.9,45.06
cv1,7.13,4.03,22.88,62.29
cv1,6.51,2.98,14.5,34.13
cv1,6.49,3.25,15.49,37.24
cv1,6.73,3.91,20.4,53.54
cv1,6.42,3.55,17.45,43.57
cv1,7.07,3.92,21.75,58.28
cv1,6.55,3.51,16.93,41.86
cv1,6.09,3.59,16.43,40.24
cv1,5.48,2.57,10.73,22.93
cv1,6.01,2.73,12.11,26.9
cv1,6.33,3.88,19.65,50.98
cv1,6.69,4.04,20.51,53.94
cv1,6.42,3.95,19.95,51.98
cv1,6.06,3.37,15.41,36.99
cv1,6.32,3.79,18.08,45.65
cv1,6.44,3.55,17.42,43.48
cv1,6.82,3.75,19.6,50.8
cv1,6.73,3.6,18.7,47.73
cv1,6.26,3.45,16.16,39.36
cv1,7.12,3.72,20.69,54.55
cv1,6.02,3.35,15.49,37.24
cv1,6.92,3.82,19.97,52.07
cv1,5.24,2.54,10.03,20.98
cv1,5.89,3.35,14.89,35.34
cv1,5.8,3.24,14.04,32.7
cv1,7.03,3.47,18.62,47.46
cv1,6.02,3.2,14.69,34.7
cv1,5.88,3.22,14.09,32.87
cv1,6.57,3.94,19.92,51.89
cv1,5.76,3.12,13.31,30.46
cv1,6.16,3.2,15.04,35.81
cv1,6.7,3.53,19.05,48.93
cv1,5.89,2.87,12.51,28.08
cv1,5.96,3.35,14.77,34.95
cv1,6.7,4.01,21.73,58.19
cv1,6.64,3.53,18.13,45.83
cv1,5.96,3.33,15.09,35.95
cv1,6.67,3.69,18.4,46.72
cv1,6.06,2.53,11.77,25.9
cv1,7.28,3.73,20.49,53.85
cv1,6.61,3.93,19.62,50.86
cv1,6.96,3.63,19.64,50.92
cv1,5.3,2.8,10.71,22.88
cv1,4.91,2.77,10.5,22.28
cv1,6.55,3.67,18.97,48.66
cv1,6.41,3.15,14.99,35.65
cv1,5.93,3.23,14.5,34.13
cv1,6.28,3.33,16.26,39.7
cv1,6.39,3.31,16.1,39.19
cv1,6.94,3.56,19.44,50.25
cv1,5.78,2.87,12.63,28.45
cv1,6.13,3.25,15.3,36.62
cv1,6.75,3.75,19.42,50.19
cv1,6.5,3.3,16.18,39.42
cv1,6.14,3.3,15.75,38.06
cv1,6.4,3.67,16.99,42.06
cv1,6.15,3.45,15.91,38.56
