grain_area,grain_weight
18.77,54.15
19.40,56.30
19.78,54.85
19.29,55.40
19.55,55.53
21.67,60.87
22.55,60.85
22.18,62.73
21.52,58.97
18.67,51.85
16.70,45.90
19.90,52.80
21.00,56.90
20.30,50.20
21.40,62.00
17.33,43.45
19.29,52.40
20.84,58.60
21.31,62.43
16.72,44.03
18.10,52.80
19.15,56.47
19.93,58.27
20.64,58.17
20.15,56.93
20.00,52.60
20.84,60.70
21.50,60.20
17.81,46.75
14.80,46.51
17.70,48.37
19.47,51.15
20.30,54.50
19.92,55.90
19.62,54.70
15.20,36.10
20.91,56.87
19.50,54.17
21.22,59.97
21.85,58.67
16.30,39.50
18.10,52.40
23.20,60.50
19.47,57.90
20.73,57.73
22.39,59.83
22.17,65.93
24.03,69.17
20.70,59.90
20.92,55.63
19.60,49.40
19.57,54.30
22.54,60.83
22.38,63.90
22.77,65.63
24.13,67.20
24.47,67.00
22.87,60.57
12.20,23.10
17.45,44.90
19.65,54.70
22.54,63.20
22.99,64.70
23.66,65.63
21.86,59.20
19.89,52.10
18.44,47.27
17.33,44.43
18.10,44.40
21.24,54.47
21.74,61.57
20.41,54.53
21.00,56.60
20.18,52.95
20.60,55.30
18.18,45.43
20.22,51.75
19.97,51.70
15.70,40.33
21.73,56.20
20.61,53.45
21.20,54.80
20.98,61.03
20.57,52.90
20.90,53.83
17.48,42.97
23.72,62.57
23.65,62.33
19.60,53.60
21.80,56.70
23.10,62.03
23.63,64.63
18.40,45.50
20.85,56.57
11.60,22.90
21.20,55.90
18.74,51.97
18.95,51.65
18.63,49.97
19.96,54.15
20.89,56.07
20.26,58.93
16.73,44.10
20.50,56.50
20.09,54.80
16.90,46.10
18.90,53.60
20.23,54.60
19.75,51.60
21.10,57.37
19.61,51.97
22.23,58.37
22.24,61.10
18.61,49.10
20.84,62.30
16.19,39.92
18.10,48.33
17.09,39.66
13.84,28.22
10.72,23.92
18.67,45.02
19.89,51.21
15.60,40.08
19.20,49.98
17.42,39.88
22.07,55.67
13.84,33.16
17.91,47.32
16.91,40.97
20.53,54.54
11.88,24.05
15.86,41.10
16.49,40.03
11.98,28.00
18.27,46.98
20.96,56.36
10.42,19.24
17.80,45.23
18.53,49.24
19.11,47.73
14.48,30.07
22.20,59.67
17.45,44.22
20.73,53.57
10.46,19.27
21.43,48.99
22.69,60.95
17.93,49.53
18.73,46.92
23.83,61.00
22.83,53.27
23.32,55.26
21.07,59.70
23.93,56.57
22.62,59.59
16.31,36.42
19.49,47.05
20.82,48.49
19.43,52.52
20.27,48.77
21.29,53.37
20.14,56.17
18.69,47.39
20.97,55.64
22.88,60.83
15.45,39.14
21.59,61.15
19.50,53.95
17.53,45.61
18.15,41.14
19.64,49.76
20.26,49.30
20.12,57.23
22.83,57.92
24.34,59.19
18.39,42.43
17.38,36.56
15.61,34.31
12.03,26.02
19.79,45.43
20.44,52.94
16.23,35.79
15.62,40.30
16.85,39.03
14.06,26.97
17.71,40.13
19.83,53.90
15.42,34.68
12.39,24.72
16.40,37.03
16.18,36.49
17.64,45.98
16.06,37.06
13.90,28.53
17.74,42.24
17.87,36.21
19.42,45.97
16.18,40.86
19.19,44.68
20.20,45.77
15.58,30.96
17.91,40.65
17.61,41.41
18.85,43.37
19.50,44.91
19.71,43.05
16.58,41.17
18.77,53.31
20.14,53.66
17.57,41.67
18.81,45.17
18.71,48.83
19.17,51.58
14.61,33.47
18.32,44.61
17.36,42.30
20.38,54.27
19.01,51.29
17.52,46.81
18.19,49.76
18.43,47.30
10.12,18.40
10.41,18.82
15.93,34.94
19.74,52.32
15.20,36.42
15.83,39.34
19.66,55.27
13.33,27.26
21.19,53.58
15.87,35.01
16.59,36.62
17.39,38.06
14.77,27.60
16.83,38.40
10.22,16.44
21.87,47.48
12.72,27.86
21.43,59.59
19.39,55.09
18.20,40.79
13.55,28.04
19.84,56.16
20.03,54.56
19.78,52.58
15.96,37.38
16.86,47.39
19.91,55.00
16.52,44.97
20.39,55.94
15.91,43.72
18.72,51.08
17.31,50.83
20.33,53.99
13.60,26.65
21.15,52.44
18.63,48.83
18.48,50.96
19.48,46.71
18.96,42.42
17.50,43.39
18.74,46.21
17.54,42.69
16.53,40.72
17.37,41.28
18.80,49.81
17.03,43.08
18.54,45.49
19.11,48.04
16.78,41.75
20.60,48.67
18.73,45.64
16.33,36.50
16.23,36.30
20.77,51.96
19.10,46.62
18.86,41.66
19.84,50.46
22.05,57.74
16.02,39.20
18.95,44.28
18.79,44.89
11.68,23.05
15.23,31.42
18.96,49.30
16.09,37.58
13.94,33.37
9.56,16.70
16.23,37.81
17.16,44.98
15.32,32.46
20.31,44.39
17.76,42.51
16.94,37.26
16.17,34.50
19.30,50.91
21.40,50.57
18.00,39.38
20.70,52.75
20.60,51.40
22.70,49.81
15.90,38.26
18.90,45.88
17.80,39.77
12.90,25.23
18.30,47.49
19.90,48.85
15.90,30.30
15.40,29.38
21.10,53.60
22.40,54.37
18.70,49.43
21.50,56.00
14.10,32.65
17.00,34.75
16.10,28.59
15.50,32.89
21.40,57.55
18.50,44.62
19.40,38.14
16.50,32.43
14.30,26.72
24.40,55.28
18.70,42.54
18.40,37.32
19.70,48.03
20.60,40.80
19.60,48.38
20.40,46.61
18.60,42.50
14.80,29.79
15.00,30.39
14.20,27.76
11.50,25.05
20.10,47.50
20.60,50.89
19.90,42.48
22.20,62.07
13.00,24.79
21.70,54.81
22.40,55.46
17.10,37.28
14.10,27.55
13.90,28.23
14.50,25.78
17.50,36.07
16.80,36.52
17.70,42.23
10.80,25.37
15.90,30.17
17.70,43.25
14.10,31.70
16.40,41.56
16.10,41.57
16.70,39.86
16.60,40.36
16.50,42.35
15.80,39.94
12.10,32.68
16.40,34.58
13.60,31.44
14.70,40.24
14.70,31.00
17.10,45.17
14.70,36.94
18.90,47.74
14.90,34.68
18.40,47.21
15.20,36.60
19.30,47.85
15.90,35.93
19.10,44.75
17.30,46.06
16.50,40.62
13.50,34.47
14.40,32.87
16.10,38.45
19.70,53.44
18.80,47.07
16.30,42.21
13.00,30.62
14.70,34.56
14.60,34.67
17.50,44.89
16.50,40.22
15.40,36.90
19.00,49.32
14.50,34.70
13.00,28.85
21.00,46.04
16.60,38.13
20.50,52.42
11.70,26.37
17.30,42.86
19.70,45.48
17.30,45.30
20.70,61.80
19.30,54.00
21.90,67.30
21.20,62.10
15.20,38.30
19.10,57.70
18.50,53.40
18.80,57.30
18.60,55.50
19.30,52.30
20.00,57.40
18.90,55.00
18.60,50.60
20.10,57.60
20.50,58.90
17.30,48.50
19.70,54.40
20.00,61.70
19.10,56.60
18.20,52.40
19.50,53.90
17.60,46.30
19.40,58.00
17.50,51.40
19.10,52.60
19.20,55.00
17.60,48.10
17.50,51.10
20.70,62.00
18.70,52.40
19.60,57.20
18.30,51.40
20.30,56.30
18.20,47.40
17.30,46.80
16.20,44.30
19.80,57.50
18.70,53.20
16.40,42.60
17.70,44.30
19.40,61.10
19.50,60.60
20.00,60.40
19.50,56.90
17.00,45.40
20.60,63.50
19.60,52.20
21.10,63.10
20.30,55.50
20.60,56.70
19.00,49.60
20.50,60.30
20.30,59.60
20.20,56.60
19.80,52.30
19.90,60.60
20.90,59.60
18.20,45.60
17.90,49.30
20.70,56.30
18.20,46.60
17.90,48.00
18.40,48.50
18.90,53.90
21.00,63.80
21.90,57.70
19.20,51.00
16.30,44.00
22.70,67.30
17.10,46.70
15.80,39.20
20.00,60.00
21.30,57.60
23.00,64.00
17.50,42.30
20.10,59.30
18.20,52.20
18.60,50.50
17.10,47.90
20.50,51.90
17.40,48.00
18.10,46.50
17.60,44.10
18.10,46.40
19.30,52.80
15.50,37.40
20.40,55.40
19.20,53.50
17.60,41.60
16.60,47.90
17.40,48.30
20.70,57.70
18.90,51.40
19.40,51.70
16.20,45.20
18.40,51.80
20.80,60.10
18.70,50.40
18.80,48.70
18.00,50.00
19.10,54.00
19.90,53.10
17.10,45.40
18.50,51.80
19.10,50.20
14.70,36.50
22.60,64.60
23.10,61.50
15.80,35.60
14.60,34.60
16.00,46.40
18.20,49.30
16.80,40.30
20.70,57.30
24.00,63.30
16.10,41.20
22.50,58.50
12.70,29.40
12.00,26.20
16.80,42.00
18.20,48.70
14.70,36.20
18.40,47.40
14.50,38.60
14.40,34.50
17.80,44.20
13.00,35.40
12.90,30.00
14.40,35.00
20.10,54.80
21.10,56.60
17.10,45.00
18.60,52.40
17.30,46.70
15.57,37.69
17.14,42.79
16.24,39.85
7.85,15.24
14.32,33.74
10.93,23.61
18.69,47.98
10.81,23.27
16.90,42.00
13.79,32.10
16.69,41.31
14.61,34.65
10.65,22.81
16.97,42.23
14.96,35.75
17.77,44.88
14.65,34.77
16.09,39.36
18.71,48.05
19.01,49.07
12.39,27.86
19.94,52.27
15.57,37.69
10.55,22.53
17.46,43.85
15.40,37.15
20.18,53.10
18.83,48.46
19.34,50.20
8.65,17.33
9.70,20.16
19.27,49.96
15.67,38.01
14.54,34.43
11.43,25.05
15.89,38.72
19.26,49.92
16.57,40.92
16.76,41.54
12.38,27.83
21.53,57.85
20.46,54.08
19.79,51.75
18.13,46.09
16.38,40.30
16.46,40.56
17.38,43.59
10.62,22.73
15.86,38.62
18.73,48.12
18.96,48.90
12.01,26.74
16.72,41.41
16.02,39.13
15.56,37.66
16.83,41.77
7.56,14.50
19.21,49.75
18.20,46.32
19.14,49.51
18.83,48.46
19.12,49.45
19.19,49.68
9.07,18.45
12.71,28.82
14.77,35.15
20.53,54.32
15.63,37.88
17.32,43.39
10.95,23.66
11.26,24.55
17.49,43.95
19.09,49.34
17.64,44.45
16.95,42.17
21.86,59.02
17.11,42.69
20.33,53.62
17.65,44.48
14.33,33.77
19.10,49.38
12.82,29.15
7.36,14.00
16.47,40.59
15.98,39.01
12.90,29.39
16.02,39.13
19.99,52.44
13.46,31.09
18.80,48.35
12.47,28.10
20.78,55.20
19.88,52.06
9.79,20.41
15.49,37.43
15.22,36.57
19.38,50.34
10.74,23.07
17.80,44.98
17.61,44.35
12.86,29.27
12.47,28.10
16.56,40.89
19.91,52.16
19.00,49.04
22.57,61.57
19.95,52.30
16.55,40.86
10.78,23.18
22.17,60.13
19.58,51.02
14.84,35.37
20.57,54.46
22.10,59.88
18.09,45.96
20.41,53.90
16.08,39.33
14.59,34.58
22.51,61.35
11.54,25.37
16.70,41.35
15.99,39.03
16.50,40.69
17.19,42.94
19.26,49.93
20.28,53.46
20.82,55.35
14.80,35.24
19.90,52.13
21.60,58.10
18.40,47.01
21.18,56.61
22.07,59.78
23.97,66.66
23.39,64.56
21.86,59.01
18.77,48.25
19.40,50.41
19.78,51.71
19.29,50.03
19.55,50.93
21.67,58.36
22.55,61.50
22.18,60.16
21.52,57.82
18.67,47.90
16.70,41.35
19.90,52.13
21.00,55.97
20.30,53.52
21.40,57.39
17.33,43.42
19.29,50.03
20.84,55.41
21.31,57.08
16.72,41.41
18.10,45.99
19.15,49.54
19.93,52.24
20.64,54.72
20.15,52.98
20.00,52.48
20.84,55.41
21.50,57.74
17.81,45.01
14.80,35.24
17.70,44.63
19.47,50.64
20.30,53.52
19.92,52.20
19.62,51.15
15.20,36.51
20.91,55.64
19.50,50.75
21.22,56.76
21.85,59.00
16.30,40.04
18.10,45.99
23.20,63.85
19.47,50.66
20.73,55.01
22.39,60.91
22.17,60.14
24.03,66.90
20.70,54.92
20.92,55.68
19.60,51.08
19.57,51.00
22.54,61.44
22.38,60.87
22.77,62.29
24.13,67.24
24.47,68.49
22.87,62.66
12.20,27.30
17.45,43.83
19.65,51.25
22.54,61.45
22.99,63.07
23.66,65.52
21.86,59.03
19.89,52.11
18.44,47.14
17.33,43.41
18.10,45.99
21.24,56.83
21.74,58.59
20.41,53.89
21.00,55.97
20.18,53.09
20.60,54.57
18.18,46.24
20.22,53.23
19.97,52.38
15.70,38.10
21.73,58.57
20.61,54.61
21.20,56.68
20.98,55.90
20.57,54.46
20.90,55.63
17.48,43.92
23.72,65.73
23.65,65.49
19.60,51.09
21.80,58.80
23.10,63.50
23.63,65.42
18.40,47.00
20.85,55.46
11.60,25.54
21.20,56.66
18.74,48.15
18.95,48.87
18.63,47.76
19.96,52.34
20.89,55.60
20.26,53.37
16.73,41.44
20.50,54.21
20.09,52.78
16.90,42.00
18.90,48.69
20.23,53.28
19.75,51.60
21.10,56.32
19.61,51.13
22.23,60.33
22.24,60.39
18.61,47.72
20.84,55.41
16.19,39.69
18.10,45.98
17.09,42.62
13.84,32.25
10.72,23.01
18.67,47.92
19.89,52.11
15.60,37.78
19.20,49.73
17.42,43.73
22.07,59.78
13.84,32.25
17.91,45.35
16.91,42.03
20.53,54.33
11.88,26.36
15.86,38.61
16.49,40.64
11.98,26.65
18.27,46.57
20.96,55.85
10.42,22.16
17.80,45.00
18.53,47.44
19.11,49.43
14.48,34.25
22.20,60.22
17.45,43.82
20.73,55.01
10.46,22.26
21.43,57.48
22.69,62.01
17.93,45.41
18.73,48.10
23.83,66.17
22.83,62.52
23.32,64.29
21.07,56.22
23.93,66.52
22.62,61.75
16.31,40.07
19.49,50.70
20.82,55.35
19.43,50.52
20.27,53.40
21.29,57.01
20.14,52.97
18.69,47.98
20.97,55.88
22.88,62.68
15.45,37.30
21.59,58.07
19.50,50.76
17.53,44.08
18.15,46.16
19.64,51.22
20.26,53.37
20.12,52.91
22.83,62.52
24.34,68.03
18.39,46.96
17.38,43.58
15.61,37.81
12.03,26.80
19.79,51.74
20.44,54.02
16.23,39.81
15.62,37.84
16.85,41.83
14.06,32.93
17.71,44.67
19.83,51.89
15.42,37.22
12.39,27.85
16.40,40.36
16.18,39.67
17.64,44.44
16.06,39.26
13.90,32.44
17.74,44.79
17.87,45.21
19.42,50.49
16.18,39.64
19.19,49.70
20.20,53.18
15.58,37.73
17.91,45.35
17.61,44.35
18.85,48.52
19.50,50.76
19.71,51.46
16.58,40.96
18.77,48.25
20.14,52.97
17.57,44.20
18.81,48.40
18.71,48.04
19.17,49.61
14.61,34.64
18.32,46.72
17.36,43.52
20.38,53.80
19.01,49.06
17.52,44.05
18.19,46.30
18.43,47.11
10.12,21.32
10.41,22.14
15.93,38.84
19.74,51.59
15.20,36.51
15.83,38.52
19.66,51.31
13.33,30.70
21.19,56.63
15.87,38.64
16.59,40.99
17.39,43.61
14.77,35.14
16.83,41.77
10.22,21.59
21.87,59.05
12.72,28.86
21.43,57.48
19.39,50.37
18.20,46.33
13.55,31.38
19.84,51.92
20.03,52.57
19.78,51.71
15.96,38.95
16.86,41.86
19.91,52.17
16.52,40.76
20.39,53.83
15.91,38.78
18.72,48.07
17.31,43.35
20.33,53.62
13.60,31.51
21.15,56.50
18.63,47.77
18.48,47.26
19.48,50.67
18.96,48.88
17.50,43.99
18.74,48.16
17.54,44.11
16.53,40.79
17.37,43.55
18.80,48.37
17.03,42.41
18.54,47.47
19.11,49.40
16.78,41.60
20.60,54.57
18.73,48.13
16.33,40.15
16.23,39.81
20.77,55.16
19.10,49.37
18.86,48.55
19.84,51.92
22.05,59.68
16.02,39.15
18.95,48.85
18.79,48.31
11.68,25.77
15.23,36.60
18.96,48.91
16.09,39.35
13.94,32.58
9.56,19.78
16.23,39.81
17.16,42.85
15.32,36.88
20.31,53.55
17.76,44.85
16.94,42.12
16.17,39.61
19.30,50.06
21.40,57.39
18.00,45.65
20.70,54.92
20.60,54.57
22.70,62.04
15.90,38.75
18.90,48.69
17.80,44.98
12.90,29.39
18.30,46.66
19.90,52.13
15.90,38.75
15.40,37.15
21.10,56.33
22.40,60.96
18.70,48.01
21.50,57.74
14.10,33.06
17.00,42.33
16.10,39.39
15.50,37.46
21.40,57.39
18.50,47.34
19.40,50.41
16.50,40.69
14.30,33.68
24.40,68.25
18.70,48.01
18.40,47.00
19.70,51.44
20.60,54.57
19.60,51.09
20.40,53.87
18.60,47.68
14.80,35.24
15.00,35.88
14.20,33.37
11.50,25.25
20.10,52.82
20.60,54.57
19.90,52.13
22.20,60.24
13.00,29.69
21.70,58.45
22.40,60.96
17.10,42.66
14.10,33.06
13.90,32.44
14.50,34.30
17.50,43.98
16.80,41.67
17.70,44.65
10.80,23.24
15.90,38.75
17.70,44.65
14.10,33.06
16.40,40.37
16.10,39.39
16.70,41.35
16.60,41.02
16.50,40.69
15.80,38.43
12.10,27.00
16.40,40.37
13.60,31.52
14.70,34.93
14.70,34.93
17.10,42.66
14.70,34.93
18.90,48.69
14.90,35.56
18.40,47.00
15.20,36.51
19.30,50.06
15.90,38.75
19.10,49.38
17.30,43.32
16.50,40.69
13.50,31.21
14.40,33.99
16.10,39.39
19.70,51.44
18.80,48.35
16.30,40.04
13.00,29.69
14.70,34.93
14.60,34.62
17.50,43.98
16.50,40.69
15.40,37.15
19.00,49.04
14.50,34.30
13.00,29.69
21.00,55.97
16.60,41.02
20.50,54.22
11.70,25.83
17.30,43.32
19.70,51.44
17.30,43.32
20.70,54.92
19.30,50.06
21.90,59.17
21.20,56.68
15.20,36.51
19.10,49.38
18.50,47.34
18.80,48.35
18.60,47.68
19.30,50.06
20.00,52.48
18.90,48.69
18.60,47.68
20.10,52.82
20.50,54.22
17.30,43.32
19.70,51.44
20.00,52.48
19.10,49.38
18.20,46.32
19.50,50.75
17.60,44.32
19.40,50.41
17.50,43.98
19.10,49.38
19.20,49.72
17.60,44.32
17.50,43.98
20.70,54.92
18.70,48.01
19.60,51.09
18.30,46.66
20.30,53.52
18.20,46.32
17.30,43.32
16.20,39.72
19.80,51.78
18.70,48.01
16.40,40.37
17.70,44.65
19.40,50.41
19.50,50.75
20.00,52.48
19.50,50.75
17.00,42.33
20.60,54.57
19.60,51.09
21.10,56.33
20.30,53.52
20.60,54.57
19.00,49.04
20.50,54.22
20.30,53.52
20.20,53.17
19.80,51.78
19.90,52.13
20.90,55.62
18.20,46.32
17.90,45.32
20.70,54.92
18.20,46.32
17.90,45.32
18.40,47.00
18.90,48.69
21.00,55.97
21.90,59.17
19.20,49.72
16.30,40.04
22.70,62.04
17.10,42.66
15.80,38.43
20.00,52.48
21.30,57.03
23.00,63.13
17.50,43.98
20.10,52.82
18.20,46.32
18.60,47.68
17.10,42.66
20.50,54.22
17.40,43.65
18.10,45.99
17.60,44.32
18.10,45.99
19.30,50.06
15.50,37.46
20.40,53.87
19.20,49.72
17.60,44.32
16.60,41.02
17.40,43.65
20.70,54.92
18.90,48.69
19.40,50.41
16.20,39.72
18.40,47.00
20.80,55.27
18.70,48.01
18.80,48.35
18.00,45.65
19.10,49.38
19.90,52.13
17.10,42.66
18.50,47.34
19.10,49.38
14.70,34.93
22.60,61.68
23.10,63.49
15.80,38.43
14.60,34.62
16.00,39.07
18.20,46.32
16.80,41.67
20.70,54.92
24.00,66.78
16.10,39.39
22.50,61.32
12.70,28.79
12.00,26.71
16.80,41.67
18.20,46.32
14.70,34.93
18.40,47.00
14.50,34.30
14.40,33.99
17.80,44.98
13.00,29.69
12.90,29.39
14.40,33.99
20.10,52.82
21.10,56.33
17.10,42.66
18.60,47.68
17.30,43.32
