genotype,height,spike_weight,disease_spot,heat_tolerance,region,yield
CV2,98.5,28.50,5,no,Mid_West,6775.958
CV1,120.5,28.10,3,no,Mid_East,11718.226
CV2,125.5,32.01,1,no,Test_field,11923.1259
CV2,111.5,27.40,2,no,Mid_East,7703.354
CV2,124.5,34.01,0,no,North,11333.1609
CV1,96.5,29.59,1,no,Test_field,3923.9131
CV2,88.5,35.53,0,no,Test_field,1508.9697
CV1,89.5,39.81,0,no,Mid_West,2731.52095
CV1,108.5,32.97,0,no,North,6547.52435
CV2,98.5,26.89,1,no,Mid_West,4417.71315
CV1,112.5,38.29,0,no,Mid_West,7911.79115
CV2,89.5,37.62,1,yes,Test_field,37141.6638
CV1,115.5,41.23,4,no,North,11010.1617
CV1,104.5,34.80,2,yes,Mid_East,39813.019
CV2,112.5,22.90,2,yes,North,21075.05405
CV1,124.5,31.16,0,yes,North,43555.4394
CV1,123.5,27.20,0,no,Mid_East,11049.676
CV1,113.5,27.74,0,no,North,8003.1666
CV1,122.5,26.98,0,no,North,11059.0772
CV1,88.5,39.49,0,no,Test_field,2003.4741
CV1,120.5,24.80,1,no,North,10918.63205
CV2,126.5,29.83,3,yes,Mid_West,30161.4367
CV2,102.5,34.77,2,no,North,5705.5053
CV1,131.5,31.30,2,yes,Mid_East,47267.555
CV1,95.5,37.62,1,no,Test_field,3743.3838
CV1,121.5,30.80,3,no,Mid_East,12081.82
CV2,122.5,38.28,0,no,Test_field,10202.7842
CV2,123.5,19.95,0,yes,Mid_West,22389.1485
CV2,105.5,19.30,0,yes,Mid_East,15797.199
CV1,108.5,31.60,0,no,Mid_East,6162.627
CV2,97.5,25.46,0,no,Mid_West,3621.5894
CV1,85.5,30.12,0,no,Mid_West,21321.3467
CV1,128.5,29.92,3,yes,Test_field,30918.6918
CV1,101.5,27.50,1,no,Mid_East,4980.353
CV2,87.5,28.03,1,yes,North,17536.87975
CV1,86.5,28.40,1,no,Mid_East,2308.019
CV2,93.5,30.88,2,no,North,3853.80425
CV2,96.5,27.94,0,no,Test_field,2843.6196
CV2,130.5,35.09,0,yes,Test_field,47032.0321
CV2,121.5,33.63,1,no,North,10801.7537
CV1,122.5,29.70,2,no,Mid_East,11857.858
CV2,104.5,30.80,0,no,Mid_East,4623.259
CV1,88.5,35.72,0,no,North,2381.2338
CV2,119.5,32.21,3,no,Mid_West,11464.81695
CV2,127.5,28.60,0,no,Mid_West,30236.49556
CV2,125.5,49.06,0,no,Test_field,11357.8254
CV1,96.5,27.94,1,yes,Test_field,19084.2796
CV1,116.5,27.17,0,no,Test_field,8577.8293
CV1,104.5,23.37,2,no,North,6662.9313
CV2,111.5,37.10,2,no,Mid_East,7716.837
CV2,85.5,23.75,0,no,Mid_West,1682.1245
CV1,87.5,28.98,0,no,North,2233.97525
CV2,111.5,31.35,1,yes,Mid_West,39532.9945
CV1,114.5,33.92,3,no,North,10091.50885
CV1,93.5,28.79,0,no,Mid_West,3361.89915
CV1,86.5,28.30,0,yes,Mid_East,17057.58
CV1,119.5,37.40,0,no,Mid_East,9611.038
CV1,99.5,17.77,2,yes,North,32710.6863
CV2,105.5,34.70,2,no,Mid_East,6058.905
CV1,126.5,26.51,0,no,Mid_West,12791.94495
CV1,128.5,22.04,0,no,Mid_West,13592.8586
CV1,120.5,35.90,2,no,Mid_East,11140.068
CV2,86.5,25.56,0,no,North,1609.06445
CV1,87.5,28.79,0,no,Mid_West,2433.71115
CV1,89.5,28.05,0,no,Test_field,2132.1815
CV2,86.5,34.10,0,no,Mid_East,1237.942
CV2,89.5,25.18,0,no,North,2022.18525
CV1,121.5,31.90,3,no,Test_field,27299.23386
CV1,89.5,36.00,0,no,Mid_East,2143.232
CV2,101.5,22.42,2,no,Mid_West,27352.40478
CV2,93.5,32.49,1,no,Mid_West,3467.0491
CV2,101.5,25.30,2,yes,Test_field,18948.995
CV2,96.5,29.74,2,no,North,18134.376
CV2,97.5,28.69,3,yes,North,20722.4891
CV1,96.5,38.83,3,no,Test_field,5114.7567
CV2,113.5,30.50,3,yes,North,40697.05105
CV1,118.5,37.73,1,no,Test_field,9854.1077
CV1,120.5,37.43,1,no,North,10936.1947
CV2,86.5,28.40,1,no,Mid_East,1819.019
CV2,102.5,24.13,1,no,North,5101.7157
CV2,115.5,29.70,0,no,Test_field,7766.135
CV1,99.5,37.15,3,no,Mid_West,6310.84355
CV1,109.5,23.37,0,yes,Mid_West,19941.2463
CV1,107.5,25.46,1,no,Mid_West,7053.6894
CV2,111.5,39.52,0,no,North,6925.2008
CV2,115.5,24.42,0,yes,Test_field,21200.1758
CV2,85.5,25.18,0,yes,Mid_West,15494.68025
CV2,97.5,35.53,0,yes,Test_field,36926.7567
CV1,117.5,27.83,3,no,Test_field,19725.88338
CV1,109.5,26.60,0,yes,North,21325.206
CV1,85.5,36.85,0,yes,Test_field,36125.9835
CV2,121.5,39.60,1,no,Mid_East,10427.052
CV1,99.5,29.80,2,no,Mid_East,5128.634
CV2,104.5,29.64,0,no,North,5004.6466
CV2,114.5,28.22,4,no,Mid_West,10383.58585
CV1,87.5,37.00,5,no,Mid_East,4807.13
CV1,99.5,33.16,3,no,North,6105.29745
CV1,86.5,31.83,1,no,North,2695.77975
CV2,94.5,18.91,3,no,Mid_West,4804.40495
CV2,130.5,41.47,0,no,Test_field,13381.8903
CV2,116.5,30.30,0,no,Mid_East,8093.18
CV2,85.5,15.96,0,no,Mid_West,1671.2964
CV1,102.5,34.80,1,no,Mid_East,5222.547
CV1,91.5,33.35,0,no,North,2831.93755
CV1,130.5,37.70,0,yes,Mid_East,48800.95
CV2,105.5,27.84,2,no,North,6432.36265
CV2,121.5,29.20,1,no,Mid_East,10412.596
CV1,113.5,28.90,2,no,Mid_East,8799.779
CV1,108.5,33.16,3,no,Mid_West,8514.78845
CV2,125.5,28.60,0,no,North,11712.37905
CV1,85.5,38.28,0,no,Test_field,1608.3212
CV2,89.5,19.95,3,no,Mid_West,3981.9225
CV1,111.5,26.41,0,no,North,7395.9779
CV2,111.5,30.69,2,no,Test_field,7707.9271
CV2,103.5,41.90,3,yes,Mid_West,43729.83705
CV1,93.5,29.92,2,no,Test_field,3958.4768
CV1,97.5,30.90,3,no,Mid_East,5302.151
CV1,108.5,32.20,1,no,Mid_East,6752.461
CV1,96.5,32.11,2,no,North,4899.4159
CV2,128.5,31.57,0,no,Test_field,12534.1053
CV1,103.5,26.20,0,no,Mid_East,4860.366
CV2,92.5,25.74,0,no,Test_field,2114.1536
CV1,123.5,26.60,1,no,North,12020.842
CV2,85.5,34.43,0,no,Test_field,1113.9697
CV2,86.5,30.59,0,no,North,1616.0631
CV1,106.5,32.80,0,no,Mid_East,5626.215
CV1,112.5,28.60,2,no,Test_field,8493.329
CV1,118.5,18.05,0,no,North,9620.7525
CV1,131.5,39.33,0,no,Mid_West,14878.0167
CV1,86.5,32.11,0,no,North,2107.1759
CV1,115.5,32.23,1,no,Test_field,8847.6517
CV1,127.5,24.04,0,no,North,12988.70865
CV1,94.5,36.08,0,yes,Test_field,37110.3982
CV2,113.5,22.30,0,no,Mid_East,7123.605
CV1,95.5,28.88,1,no,Mid_West,4314.2352
CV2,126.5,26.40,0,no,Test_field,11719.799
CV2,102.5,27.74,2,yes,Mid_West,20960.5936
CV1,130.5,31.80,0,no,Mid_East,13857.449
CV2,107.5,41.23,1,no,Mid_West,6586.6097
CV2,87.5,33.00,1,no,Mid_East,1956.57
CV2,107.5,30.88,4,no,North,8139.21625
CV2,91.5,28.50,2,no,North,3514.203
CV1,101.5,26.73,1,no,Test_field,4979.2827
CV1,112.5,30.90,2,no,Mid_East,8496.526
CV1,108.5,37.10,2,no,Mid_East,7348.272
CV1,120.5,26.60,0,no,North,10332.141
CV2,94.5,23.10,0,no,Test_field,2460.236
CV1,93.5,29.92,1,no,Test_field,3369.4768
CV1,91.5,23.21,0,no,Test_field,25058.26784
CV1,101.5,33.70,1,no,Mid_East,4988.971
CV1,120.5,33.25,0,no,Mid_West,10541.3845
CV2,99.5,30.80,3,no,Mid_East,5230.024
CV2,86.5,34.80,0,yes,Mid_East,34756.115
CV2,109.5,24.64,0,yes,Test_field,19492.0416
CV2,122.5,33.88,3,no,Test_field,11963.6682
CV2,95.5,38.06,0,no,Test_field,2665.9954
CV1,125.5,41.91,0,no,Test_field,24203.83724
CV1,108.5,31.64,1,no,Mid_West,7334.67565
CV2,114.5,25.46,2,no,Mid_West,9201.7564
CV1,109.5,36.20,1,no,North,7420.14305
CV1,126.5,27.83,3,no,Test_field,13977.7867
CV1,86.5,17.80,0,no,Mid_East,1704.285
CV2,126.5,27.50,1,no,Mid_East,12310.328
CV2,106.5,24.51,2,no,North,6686.6919
CV1,107.5,22.22,2,yes,Test_field,19420.7658
CV1,85.5,26.73,0,no,Test_field,1592.2667
CV2,98.5,38.39,2,no,Test_field,4439.7051
CV2,86.5,29.07,0,yes,North,17329.1803
CV2,111.5,38.06,1,no,Test_field,7129.1714
CV1,90.5,36.67,2,yes,Mid_West,38488.1283
CV1,100.5,22.14,1,no,Mid_West,5330.57465
CV1,122.5,26.80,1,no,Mid_East,35136.63457
CV2,107.5,35.30,3,no,Mid_East,7173.367
CV1,130.5,27.74,0,yes,Mid_West,29499.6656
CV2,121.5,30.02,0,no,North,24452.97851
CV1,127.5,38.06,0,no,Test_field,12625.2034
CV2,91.5,35.86,0,no,Test_field,1963.4334
CV2,86.5,20.90,1,no,Mid_East,1808.594
CV2,96.5,28.98,1,no,Mid_West,4017.05825
CV2,85.5,17.29,2,yes,Mid_West,12805.9551
CV1,130.5,32.20,2,yes,Mid_East,47281.805
CV2,121.5,34.21,2,yes,Test_field,44237.2499
CV2,94.5,30.30,3,no,Mid_East,4237.244
CV2,117.5,31.83,0,yes,Mid_West,41073.66175
CV1,122.5,25.37,3,no,Mid_West,13023.83235
CV2,123.5,33.63,0,yes,North,43897.6837
CV1,105.5,40.15,0,no,Test_field,5377.4805
CV2,118.5,24.42,4,no,North,11496.59985
CV2,86.5,31.92,0,yes,North,33726.7918
CV1,125.5,25.20,0,no,Mid_East,11813.66
CV1,87.5,26.84,1,yes,Test_field,17061.7676
CV2,119.5,24.32,3,yes,Mid_West,24846.3368
CV2,86.5,36.96,0,yes,North,36195.90545
CV1,120.5,38.06,3,no,Test_field,20439.49766
CV2,113.5,42.35,3,yes,Test_field,46127.6245
CV2,107.5,19.80,1,yes,Test_field,17156.022
CV1,126.5,32.40,3,no,Mid_West,14567.13205
CV2,112.5,30.20,1,no,Mid_East,7417.553
CV2,116.5,25.84,1,no,Mid_West,9258.9806
CV2,85.5,29.37,1,no,Test_field,1695.9363
CV2,117.5,,2,yes,Mid_East,42833.338
CV2,108.5,37.05,2,no,North,7242.2025
CV2,117.5,27.46,1,no,Mid_West,9594.16245
CV2,92.5,27.55,0,no,North,2499.6695
CV1,114.5,26.60,2,no,Mid_West,9692.341
CV2,86.5,20.62,2,no,North,2780.19785
CV1,89.5,24.30,0,no,Mid_East,2126.969
CV2,126.5,31.79,2,no,Test_field,12905.2911
CV1,118.5,21.56,1,no,Test_field,9831.6314
CV1,107.5,28.12,1,yes,Mid_West,22308.0668
CV2,121.5,40.57,3,yes,Mid_West,48525.67835
CV2,97.5,27.65,1,no,Mid_West,4213.62655
CV1,122.5,32.40,1,no,Mid_West,11855.60405
CV1,119.5,31.20,0,no,Mid_East,9602.42
CV2,113.5,26.62,1,no,Test_field,7718.6098
CV1,113.5,48.07,2,no,Mid_West,9409.4253
CV1,130.5,26.22,0,no,North,14232.6928
CV1,126.5,36.77,1,yes,Mid_West,47873.29135
CV2,119.5,26.40,3,no,Test_field,25969.32104
CV1,95.5,33.40,0,no,Mid_East,3148.518
CV2,96.5,29.64,1,no,Mid_West,20254.30751
CV2,92.5,45.54,2,yes,Test_field,42088.7356
CV1,89.5,28.82,0,no,Test_field,2133.2518
CV2,92.5,26.80,3,no,Mid_East,3882.627
CV2,85.5,22.99,0,no,Mid_West,1681.0681
CV2,86.5,27.70,0,yes,Mid_East,16274.346
CV2,114.5,25.41,1,yes,Test_field,21955.1769
CV2,98.5,34.39,3,yes,North,38722.8551
CV1,115.5,28.88,1,no,North,9225.9952
CV2,103.5,27.55,3,no,Mid_West,6723.2425
CV1,120.5,22.61,3,yes,Mid_West,24849.8849
CV1,123.5,37.51,2,no,Test_field,12242.0069
CV1,95.5,33.00,2,no,Test_field,4325.962
CV1,124.5,38.00,2,no,Mid_East,12622.707
CV2,96.5,33.35,2,no,North,19418.8535
CV1,95.5,27.50,2,no,Mid_East,20154.17113
CV1,97.5,33.33,1,no,Test_field,4127.5287
CV2,125.5,34.87,0,no,Mid_West,11921.09435
CV1,108.5,33.06,2,no,North,7725.6564
CV2,117.5,26.60,0,no,Mid_East,8420.974
CV1,86.5,24.70,0,no,Mid_East,1713.876
CV2,110.5,35.97,3,yes,Test_field,42101.0153
CV2,116.5,35.86,0,no,Test_field,8100.9084
CV1,94.5,31.40,0,yes,Mid_East,34815.373
CV2,119.5,33.25,0,no,Mid_West,9699.2695
CV2,117.5,32.21,0,no,North,8811.76495
CV2,121.5,32.78,0,no,Mid_West,10411.56525
CV1,111.5,27.65,0,no,North,7397.69455
CV2,99.5,37.34,1,no,Mid_West,4644.10765
CV2,101.5,25.27,1,no,North,4871.2533
CV1,93.5,29.64,4,no,Mid_West,24648.16334
CV2,101.5,30.80,0,yes,Mid_East,35468.14
CV2,124.5,40.95,0,no,Mid_West,11542.80055
CV2,96.5,27.20,0,no,Mid_East,2842.591
CV2,107.5,34.11,1,no,Mid_West,6576.70595
CV1,94.5,23.21,1,no,Test_field,3538.3889
CV2,112.5,36.48,2,yes,North,42737.0022
CV1,131.5,33.80,1,yes,Mid_East,47904.53
CV2,119.5,36.70,0,no,Mid_East,9121.065
CV1,128.5,36.39,1,yes,Mid_West,48494.06315
CV2,119.5,27.36,0,yes,North,24370.1224
CV1,128.5,31.16,0,no,North,13405.5354
CV1,123.5,28.79,0,no,Mid_West,11634.87915
CV1,110.5,35.72,2,no,Mid_West,19121.07652
CV2,131.5,34.50,0,no,Mid_East,13799.303
CV2,127.5,25.74,0,no,Test_field,12119.0786
CV2,129.5,27.55,1,no,North,13914.1665
CV2,117.5,32.30,1,yes,Mid_West,41895.597
CV1,113.5,27.72,1,no,Test_field,8209.1388
CV1,91.5,27.60,0,no,Mid_East,18931.72017
CV2,129.5,30.02,0,no,North,13328.5998
CV1,127.5,27.55,0,no,Mid_West,13193.5945
CV2,130.5,36.77,0,no,Mid_West,13958.35035
CV1,116.5,41.47,4,no,Test_field,10953.7063
CV1,101.5,29.26,3,no,Test_field,6160.7994
CV2,100.5,35.75,2,no,Test_field,4866.4995
CV2,113.5,33.35,1,no,Mid_West,8310.95755
CV1,103.5,29.92,1,no,Test_field,5454.5368
CV2,86.5,27.84,0,no,North,1612.23365
CV1,124.5,23.18,0,no,North,11807.1072
CV1,117.5,25.60,0,no,Mid_East,8908.584
CV1,97.5,27.70,0,no,Mid_East,3530.703
CV2,100.5,35.25,0,no,Mid_West,12381.3791
CV1,85.5,38.28,0,no,Test_field,14109.53775
CV2,113.5,27.60,0,no,Mid_East,24579.54837
CV2,113.5,43.89,3,no,Test_field,8920.6151
CV2,114.5,29.83,3,no,North,9596.8307
CV2,90.5,41.91,0,no,Test_field,1813.7819
CV1,85.5,20.79,0,no,Test_field,1584.0101
CV1,115.5,32.30,2,no,Mid_West,10019.749
CV2,102.5,30.50,1,no,Mid_East,4727.57
CV1,86.5,21.70,0,yes,Mid_East,13821.006
CV1,88.5,26.40,1,no,Mid_East,2574.279
CV1,88.5,21.89,2,no,Test_field,3157.0101
CV1,116.5,30.78,1,no,Mid_West,9754.8472
CV1,123.5,32.30,3,no,Mid_West,13406.765
CV1,109.5,24.99,2,no,North,7993.56115
CV2,111.5,32.02,2,no,North,8092.76885
CV2,85.5,30.40,3,no,Mid_West,3458.368
CV1,128.5,21.09,0,no,North,13391.5381
CV1,124.5,22.23,0,no,Mid_West,12005.7867
CV1,109.5,33.16,1,no,Mid_West,7615.91745
CV2,93.5,32.90,2,yes,Mid_East,36061.719
CV2,87.5,33.33,0,no,Test_field,1368.0287
CV1,90.5,28.31,0,yes,North,18010.4679
CV1,106.5,24.89,3,yes,Mid_West,21636.4301
CV2,91.5,40.15,0,yes,Test_field,38102.7465
CV1,131.5,30.12,3,no,North,16432.20785
CV2,129.5,31.46,1,no,Test_field,26977.48473
CV1,94.5,17.96,2,yes,Mid_West,14983.07945
CV2,122.5,30.69,0,yes,Mid_West,42280.19215
CV2,122.5,33.00,0,no,Test_field,20757.98892
CV1,102.5,43.34,2,no,Test_field,5823.4176
CV2,111.5,22.14,2,no,Mid_West,8279.03565
CV2,86.5,34.40,0,no,Mid_East,1238.359
CV1,125.5,39.05,0,no,Test_field,11832.9115
CV2,117.5,25.37,2,no,North,30261.14294
CV1,93.5,22.61,0,no,North,3153.3159
CV1,91.5,30.21,3,no,North,4594.5799
CV2,115.5,35.63,4,no,Mid_West,10713.37075
CV1,86.5,37.43,0,no,North,2114.5707
CV2,115.5,31.45,1,no,Mid_West,8940.56055
CV2,116.5,31.35,1,no,Mid_West,9266.6395
CV1,113.5,32.30,2,no,Mid_West,9387.505
CV2,113.5,19.86,0,no,North,7503.20645
CV1,110.5,34.40,3,no,Mid_East,8498.503
CV2,88.5,31.02,0,no,Test_field,16562.99771
CV2,131.5,25.60,2,no,Mid_East,14964.932
CV1,85.5,38.17,0,no,Test_field,1608.1683
CV1,118.5,20.60,0,no,Mid_East,9241.297
CV2,114.5,47.52,1,no,Test_field,8060.4198
CV1,131.5,32.97,0,no,North,14669.16935
CV2,116.5,32.30,3,no,North,10245.96
CV2,98.5,20.40,0,no,Mid_East,3236.699
CV1,119.5,38.38,2,no,Mid_West,11373.4002
CV1,100.5,24.31,0,no,Test_field,4161.5979
CV1,114.5,23.60,1,no,Mid_East,8516.171
CV2,105.5,21.12,3,no,Test_field,6629.0288
CV2,99.5,30.03,1,no,Test_field,4050.9537
CV2,86.5,17.48,0,no,North,1597.8402
CV1,111.5,20.24,1,yes,Mid_West,19571.30965
CV1,93.5,17.20,2,yes,Mid_West,14432.14405
CV2,92.5,23.90,5,no,Mid_East,5056.596
CV1,86.5,35.15,0,no,North,2111.4015
CV1,110.5,35.64,1,no,Test_field,7322.2266
CV2,119.5,34.10,0,no,Test_field,9117.451
CV1,103.5,22.60,2,yes,Mid_East,18584.762
CV2,131.5,39.16,1,no,Test_field,14394.7804
CV1,130.5,26.98,0,yes,North,28926.9692
CV2,131.5,33.88,0,yes,Test_field,46865.7612
CV2,128.5,,0,yes,Test_field,46575.6084
CV2,107.5,32.78,1,yes,Mid_West,39101.83225
CV2,92.5,30.59,0,no,Mid_West,2703.8951
CV2,115.5,30.20,2,no,Mid_East,8944.83
CV2,112.5,24.31,5,no,Test_field,9765.3659
CV1,105.5,27.27,1,no,Mid_West,6531.57035
CV1,85.5,29.17,0,no,Mid_West,7300.234819
CV1,88.5,16.82,1,no,Mid_West,3143.95585
CV1,94.5,30.40,3,no,North,18781.2524
CV2,86.5,33.10,0,no,Mid_East,23059.45533
CV1,96.5,20.24,2,no,North,4882.90965
CV2,109.5,26.90,0,no,Mid_East,5946.223
CV1,127.5,30.50,0,no,Mid_East,12614.695
CV2,98.5,28.60,1,no,North,4220.09005
CV2,127.5,33.11,3,no,Test_field,13896.3229
CV2,89.5,31.73,0,no,Mid_West,2231.2967
CV2,102.5,28.90,3,no,Mid_East,5903.346
CV1,119.5,46.75,5,no,Test_field,12569.0345
CV2,93.5,29.45,0,no,Mid_West,2873.8235
CV1,98.5,32.68,1,no,North,4714.7682
CV1,100.5,33.50,0,yes,Mid_East,37055.872
CV2,85.5,43.01,0,no,Test_field,1125.8959
CV1,126.5,36.52,1,no,Test_field,28264.39766
CV2,123.5,26.70,1,yes,North,26085.82905
CV1,112.5,33.10,0,no,Mid_East,7321.584
CV2,127.5,29.64,0,no,Mid_West,12707.4996
CV1,123.5,25.65,0,no,North,11430.5215
CV1,107.5,29.60,0,no,Mid_East,5887.444
CV2,102.5,38.60,1,no,Mid_East,4738.829
CV2,106.5,29.60,4,no,Mid_East,7488.767
CV2,97.5,24.13,1,no,North,4008.7407
CV2,91.5,23.40,0,no,Mid_East,1946.114
CV2,87.5,29.74,0,no,North,1746.03165
CV2,99.5,46.53,2,no,Test_field,4662.8887
CV2,126.5,37.40,0,no,Mid_East,21773.5004
CV1,122.5,30.14,2,no,Test_field,11858.4696
CV1,124.5,30.50,0,no,North,11817.27505
CV2,123.5,39.60,0,no,Mid_East,10577.912
CV1,107.5,33.00,3,no,Test_field,7659.17
CV1,116.5,36.63,3,no,Test_field,10357.9787
CV2,109.5,30.00,0,yes,Mid_East,22120.532
CV1,129.5,38.10,2,no,Mid_West,15206.82405
CV2,123.5,25.94,0,no,Mid_West,11141.91765
CV2,86.5,25.18,0,no,North,1608.53625
CV1,97.5,28.38,1,yes,Test_field,19498.4682
CV1,127.5,28.70,1,no,Mid_East,13201.193
CV1,123.5,33.82,2,no,North,12619.8778
CV1,95.5,24.32,1,no,Mid_West,23265.4284
CV1,85.5,24.09,1,no,Test_field,2177.5971
CV2,94.5,32.67,0,no,Test_field,2473.5383
CV1,85.5,30.12,0,no,Mid_West,2179.97185
CV1,86.5,29.80,0,no,Mid_East,1720.965
CV1,114.5,33.35,0,no,Mid_West,20855.28443
CV2,121.5,25.10,3,yes,Mid_East,25358.797
CV2,128.5,28.31,1,yes,North,28845.1639
CV2,91.5,28.50,0,yes,Mid_West,35124.02848
CV2,92.5,35.63,0,no,North,2510.89375
CV2,88.5,36.85,0,no,Test_field,1510.8045
CV2,90.5,32.56,0,no,Test_field,1800.7854
CV2,130.5,41.33,3,no,North,15531.68875
CV2,116.5,37.51,2,no,Test_field,9281.2019
CV1,85.5,31.35,0,no,Test_field,1598.6885
CV1,118.5,39.50,1,no,Mid_East,9856.568
CV2,115.5,34.30,3,no,Mid_East,9539.529
CV1,98.5,31.07,0,no,Mid_West,4323.52335
CV1,121.5,21.47,3,no,North,12451.8513
CV2,86.5,28.70,0,no,Mid_East,1230.436
CV1,111.5,38.06,0,yes,Test_field,48861.63561
CV2,120.5,31.16,1,no,North,10438.4794
CV1,86.5,32.90,0,no,Mid_East,1725.274
CV1,128.5,25.08,0,no,Test_field,24489.59126
CV1,85.5,25.08,0,no,Mid_West,2172.9732
CV2,128.5,43.40,0,no,Mid_East,12550.549
CV2,88.5,25.70,4,yes,Mid_East,17918.606
CV2,87.5,27.93,0,no,Mid_West,1943.5227
CV1,98.5,23.60,2,no,Mid_East,4908.147
CV2,112.5,28.70,2,no,Mid_East,8004.468
CV1,111.5,23.98,2,no,Test_field,8187.6002
CV1,129.5,39.20,0,no,Mid_East,13447.36
CV2,96.5,34.40,0,yes,Mid_East,36174.199
CV2,110.5,26.03,0,no,Mid_West,6813.8687
CV2,118.5,23.21,1,yes,Test_field,22194.6149
CV2,86.5,30.25,0,yes,Test_field,32524.8405
CV1,105.5,28.93,1,no,Test_field,5950.8847
CV2,104.5,30.88,3,no,North,6773.36325
CV2,89.5,31.35,1,no,North,2619.7685
CV2,88.5,23.75,2,no,North,3053.5955
CV1,91.5,25.27,0,no,Mid_West,3020.7133
CV1,124.5,28.70,0,no,Mid_East,11431.78
CV2,123.5,32.11,1,no,Mid_West,11739.5009
CV2,94.5,33.66,0,no,Test_field,2474.9144
CV2,118.5,22.42,0,no,Mid_West,9337.8268
CV2,86.5,30.40,0,no,Mid_East,1232.799
CV2,106.5,28.30,1,yes,Mid_East,21058.66
CV2,125.5,35.70,0,no,Mid_East,11339.255
CV2,87.5,35.31,1,no,Test_field,27700.78875
CV2,112.5,30.50,2,no,North,8389.96305
CV1,102.5,31.00,1,no,Mid_East,5217.265
CV2,98.5,30.88,0,no,Mid_West,3834.25925
CV1,117.5,27.36,0,no,Mid_West,25633.07526
CV1,99.5,44.22,0,no,Test_field,3970.6778
