hybrid,season,plant_leave,spot,sub_spot,Zinc_ppm,Manganese_ppm,Boron_ppm
cv_1,2021,upper,D,11,1.3,44,0.5
cv_1,2021,middle,D,11,1,16,0.3
cv_1,2021,low,D,11,1,89,0.4
cv_1,2021,upper,D,12,2.3,65,1.2
cv_1,2021,middle,D,12,1.1,45,0.8
cv_1,2021,low,D,12,1.3,134,0.5
cv_1,2021,upper,D,13,2.1,50,1
cv_1,2021,middle,D,13,1.3,48,0.8
cv_1,2021,low,D,13,1.4,122,0.6
cv_1,2021,upper,D,14,1.7,35,1
cv_1,2021,middle,D,14,1.3,46,0.7
cv_1,2021,low,D,14,1.4,67,0.4
cv_1,2021,upper,D,15,1.5,26,0.8
cv_1,2021,middle,D,15,1.4,64,0.5
cv_1,2021,low,D,15,1.8,202,0.4
cv_1,2021,upper,D,16,1.5,34,1
cv_1,2021,middle,D,16,1.2,57,0.9
cv_1,2021,low,D,16,1.4,187,0.5
cv_1,2021,upper,D,17,1.8,35,0.9
cv_1,2021,middle,D,17,1.2,44,0.7
cv_1,2021,low,D,17,1.3,107,0.5
cv_1,2021,upper,D,18,1.4,60,0.7
cv_1,2021,middle,D,18,0.9,38,0.4
cv_1,2021,low,D,18,1.7,156,0.6
cv_1,2021,upper,D,19,1.4,52,0.5
cv_1,2021,middle,D,19,1,28,0.3
cv_1,2021,low,D,19,1.2,92,0.3
cv_1,2021,upper,D,20,1.4,50,0.5
cv_1,2021,middle,D,20,0.9,31,0.4
cv_1,2021,low,D,20,1.1,103,0.3
cv_1,2021,upper,D,21,1.8,40,0.8
cv_1,2021,middle,D,21,1.1,70,0.8
cv_1,2021,low,D,21,1.2,89,0.6
cv_1,2021,upper,E,1,1.6,47,0.5
cv_1,2021,middle,E,1,1,44,0.5
cv_1,2021,low,E,1,1.2,109,0.6
cv_1,2021,upper,E,2,1.3,32,0.5
cv_1,2021,middle,E,2,1,9,0.4
cv_1,2021,low,E,2,1,105,0.4
cv_1,2021,upper,E,3,1.2,41,0.4
cv_1,2021,middle,E,3,0.9,23,0.3
cv_1,2021,low,E,3,1,163,0.5
cv_1,2021,upper,E,4,1.5,45,0.5
cv_1,2021,middle,E,4,1,13,0.4
cv_1,2021,low,E,4,1.4,109,0.4
cv_1,2021,upper,E,5,2.6,31,0.9
cv_1,2021,middle,E,5,1.9,10,1
cv_1,2021,low,E,5,1.4,20,0.5
cv_1,2021,upper,E,6,2.1,42,0.6
cv_1,2021,middle,E,6,1.6,11,1.2
cv_1,2021,low,E,6,1.4,78,0.5
cv_1,2021,upper,E,7,2,44,0.7
cv_1,2021,middle,E,7,1.3,82,0.8
cv_1,2021,low,E,7,1.3,147,0.6
cv_1,2021,upper,E,8,1.4,48,0.4
cv_1,2021,middle,E,8,1,8,0.4
cv_1,2021,upper,E,9,1.1,45,0.3
cv_1,2021,middle,E,9,0.8,25,0.2
cv_1,2021,low,E,9,1.9,126,0.2
cv_1,2021,upper,E,10,1.2,44,0.4
cv_1,2021,middle,E,10,1,7,0.2
cv_1,2021,upper,E,11,1.4,77,0.5
cv_1,2021,middle,E,11,0.9,19,0.3
cv_1,2021,low,E,11,1.1,73,0.3
cv_1,2021,upper,E,12,1.6,51,0.6
cv_1,2021,middle,E,12,1.1,14,0.5
cv_1,2021,low,E,12,1.1,48,0.3
cv_1,2021,upper,E,13,1.4,42,0.6
cv_1,2021,middle,E,13,1,16,0.4
cv_1,2021,low,E,13,1,82,0.4
cv_1,2021,upper,E,14,1.8,44,0.7
cv_1,2021,middle,E,14,1,48,0.6
cv_1,2021,low,E,14,1.3,135,0.5
cv_1,2021,upper,E,15,1.8,45,0.8
cv_1,2021,middle,E,15,1.2,49,0.9
cv_1,2021,low,E,15,1.3,187,0.7
cv_1,2021,upper,E,16,1.4,34,0.7
cv_1,2021,middle,E,16,1,68,0.6
cv_1,2021,low,E,16,1,165,0.5
cv_1,2021,upper,E,17,1.5,28,0.8
cv_1,2021,middle,E,17,1.3,50,0.5
cv_1,2021,low,E,17,1.4,165,0.3
cv_1,2021,upper,E,18,1.7,19,1.1
cv_1,2021,middle,E,18,1.1,14,0.8
cv_1,2021,low,E,18,1.1,25,0.5
cv_1,2021,upper,E,19,1.5,35,0.7
cv_1,2021,middle,E,19,0.8,79,0.6
cv_1,2021,low,E,19,1,65,0.4
cv_1,2021,upper,E,20,1.5,29,0.8
cv_1,2021,middle,E,20,1,31,0.7
cv_1,2021,low,E,20,1.2,50,0.4
cv_1,2021,upper,E,21,1.7,17,0.9
cv_1,2021,middle,E,21,1.1,38,0.8
cv_1,2021,low,E,21,1.2,69,0.5
cv_1,2021,upper,F,1,1,31,0.5
cv_1,2021,middle,F,1,0.9,37,0.5
cv_1,2021,low,F,1,1.1,130,0.3
cv_1,2021,upper,F,2,1,52,0.3
cv_1,2021,middle,F,2,0.8,40,0.3
cv_1,2021,low,F,2,1,182,0.4
cv_1,2021,upper,F,3,0.9,46,0.2
cv_1,2021,middle,F,3,0.6,5,0.2
cv_1,2021,upper,F,4,0.8,60,0.3
cv_1,2021,middle,F,4,0.7,13,0.2
cv_1,2021,upper,F,5,1.5,57,0.4
cv_1,2021,middle,F,5,0.8,56,0.5
cv_1,2021,upper,F,6,1.6,38,0.6
cv_1,2021,middle,F,6,1.2,24,0.9
cv_1,2021,low,F,6,0.9,11,0.7
cv_1,2021,upper,F,7,1.6,72,0.7
cv_1,2021,middle,F,7,0.8,28,0.8
cv_1,2021,upper,F,8,0.8,41,0.4
cv_1,2021,middle,F,8,0.7,11,0.4
cv_1,2021,upper,F,9,0.5,34,0.3
cv_1,2021,middle,F,9,0.7,51,0.2
cv_1,2021,low,F,9,0.6,117,0.3
cv_1,2021,upper,F,10,1.2,52,0.3
cv_1,2021,middle,F,10,1,25,0.4
cv_1,2021,upper,F,11,0.6,24,0.5
cv_1,2021,middle,F,11,0.6,9,0.3
cv_1,2021,low,F,11,0.9,142,0.2
cv_1,2021,upper,F,12,0.7,38,0.3
cv_1,2021,middle,F,12,0.5,6,0.2
cv_1,2021,low,F,12,0.4,13,0.2
cv_1,2021,upper,F,13,1.4,42,0.4
cv_1,2021,middle,F,13,0.8,27,0.3
cv_1,2021,low,F,13,1.4,200,0.4
cv_1,2021,upper,F,14,1,42,0.4
cv_1,2021,middle,F,14,0.7,30,0.3
cv_1,2021,low,F,14,0.7,134,0.4
cv_1,2021,upper,F,15,1.4,46,0.7
cv_1,2021,middle,F,15,0.7,69,0.8
cv_1,2021,low,F,15,0.8,122,0.7
cv_1,2021,upper,F,16,1.4,76,1.5
cv_1,2021,middle,F,16,1.3,234,0.6
cv_1,2021,upper,F,17,1,26,0.9
cv_1,2021,middle,F,17,0.8,87,0.8
cv_1,2021,upper,F,18,1.8,24,0.7
cv_1,2021,middle,F,18,1.4,11,0.6
cv_1,2021,upper,F,19,2.7,21,0.8
cv_1,2021,middle,F,19,1.1,2,1.1
cv_1,2021,low,F,19,1.2,2,0.8
cv_1,2021,upper,F,20,1,55,0.7
cv_1,2021,middle,F,20,0.9,76,0.6
cv_1,2021,low,F,20,1,98,0.2
cv_1,2021,upper,F,21,2.4,20,0.6
cv_1,2021,middle,F,21,1.2,29,0.4
cv_1,2021,low,F,21,1.6,69,0.4
cv_1,2021,upper,G,1,1.5,47,0.5
cv_1,2021,middle,G,1,0.8,11,0.5
cv_1,2021,upper,G,2,0.9,53,0.3
cv_1,2021,middle,G,2,0.8,13,0.3
cv_1,2021,upper,G,3,0.8,45,0.2
cv_1,2021,middle,G,3,0.6,5,0.2
cv_1,2021,low,G,3,0.8,33,0.2
cv_1,2021,upper,G,4,0.7,54,0.2
cv_1,2021,middle,G,4,0.5,22,0.1
cv_1,2021,upper,G,5,1.2,52,0.5
cv_1,2021,middle,G,5,0.7,22,0.6
cv_1,2021,low,G,5,0.9,71,0.4
cv_1,2021,upper,G,6,1.3,43,0.6
cv_1,2021,middle,G,6,0.9,17,0.5
cv_1,2021,low,G,6,1.1,196,0.2
cv_1,2021,upper,G,7,1.1,51,0.4
cv_1,2021,middle,G,7,0.8,16,0.3
cv_1,2021,upper,G,8,0.8,65,0.4
cv_1,2021,middle,G,8,0.7,282,0.3
cv_1,2021,low,G,8,0.8,146,0.3
cv_1,2021,upper,G,9,1.2,29,0.6
cv_1,2021,middle,G,9,0.9,13,0.6
cv_1,2021,upper,G,10,1.2,47,0.5
cv_1,2021,middle,G,10,0.8,8,0.4
cv_1,2021,low,G,10,0.7,35,0.4
cv_1,2021,upper,G,11,0.9,60,0.4
cv_1,2021,middle,G,11,0.7,19,0.3
cv_1,2021,low,G,11,0.8,69,0.2
cv_1,2021,upper,G,12,0.9,45,0.5
cv_1,2021,middle,G,12,0.9,11,0.2
cv_1,2021,low,G,12,0.9,99,0.3
cv_1,2021,upper,G,13,1.2,38,0.5
cv_1,2021,middle,G,13,0.7,12,0.3
cv_1,2021,upper,G,14,0.8,33,0.4
cv_1,2021,middle,G,14,0.8,39,0.2
cv_1,2021,low,G,14,1,170,0.4
cv_1,2021,upper,G,15,1.3,61,0.5
cv_1,2021,middle,G,15,0.9,25,0.3
cv_1,2021,low,G,15,1.1,196,0.3
cv_1,2021,upper,G,16,2.2,67,1.1
cv_1,2021,middle,G,16,1.2,71,0.8
cv_1,2021,upper,G,17,1.2,56,0.6
cv_1,2021,middle,G,17,1.1,124,0.4
cv_1,2021,low,G,17,1.2,157,0.4
cv_1,2021,upper,G,18,2,29,0.9
cv_1,2021,middle,G,18,1.1,34,0.6
cv_1,2021,low,G,18,1.4,88,0.5
cv_1,2021,upper,G,19,1.3,66,0.6
cv_1,2021,middle,G,19,1.1,70,0.5
cv_1,2021,low,G,19,1.3,106,0.3
cv_1,2021,upper,G,20,1,45,0.3
cv_1,2021,middle,G,20,1,49,0.4
cv_1,2021,low,G,20,1.1,133,0.3
cv_1,2021,upper,G,21,1.5,24,0.7
cv_1,2021,middle,G,21,1.2,38,0.5
cv_1,2021,low,G,21,1.5,57,0.4
cv_1,2021,upper,H,1,1.5,32,0.6
cv_1,2021,middle,H,1,1,33,0.6
cv_1,2021,low,H,1,1.1,111,0.6
cv_1,2021,upper,H,2,1.3,69,0.4
cv_1,2021,middle,H,2,0.9,7,0.3
cv_1,2021,upper,H,3,1,53,0.4
cv_1,2021,middle,H,3,0.9,21,0.3
cv_1,2021,upper,H,4,1.4,64,0.5
cv_1,2021,middle,H,4,1.1,38,0.5
cv_1,2021,upper,H,5,2.1,46,0.8
cv_1,2021,middle,H,5,1.3,45,0.8
cv_1,2021,low,H,5,1.3,184,0.5
cv_1,2021,upper,H,6,1.8,43,0.7
cv_1,2021,middle,H,6,1,32,0.7
cv_1,2021,low,H,6,1.1,49,0.4
cv_1,2021,upper,H,7,1.8,56,0.6
cv_1,2021,middle,H,7,0.9,12,0.3
cv_1,2021,low,H,7,1.1,22,0.3
cv_1,2021,upper,H,8,1.1,52,0.5
cv_1,2021,middle,H,8,0.9,69,0.4
cv_1,2021,low,H,8,1,196,0.4
cv_1,2021,upper,H,9,1.5,43,0.7
cv_1,2021,middle,H,9,1.1,73,0.4
cv_1,2021,low,H,9,1.3,146,0.4
cv_1,2021,upper,H,10,1.7,43,0.7
cv_1,2021,middle,H,10,1.2,55,0.6
cv_1,2021,low,H,10,1.4,89,0.5
cv_1,2021,upper,H,11,1,30,0.4
cv_1,2021,middle,H,11,1.2,11,0.4
cv_1,2021,low,H,11,1.5,90,0.3
cv_1,2021,upper,H,12,1.3,48,0.5
cv_1,2021,middle,H,12,0.9,93,0.4
cv_1,2021,low,H,12,1.2,145,0.4
cv_1,2021,upper,H,13,1.5,42,0.6
cv_1,2021,middle,H,13,0.9,57,0.5
cv_1,2021,low,H,13,1.1,118,0.4
cv_1,2021,upper,H,14,1.2,51,0.5
cv_1,2021,middle,H,14,1,41,0.4
cv_1,2021,low,H,14,1.1,206,0.4
cv_1,2021,upper,H,15,1.2,37,0.4
cv_1,2021,middle,H,15,1,13,0.3
cv_1,2021,low,H,15,1,34,0.3
cv_1,2021,upper,H,16,1.2,55,0.5
cv_1,2021,middle,H,16,1.1,59,0.4
cv_1,2021,upper,H,17,1,54,0.4
cv_1,2021,middle,H,17,0.8,12,0.2
cv_1,2021,low,H,17,0.8,31,0.2
cv_1,2021,upper,H,18,1.5,47,0.7
cv_1,2021,middle,H,18,0.9,56,0.4
cv_1,2021,low,H,18,1.2,156,0.4
cv_1,2021,upper,H,19,1.2,53,0.6
cv_1,2021,middle,H,19,1,99,0.4
cv_1,2021,low,H,19,1.1,120,0.4
cv_1,2021,upper,H,20,1.3,51,0.6
cv_1,2021,middle,H,20,1.1,67,0.6
cv_1,2021,low,H,20,1.2,127,0.5
cv_1,2021,upper,H,21,1.8,19,0.8
cv_1,2021,middle,H,21,1.2,34,0.6
cv_1,2021,low,H,21,1.2,51,0.4
cv_1,2021,upper,I,1,1.7,40,0.5
cv_1,2021,middle,I,1,1.1,49,0.5
cv_1,2021,low,I,1,1.2,193,0.5
cv_1,2021,upper,I,2,1.2,55,0.6
cv_1,2021,middle,I,2,0.9,30,0.6
cv_1,2021,low,I,2,1.2,185,0.5
cv_1,2021,upper,I,3,1.6,88,0.6
cv_1,2021,middle,I,3,1,17,0.5
cv_1,2021,low,I,3,1.2,96,0.4
cv_1,2021,upper,I,4,1.7,35,0.6
cv_1,2021,middle,I,4,1.1,90,0.5
cv_1,2021,low,I,4,1.2,187,0.3
cv_1,2021,upper,I,5,2.7,60,0.9
cv_1,2021,middle,I,5,1.8,40,0.8
cv_1,2021,low,I,5,1.4,67,0.5
cv_1,2021,upper,I,6,1.7,47,1
cv_1,2021,middle,I,6,1.1,90,0.8
cv_1,2021,low,I,6,1.4,220,0.5
cv_1,2021,upper,I,7,1.4,60,0.5
cv_1,2021,middle,I,7,1.2,72,0.5
cv_1,2021,low,I,7,1.2,65,0.4
cv_1,2021,upper,I,8,1.3,60,0.7
cv_1,2021,middle,I,8,1.2,97,0.6
cv_1,2021,low,I,8,1.4,160,0.5
cv_1,2021,upper,I,9,1.1,39,0.5
cv_1,2021,middle,I,9,1,117,0.7
cv_1,2021,upper,I,10,1,71,0.4
cv_1,2021,middle,I,10,0.7,28,0.4
cv_1,2021,upper,I,11,1,53,0.5
cv_1,2021,middle,I,11,1,42,0.6
cv_1,2021,low,I,11,0.8,135,0.6
cv_1,2021,upper,I,12,2.6,48,0.7
cv_1,2021,middle,I,12,1.3,63,1
cv_1,2021,low,I,12,1.5,89,0.6
cv_1,2021,upper,I,13,1.6,49,0.6
cv_1,2021,middle,I,13,1.2,40,0.8
cv_1,2021,upper,I,14,1.4,34,0.5
cv_1,2021,middle,I,14,0.8,31,0.6
cv_1,2021,low,I,14,0.9,108,0.5
cv_1,2021,upper,I,15,1.1,64,0.3
cv_1,2021,middle,I,15,0.7,34,0.4
cv_1,2021,low,I,15,0.8,93,0.5
cv_1,2021,upper,I,16,0.9,58,0.4
cv_1,2021,middle,I,16,0.7,30,0.4
cv_1,2021,low,I,16,0.9,123,0.3
cv_1,2021,upper,I,17,1.6,44,0.5
cv_1,2021,middle,I,17,0.8,20,0.4
cv_1,2021,upper,I,18,1.2,38,0.5
cv_1,2021,middle,I,18,0.8,23,0.6
cv_1,2021,low,I,18,0.7,60,0.3
cv_1,2021,upper,I,19,1.2,63,0.5
cv_1,2021,middle,I,19,0.9,24,0.7
cv_1,2021,low,I,19,0.9,109,0.6
cv_1,2021,upper,I,20,1.5,53,0.7
cv_1,2021,middle,I,20,0.9,100,0.5
cv_1,2021,upper,I,21,2.5,18,0.6
cv_1,2021,middle,I,21,1.3,12,0.5
cv_1,2021,low,I,21,1.3,57,0.5
cv_1,2021,upper,J,1,1,49,0.6
cv_1,2021,middle,J,1,0.5,35,0.4
cv_1,2021,low,J,1,0.9,128,0.3
cv_1,2021,upper,J,2,1.1,48,0.7
cv_1,2021,middle,J,2,0.7,17,0.3
cv_1,2021,low,J,2,0.9,148,0.2
cv_1,2021,upper,J,3,1.3,90,0.8
cv_1,2021,middle,J,3,0.8,59,0.7
cv_1,2021,low,J,3,1.1,188,0.6
cv_1,2021,upper,J,4,1.8,61,0.8
cv_1,2021,middle,J,4,1,56,1
cv_1,2021,low,J,4,1.2,352,0.4
cv_1,2021,upper,J,5,1.8,34,1.2
cv_1,2021,middle,J,5,1.7,55,1
cv_1,2021,upper,J,6,1.5,62,0.8
cv_1,2021,middle,J,6,0.7,40,0.6
cv_1,2021,low,J,6,1.1,71,0.4
cv_1,2021,upper,J,7,1,50,0.7
cv_1,2021,middle,J,7,0.6,69,0.6
cv_1,2021,low,J,7,0.9,123,0.6
cv_1,2021,upper,J,8,1.3,63,0.6
cv_1,2021,middle,J,8,0.8,20,0.4
cv_1,2021,low,J,8,0.8,27,0.3
cv_1,2021,upper,J,9,1.2,48,0.6
cv_1,2021,middle,J,9,1,20,0.4
cv_1,2021,low,J,9,1.1,44,0.2
cv_1,2021,upper,J,10,1.2,74,0.4
cv_1,2021,middle,J,10,0.7,15,0.4
cv_1,2021,low,J,10,0.7,23,0.3
cv_1,2021,upper,J,11,1.9,53,1.2
cv_1,2021,middle,J,11,1,58,0.7
cv_1,2021,low,J,11,0.7,63,0.5
cv_1,2021,upper,J,12,0.9,63,0.5
cv_1,2021,middle,J,12,1,34,0.4
cv_1,2021,low,J,12,1,75,0.4
cv_1,2021,upper,J,13,0.9,43,0.4
cv_1,2021,middle,J,13,0.7,11,0.3
cv_1,2021,low,J,13,0.6,45,0.3
cv_1,2021,upper,J,14,1.4,42,0.5
cv_1,2021,middle,J,14,1.5,71,0.6
cv_1,2021,upper,J,15,1,46,0.4
cv_1,2021,middle,J,15,0.9,24,0.4
cv_1,2021,upper,J,16,1.2,50,0.4
cv_1,2021,middle,J,16,0.6,16,0.4
cv_1,2021,low,J,16,0.6,86,0.3
cv_1,2021,upper,J,17,1.3,37,0.7
cv_1,2021,middle,J,17,0.7,42,0.9
cv_1,2021,low,J,17,1,124,0.5
