Location,Season,Genotype,Reps,Iron_mg_ha,Fe_V,Fe_R,Fe_M
East,2021,CV7,9,8.2727,0.3100,0.3500,0.2500
East,2021,CV7,10,6.4188,0.3700,0.3100,0.1000
East,2021,CV7,11,7.1144,0.3200,0.3500,0.1500
East,2021,CV7,12,7.1526,0.3800,0.3300,0.1900
East,2021,CV7,13,7.3350,0.4100,0.3300,0.1700
East,2021,CV7,14,3.0495,0.4300,0.3100,0.1500
East,2021,CV7,15,6.0528,0.3500,0.3300,0.1200
East,2021,CV7,16,10.7678,0.4700,0.3500,0.2800
East,2021,CV7,17,3.1894,0.3000,0.3000,0.1900
East,2021,CV7,18,9.3059,0.3700,0.3300,0.2400
East,2021,CV7,19,7.4625,0.3700,0.3000,0.1200
East,2021,CV7,20,3.2040,0.3000,0.2900,0.0800
East,2021,CV8,1,13.2573,0.3100,0.2900,0.1100
East,2021,CV8,2,3.6541,0.2900,0.2900,0.1100
East,2021,CV8,3,2.0205,0.3200,0.2900,0.0800
East,2021,CV8,4,8.0862,0.4200,0.2800,0.0900
East,2021,CV8,5,16.7108,0.3900,0.2800,0.1600
East,2021,CV8,6,13.0854,0.4100,0.3600,0.1800
East,2021,CV8,7,6.8604,0.3900,0.3400,0.2800
East,2021,CV8,8,6.6806,0.3500,0.2700,0.1200
East,2021,CV8,9,4.8698,0.4400,0.3500,0.2700
East,2021,CV8,10,7.9262,0.3700,0.3100,0.1600
East,2021,CV8,11,0.7067,0.3700,0.3500,0.2300
East,2021,CV8,12,13.5985,0.4400,0.3400,0.3600
East,2021,CV8,13,8.3491,0.4100,0.3100,0.1700
East,2021,CV8,14,7.3554,0.3400,0.3400,0.1500
East,2021,CV8,15,4.1707,0.3900,0.3700,0.2400
East,2021,CV8,16,6.0003,0.3900,0.2900,0.2100
East,2021,CV8,17,2.9332,0.3000,0.3000,0.1000
East,2021,CV8,18,8.0430,0.3500,0.3500,0.1200
East,2021,CV8,19,4.5451,0.3500,0.3000,0.1400
East,2021,CV8,20,6.0978,0.3700,0.3100,0.2400
East,2021,CV9,1,7.5833,0.3600,0.2600,0.0700
East,2021,CV9,2,4.1246,0.3200,0.2200,0.0700
East,2021,CV9,3,3.0873,0.3900,0.2200,0.0600
East,2021,CV9,4,7.4287,0.3700,0.2400,0.0600
East,2021,CV9,5,11.4825,0.3600,0.2800,0.1600
East,2021,CV9,6,6.2228,0.3600,0.3000,0.0700
East,2021,CV9,7,6.0621,0.3200,0.2900,0.1600
East,2021,CV9,8,3.5002,0.3300,0.3000,0.1000
East,2021,CV9,9,2.7580,0.3700,0.2700,0.0900
East,2021,CV9,10,7.6637,0.3300,0.3000,0.1500
East,2021,CV9,11,3.4840,0.3400,0.3100,0.0800
East,2021,CV9,12,17.7713,0.3700,0.3200,0.1000
East,2021,CV9,13,11.3318,0.3700,0.3300,0.1300
East,2021,CV9,14,8.6392,0.3700,0.3000,0.2100
East,2021,CV9,15,6.0482,0.3700,0.3300,0.2000
East,2021,CV9,16,2.5544,0.3700,0.3400,0.1000
East,2021,CV9,17,6.9769,0.3600,0.3000,0.1800
East,2021,CV9,18,8.8261,0.3500,0.3000,0.2200
East,2021,CV9,19,3.5171,0.3700,0.2900,0.0800
East,2021,CV9,20,5.7769,0.3700,0.3500,0.1200
East,2021,CV10,1,7.6309,0.3300,0.2800,0.0900
East,2021,CV10,2,4.5352,0.4200,0.2300,0.2000
East,2021,CV10,3,4.0771,0.4300,0.2600,0.0600
East,2021,CV10,4,9.4630,0.3600,0.2300,0.0900
East,2021,CV10,5,6.9759,0.4000,0.2500,0.1300
East,2021,CV10,6,5.0788,0.3700,0.2400,0.1500
East,2021,CV10,7,1.9882,0.3500,0.2400,0.0600
East,2021,CV10,8,12.7513,0.3800,0.3000,0.1300
East,2021,CV10,9,7.3094,0.3600,0.2500,0.0700
East,2021,CV10,10,10.2131,0.3500,0.2700,0.1100
East,2021,CV10,11,13.0904,0.4000,0.3000,0.0900
East,2021,CV10,12,5.4171,0.3900,0.2900,0.0900
East,2021,CV10,13,1.9612,0.3500,0.3100,0.0900
East,2021,CV10,14,2.9883,0.3100,0.2500,0.0600
East,2021,CV10,15,2.1805,0.3400,0.2400,0.0800
East,2021,CV10,16,5.8055,0.3800,0.2500,0.0700
East,2021,CV10,17,3.1025,0.4500,0.2700,0.0900
East,2021,CV10,18,1.3340,0.3400,0.2800,0.1000
East,2021,CV10,19,4.3791,0.3300,0.2800,0.0400
East,2021,CV10,20,6.8661,0.4200,0.3800,0.1100
East,2021,CV11,1,19.5720,0.4400,0.3100,0.1800
East,2021,CV11,2,19.6074,0.4700,0.3400,0.2300
East,2021,CV11,3,33.9871,0.4300,0.3100,0.3600
East,2021,CV11,4,6.9217,0.4200,0.3000,0.2200
East,2021,CV11,5,7.0454,0.3500,0.3200,0.2500
East,2021,CV11,6,26.1894,0.4000,0.3100,0.3700
East,2021,CV11,7,7.2557,0.1900,0.3400,0.1700
East,2021,CV11,8,6.9062,0.1700,0.3300,0.1800
East,2021,CV11,9,3.9625,0.3800,0.3500,0.1400
East,2021,CV11,10,3.4328,0.3200,0.3300,0.1200
East,2021,CV11,11,10.2632,0.3800,0.2900,0.1800
East,2021,CV11,12,7.0432,0.4100,0.3800,0.2500
East,2021,CV11,13,9.7032,0.3400,0.3300,0.1900
East,2021,CV11,14,4.8052,0.3900,0.3300,0.1100
East,2021,CV11,15,10.0318,0.3500,0.3100,0.1000
East,2021,CV11,16,5.9368,0.3500,0.3000,0.0700
East,2021,CV11,17,11.8350,0.4800,0.3100,0.0900
East,2021,CV11,18,10.3492,0.4400,0.2700,0.1000
East,2021,CV11,19,12.9500,0.4100,0.2500,0.0900
East,2021,CV11,20,12.7462,0.5000,0.2800,0.1700
East,2021,CV12,1,32.0683,0.4300,0.2900,0.1400
East,2021,CV12,2,10.0909,0.5100,0.3300,0.3000
East,2021,CV12,7,16.1746,0.3500,0.3100,0.1300
East,2021,CV12,8,8.8964,0.4000,0.3100,0.2000
East,2021,CV12,9,10.2859,0.3800,0.3000,0.1600
East,2021,CV12,10,8.2897,0.3800,0.3000,0.1200
East,2021,CV12,11,18.9557,0.4000,0.3100,0.1700
East,2021,CV12,12,9.8148,0.3300,0.2800,0.1700
East,2021,CV12,13,10.6732,0.3300,0.3200,0.1500
East,2021,CV12,14,6.3319,0.5000,0.3800,0.4200
East,2022,CV1,1,30.7798,0.3100,0.3100,0.0400
East,2022,CV1,2,10.1921,0.2800,0.2700,0.0400
East,2022,CV1,3,9.4670,0.2500,0.2400,0.0000
East,2022,CV1,4,10.2436,0.2600,0.2300,0.0400
East,2022,CV1,5,8.9765,0.2500,0.2400,0.0400
East,2022,CV1,6,13.7787,0.3100,0.2600,0.0500
East,2022,CV1,7,16.1602,0.2800,0.2400,0.0500
East,2022,CV1,8,20.5788,0.2600,0.2000,0.0500
East,2022,CV1,9,16.6087,0.3300,0.2300,0.0600
East,2022,CV1,11,20.5253,0.3100,0.2600,0.0600
East,2022,CV1,12,26.4724,0.3000,0.2300,0.0600
East,2022,CV1,13,11.4903,0.2200,0.2200,0.0900
East,2022,CV1,14,9.6292,0.2900,0.2300,0.0600
East,2022,CV1,15,12.4825,0.2900,0.2100,0.0500
East,2022,CV1,16,12.0276,0.2600,0.2400,0.0500
East,2022,CV1,17,9.3776,0.2900,0.2300,0.0500
East,2022,CV1,18,14.2534,0.2800,0.2100,0.0600
East,2022,CV1,19,10.9744,0.3000,0.2200,0.0700
East,2022,CV1,20,8.7529,0.3100,0.2100,0.0600
East,2022,CV2,1,14.0833,0.2800,0.2800,0.0600
East,2022,CV2,2,5.9382,0.3000,0.2400,0.0500
East,2022,CV2,3,5.2621,0.2700,0.2000,0.0400
East,2022,CV2,4,3.8301,0.2500,0.1800,0.0500
East,2022,CV2,5,7.9534,0.2800,0.2100,0.0500
East,2022,CV2,6,16.1864,0.3000,0.2500,0.0600
East,2022,CV2,7,2.1515,0.2800,0.3000,0.0600
East,2022,CV2,8,6.7499,0.2600,0.2400,0.0600
East,2022,CV2,9,2.0457,0.3100,0.2200,0.0600
East,2022,CV2,10,6.7845,0.2700,0.2000,0.0400
East,2022,CV2,11,14.7909,0.3400,0.2700,0.0500
East,2022,CV2,12,4.5766,0.3200,0.2700,0.0600
East,2022,CV2,13,8.0416,0.2600,0.2700,0.0600
East,2022,CV2,14,6.3894,0.2800,0.2300,0.0400
East,2022,CV2,15,7.4073,0.2500,0.2100,0.0600
East,2022,CV2,16,7.0342,0.2700,0.2000,0.0500
East,2022,CV2,17,9.3155,0.3200,0.2500,0.0500
East,2022,CV2,18,5.7451,0.3000,0.1800,0.0500
East,2022,CV2,19,4.1004,0.2900,0.2200,0.0500
East,2022,CV2,20,5.2751,0.3100,0.2200,0.0500
East,2022,CV3,1,10.1057,0.3200,0.2800,0.0400
East,2022,CV3,2,7.6132,0.2700,0.2100,0.0400
East,2022,CV3,3,4.9953,0.2700,0.2200,0.0400
East,2022,CV3,4,5.4516,0.2800,0.2200,0.0500
East,2022,CV3,5,6.5497,0.2100,0.2300,0.0500
East,2022,CV3,6,11.1796,0.2500,0.2500,0.0400
East,2022,CV3,7,27.8195,0.2400,0.2300,0.0500
East,2022,CV3,8,5.0654,0.3000,0.2300,0.0500
East,2022,CV3,9,4.1128,0.2900,0.2000,0.0400
East,2022,CV3,10,4.4611,0.3100,0.2000,0.0500
East,2022,CV3,11,5.8567,0.2200,0.2400,0.0500
East,2022,CV3,12,42.1557,0.2700,0.2600,0.0700
East,2022,CV3,13,3.3637,0.3200,0.2500,0.0700
East,2022,CV3,14,10.3865,0.3500,0.2400,0.0500
East,2022,CV3,15,5.9819,0.3300,0.2400,0.0500
East,2022,CV3,16,2.5555,0.3100,0.2200,0.0500
East,2022,CV3,17,5.6017,0.2600,0.2300,0.0500
East,2022,CV3,18,5.9671,0.4000,0.2500,0.0800
East,2022,CV3,19,5.4133,0.2900,0.2400,0.0500
East,2022,CV3,20,4.8379,0.3400,0.2300,0.0700
East,2022,CV4,1,10.2227,0.3800,0.2700,0.0600
East,2022,CV4,2,3.7462,0.3900,0.2300,0.0500
East,2022,CV4,3,3.8378,0.3600,0.2200,0.0500
East,2022,CV4,4,3.1612,0.3500,0.2300,0.0400
East,2022,CV4,5,0.7311,0.3900,0.2400,0.0600
East,2022,CV4,6,0.7237,0.3100,0.2300,0.0700
East,2022,CV4,7,8.3936,0.2800,0.2600,0.0500
East,2022,CV4,8,6.4118,0.3400,0.2400,0.0400
East,2022,CV4,9,3.4758,0.2900,0.2100,0.0500
East,2022,CV4,10,9.7483,0.3700,0.2500,0.0500
East,2022,CV4,11,12.1881,0.3800,0.2800,0.0500
East,2022,CV4,12,9.9594,0.3600,0.2700,0.0600
East,2022,CV4,13,11.1009,0.3300,0.2600,0.0500
East,2022,CV4,14,13.6964,0.3400,0.2100,0.0500
East,2022,CV4,15,6.7828,0.2900,0.2600,0.0600
East,2022,CV4,16,8.9635,0.3300,0.2100,0.0400
East,2022,CV4,17,10.2348,0.3600,0.2100,0.0500
East,2022,CV4,18,5.8174,0.3100,0.2100,0.0600
East,2022,CV4,19,7.8182,0.3200,0.1800,0.0600
East,2022,CV4,20,5.3670,0.2900,0.2400,0.0500
East,2022,CV5,1,18.3098,0.3300,0.2400,0.0500
East,2022,CV5,2,5.2004,0.2800,0.2300,0.0400
East,2022,CV5,3,3.5552,0.3100,0.2000,0.0500
East,2022,CV5,4,7.3070,0.2700,0.1900,0.0500
East,2022,CV5,5,22.1051,0.4000,0.2800,0.0500
East,2022,CV5,6,29.1313,0.3900,0.3000,0.0600
East,2022,CV5,7,8.4848,0.3300,0.2500,0.0600
East,2022,CV5,8,8.5532,0.3600,0.1900,0.0400
East,2022,CV5,9,6.1604,0.2200,0.2200,0.0400
East,2022,CV5,10,7.0515,0.3200,0.2300,0.0500
East,2022,CV5,11,10.0346,0.2900,0.2200,0.0400
East,2022,CV5,12,7.4196,0.3100,0.2200,0.0500
East,2022,CV5,13,11.0226,0.3000,0.2100,0.0500
East,2022,CV5,14,5.9175,0.2800,0.2500,0.0600
East,2022,CV5,15,6.7885,0.3200,0.2300,0.0500
East,2022,CV5,16,7.9268,0.2700,0.2100,0.0500
East,2022,CV5,17,8.2291,0.2500,0.2300,0.0600
East,2022,CV5,18,23.4128,0.3400,0.2600,0.0600
East,2022,CV5,19,8.8645,0.3300,0.2500,0.0500
East,2022,CV5,20,13.2108,0.3100,0.2400,0.0700
East,2022,CV6,1,8.7574,0.3300,0.2300,0.0700
East,2022,CV6,2,3.0580,0.2800,0.1400,0.0400
East,2022,CV6,3,5.9413,0.2600,0.2500,0.0500
East,2022,CV6,4,3.6994,0.2700,0.2200,0.0400
East,2022,CV6,5,8.3556,0.2900,0.2200,0.0600
East,2022,CV6,6,14.2953,0.2300,0.2300,0.0600
East,2022,CV6,7,5.2179,0.3000,0.1800,0.0500
East,2022,CV6,8,3.4068,0.2200,0.1700,0.0300
East,2022,CV6,9,4.0416,0.2300,0.1800,0.0400
East,2022,CV6,10,8.5843,0.2100,0.2400,0.0400
East,2022,CV6,11,4.1321,0.2800,0.2200,0.0400
East,2022,CV6,12,7.5052,0.2800,0.2200,0.0400
East,2022,CV6,13,6.8410,0.2600,0.2200,0.0400
East,2022,CV6,14,5.4376,0.2300,0.2100,0.0600
East,2022,CV6,15,7.8229,0.2600,0.2200,0.0500
East,2022,CV6,16,7.7892,0.2900,0.2400,0.0500
East,2022,CV6,17,10.8805,0.2400,0.2400,0.0400
East,2022,CV6,18,32.8912,0.3600,0.2700,0.1000
East,2022,CV6,19,22.5380,0.2500,0.2300,0.0500
East,2022,CV6,20,10.6834,0.2300,0.2300,0.0500
East,2022,CV7,1,13.6052,0.2600,0.2600,0.0500
East,2022,CV7,2,4.8773,0.2700,0.1600,0.0500
East,2022,CV7,3,2.9837,0.2900,0.2300,0.0600
East,2022,CV7,4,3.4819,0.1900,0.2100,0.0500
East,2022,CV7,5,18.1225,0.3000,0.2600,0.0400
East,2022,CV7,6,15.4468,0.2300,0.2600,0.0600
East,2022,CV7,7,8.3791,0.2300,0.2400,0.0700
East,2022,CV7,8,4.4293,0.2800,0.2300,0.0700
East,2022,CV7,9,11.8761,0.2700,0.2400,0.0600
East,2022,CV7,10,6.8934,0.2400,0.2200,0.0700
East,2022,CV7,11,6.2253,0.3000,0.2300,0.0600
East,2022,CV7,12,10.0867,0.3000,0.2100,0.0600
East,2022,CV7,13,10.1774,0.2600,0.2300,0.0600
East,2022,CV7,14,6.0179,0.3100,0.2400,0.0600
East,2022,CV7,15,4.1635,0.3000,0.2300,0.0500
East,2022,CV7,16,6.8883,0.3500,0.2700,0.0600
East,2022,CV7,17,5.6825,0.2600,0.2000,0.0600
East,2022,CV7,18,13.8071,0.3100,0.2200,0.0600
East,2022,CV7,19,6.6851,0.2400,0.2200,0.0700
East,2022,CV7,20,8.7151,0.2700,0.2200,0.0600
East,2022,CV8,1,15.3505,0.3200,0.3000,0.0600
East,2022,CV8,2,6.4098,0.2200,0.2100,0.0400
East,2022,CV8,3,3.8327,0.2700,0.2100,0.0500
East,2022,CV8,4,4.0378,0.2900,0.2000,0.0400
East,2022,CV8,5,10.9722,0.3000,0.2200,0.0500
East,2022,CV8,6,12.3961,0.3000,0.2500,0.0800
East,2022,CV8,7,5.7053,0.2600,0.2200,0.0400
East,2022,CV8,8,5.9431,0.2600,0.2400,0.0500
East,2022,CV8,9,17.0997,0.2900,0.2500,0.0500
East,2022,CV8,10,9.2978,0.2800,0.2300,0.0700
East,2022,CV8,11,5.8713,0.2800,0.2100,0.0900
East,2022,CV8,12,9.9678,0.3000,0.2500,0.0600
East,2022,CV8,13,7.3397,0.2300,0.2300,0.0600
East,2022,CV8,14,5.7339,0.2500,0.2100,0.0500
East,2022,CV8,15,6.3623,0.2800,0.2300,0.0800
East,2022,CV8,16,5.4755,0.2900,0.2500,0.0500
East,2022,CV8,17,5.3193,0.2800,0.2300,0.0600
East,2022,CV8,18,8.8848,0.3100,0.2600,0.0600
East,2022,CV8,19,3.8051,0.2200,0.2200,0.0600
East,2022,CV8,20,6.0817,0.3000,0.2400,0.0600
East,2022,CV9,1,11.5356,0.2900,0.2400,0.0500
East,2022,CV9,2,2.9183,0.2000,0.1800,0.0500
East,2022,CV9,3,5.2336,0.2700,0.2200,0.0500
East,2022,CV9,4,5.6697,0.2800,0.2100,0.0500
East,2022,CV9,5,17.1287,0.3000,0.2300,0.0700
East,2022,CV9,6,9.5376,0.2700,0.2300,0.0500
East,2022,CV9,7,7.1283,0.2800,0.2200,0.0400
East,2022,CV9,8,5.6457,0.2700,0.2400,0.0500
East,2022,CV9,9,4.2098,0.1800,0.2300,0.0500
East,2022,CV9,10,7.8886,0.2600,0.2400,0.0500
East,2022,CV9,11,6.4448,0.2700,0.2500,0.0500
East,2022,CV9,12,20.2353,0.2800,0.2700,0.0500
East,2022,CV9,13,9.7108,0.2300,0.2400,0.0600
East,2022,CV9,14,8.8280,0.3100,0.2400,0.0500
East,2022,CV9,15,7.2630,0.2700,0.2400,0.0600
East,2022,CV9,16,2.4873,0.3000,0.2200,0.0500
East,2022,CV9,17,7.5949,0.2900,0.2200,0.0600
East,2022,CV9,18,10.5377,0.2200,0.2100,0.0500
East,2022,CV9,19,5.0705,0.2600,0.2200,0.0400
East,2022,CV9,20,4.1290,0.2900,0.2000,0.2100
East,2022,CV10,1,5.5330,0.2500,0.2500,0.0400
East,2022,CV10,2,3.6568,0.2800,0.2000,0.0400
East,2022,CV10,3,2.8325,0.2700,0.2100,0.0300
East,2022,CV10,4,12.0257,0.3100,0.2500,0.0400
East,2022,CV10,5,10.8228,0.3100,0.2600,0.0900
East,2022,CV10,6,5.5389,0.2500,0.2800,0.0400
East,2022,CV10,7,4.6497,0.2500,0.2400,0.0300
East,2022,CV10,8,8.3167,0.2700,0.2300,0.0600
East,2022,CV10,9,7.5270,0.2600,0.2000,0.0500
East,2022,CV10,10,5.1585,0.2500,0.2100,0.0600
East,2022,CV10,11,15.7612,0.2900,0.2700,0.0500
East,2022,CV10,12,6.2253,0.2500,0.1900,0.0300
East,2022,CV10,13,3.0922,0.1700,0.2000,0.0600
East,2022,CV10,14,3.9155,0.3200,0.2000,0.0500
East,2022,CV10,15,1.7777,0.2600,0.2200,0.0400
East,2022,CV10,16,5.9501,0.2500,0.2100,0.0500
East,2022,CV10,17,5.3734,0.2600,0.2400,0.0600
East,2022,CV10,18,5.2494,0.2400,0.2300,0.0500
East,2022,CV10,19,4.1015,0.2200,0.2100,0.0500
East,2022,CV10,20,5.7351,0.3000,0.2700,0.0500
East,2022,CV11,1,24.7594,0.3000,0.2700,0.0400
East,2022,CV11,2,7.0653,0.3200,0.2500,0.0400
East,2022,CV11,3,23.5792,0.2900,0.2200,0.0300
East,2022,CV11,4,5.5166,0.3200,0.2500,0.0600
East,2022,CV11,5,6.6272,0.3100,0.2600,0.0600
East,2022,CV11,6,20.3881,0.3100,0.2800,0.0600
East,2022,CV11,7,6.7091,0.2900,0.2200,0.0300
East,2022,CV11,8,8.4197,0.2900,0.1900,0.0400
East,2022,CV11,9,9.5863,0.3100,0.2200,0.0300
East,2022,CV11,10,9.1012,0.2900,0.2400,0.0300
East,2022,CV11,11,12.9598,0.2800,0.2700,0.0300
East,2022,CV11,12,5.5388,0.3000,0.2500,0.0400
East,2022,CV11,13,8.9313,0.2900,0.2200,0.0400
East,2022,CV11,14,7.7940,0.2600,0.2000,0.0300
East,2022,CV11,15,14.8015,0.3000,0.2300,0.0500
East,2022,CV11,16,6.9020,0.3000,0.2200,0.0500
East,2022,CV11,17,14.4712,0.2900,0.2600,0.0500
East,2022,CV11,18,5.6044,0.2800,0.2500,0.0300
East,2022,CV11,19,3.6332,0.3000,0.2100,0.0300
East,2022,CV11,20,6.6583,0.2600,0.2500,0.0400
