crop ,treatment,plot,row,nitrogen,days_after_sowing,rep1,rep2,rep3
Wheat,Shading,1,4,N_100,124,46.40,44.80,42.80
Wheat,Shading,1,5,N_100,124,46.10,45.30,47.10
Wheat,Shading,4,1,N_50,124,46.20,45.60,50.70
Wheat,Shading,4,2,N_50,124,48.20,44.80,43.30
Wheat,Shading,4,3,N_200,124,41.70,50.70,40.40
Wheat,Shading,4,4,N_100,124,47.00,39.80,45.30
Wheat,Shading,4,5,N_100,124,36.90,43.70,41.60
Wheat,Shading,9,1,N_50,124,51.50,48.00,53.00
Wheat,Shading,9,2,N_50,124,38.40,37.60,41.40
Wheat,Shading,9,3,N_200,124,45.00,45.40,43.10
Wheat,Shading,9,4,N_100,124,34.70,49.80,42.00
Wheat,Shading,9,5,N_100,124,48.70,43.20,49.00
Wheat,Shading,10,1,N_50,124,56.20,43.00,45.80
Wheat,Shading,10,2,N_50,124,55.00,37.50,44.20
Wheat,Shading,10,3,N_200,124,41.00,47.50,41.50
Wheat,Shading,10,4,N_100,124,52.60,43.50,48.20
Wheat,Shading,10,5,N_100,124,48.00,50.90,51.20
Wheat,Non_shading,15,3,N_200,124,54.70,59.80,64.30
Wheat,Non_shading,17,3,N_200,124,56.90,59.70,57.20
Wheat,Non_shading,19,3,N_200,124,56.00,51.40,55.20
Wheat,Non_shading,22,3,N_200,124,54.30,67.90,61.20
