Date,Days_from_sowing,Category,Temp
23/01/2019,35,MIN,2.1
24/01/2019,36,MEAN,4.5
24/01/2019,36,MAX,9.4
24/01/2019,36,MIN,-0.7
25/01/2019,37,MEAN,7.5
25/01/2019,37,MAX,17.4
25/01/2019,37,MIN,-2.4
26/01/2019,38,MEAN,8.1
26/01/2019,38,MAX,14.1
26/01/2019,38,MIN,0.7
27/01/2019,39,MEAN,7.1
27/01/2019,39,MAX,13.2
27/01/2019,39,MIN,0.4
28/01/2019,40,MEAN,7.4
28/01/2019,40,MAX,13.8
28/01/2019,40,MIN,3.4
29/01/2019,41,MEAN,5.1
29/01/2019,41,MAX,7.8
29/01/2019,41,MIN,2.5
30/01/2019,42,MEAN,6
30/01/2019,42,MAX,11
30/01/2019,42,MIN,2
31/01/2019,43,MEAN,5.7
31/01/2019,43,MAX,10.9
31/01/2019,43,MIN,1.5
1/2/2019,44,MEAN,9
1/2/2019,44,MAX,14
1/2/2019,44,MIN,4.9
2/2/2019,45,MEAN,5.5
2/2/2019,45,MAX,9.9
2/2/2019,45,MIN,1.7
3/2/2019,46,MEAN,4.2
3/2/2019,46,MAX,10.9
3/2/2019,46,MIN,-0.2
4/2/2019,47,MEAN,4
4/2/2019,47,MAX,11
4/2/2019,47,MIN,-2.6
5/2/2019,48,MEAN,6.7
5/2/2019,48,MAX,15.8
5/2/2019,48,MIN,-0.5
6/2/2019,49,MEAN,5.2
6/2/2019,49,MAX,13.2
6/2/2019,49,MIN,0.2
7/2/2019,50,MEAN,4.7
7/2/2019,50,MAX,12.3
7/2/2019,50,MIN,-0.7
8/2/2019,51,MEAN,5.4
8/2/2019,51,MAX,15.6
8/2/2019,51,MIN,-1.3
9/2/2019,52,MEAN,5.9
9/2/2019,52,MAX,14.7
9/2/2019,52,MIN,-0.3
10/2/2019,53,MEAN,7.6
10/2/2019,53,MAX,17
10/2/2019,53,MIN,-0.8
11/2/2019,54,MEAN,8.6
11/2/2019,54,MAX,15
11/2/2019,54,MIN,2.1
12/2/2019,55,MEAN,4.1
12/2/2019,55,MAX,12.9
12/2/2019,55,MIN,-2.1
13/02/2019,56,MEAN,5
13/02/2019,56,MAX,16.5
13/02/2019,56,MIN,-3.7
14/02/2019,57,MEAN,5.8
14/02/2019,57,MAX,18
14/02/2019,57,MIN,-2.5
15/02/2019,58,MEAN,4.8
15/02/2019,58,MAX,16.8
15/02/2019,58,MIN,-3.5
16/02/2019,59,MEAN,6
16/02/2019,59,MAX,18.1
16/02/2019,59,MIN,-3.5
17/02/2019,60,MEAN,6.5
17/02/2019,60,MAX,18.7
17/02/2019,60,MIN,-4
18/02/2019,61,MEAN,7.4
18/02/2019,61,MAX,17.5
18/02/2019,61,MIN,-3.1
19/02/2019,62,MEAN,6.8
19/02/2019,62,MAX,16
19/02/2019,62,MIN,-1.9
20/02/2019,63,MEAN,6.1
20/02/2019,63,MAX,15
20/02/2019,63,MIN,-1.6
21/02/2019,64,MEAN,6.2
21/02/2019,64,MAX,16
21/02/2019,64,MIN,-1
22/02/2019,65,MEAN,6.6
22/02/2019,65,MAX,17.3
22/02/2019,65,MIN,-0.8
23/02/2019,66,MEAN,8.1
23/02/2019,66,MAX,16.9
23/02/2019,66,MIN,-0.4
24/02/2019,67,MEAN,8.6
24/02/2019,67,MAX,18.4
24/02/2019,67,MIN,-0.3
25/02/2019,68,MEAN,8.2
25/02/2019,68,MAX,19.4
25/02/2019,68,MIN,-1
26/02/2019,69,MEAN,8.7
26/02/2019,69,MAX,20
26/02/2019,69,MIN,-0.7
27/02/2019,70,MEAN,8.8
27/02/2019,70,MAX,21.1
27/02/2019,70,MIN,-0.6
28/02/2019,71,MEAN,9.9
28/02/2019,71,MAX,19
28/02/2019,71,MIN,0.1
1/3/2019,72,MEAN,8.8
1/3/2019,72,MAX,17.4
1/3/2019,72,MIN,-0.5
2/3/2019,73,MEAN,10.5
2/3/2019,73,MAX,20.7
2/3/2019,73,MIN,0.6
3/3/2019,74,MEAN,9.8
3/3/2019,74,MAX,22.5
3/3/2019,74,MIN,0.2
4/3/2019,75,MEAN,12.5
4/3/2019,75,MAX,20.7
4/3/2019,75,MIN,2.9
5/3/2019,76,MEAN,12.4
5/3/2019,76,MAX,18.6
5/3/2019,76,MIN,6
6/3/2019,77,MEAN,11.1
6/3/2019,77,MAX,16.7
6/3/2019,77,MIN,4.4
7/3/2019,78,MEAN,9.4
7/3/2019,78,MAX,15.7
7/3/2019,78,MIN,0.9
8/3/2019,79,MEAN,8.6
8/3/2019,79,MAX,17.2
8/3/2019,79,MIN,-0.9
9/3/2019,80,MEAN,10.1
9/3/2019,80,MAX,19.4
9/3/2019,80,MIN,0
10/3/2019,81,MEAN,13.4
10/3/2019,81,MAX,23.7
10/3/2019,81,MIN,2.6
11/3/2019,82,MEAN,12.8
11/3/2019,82,MAX,19
11/3/2019,82,MIN,4.5
12/3/2019,83,MEAN,9.3
12/3/2019,83,MAX,18.1
12/3/2019,83,MIN,-0.6
13/03/2019,84,MEAN,10.8
13/03/2019,84,MAX,17.8
13/03/2019,84,MIN,4.7
14/03/2019,85,MEAN,10.1
14/03/2019,85,MAX,17
14/03/2019,85,MIN,4.1
15/03/2019,86,MEAN,12.5
15/03/2019,86,MAX,21.5
15/03/2019,86,MIN,5.2
16/03/2019,87,MEAN,11.4
16/03/2019,87,MAX,24.4
16/03/2019,87,MIN,0.4
17/03/2019,88,MEAN,12.1
17/03/2019,88,MAX,22.8
17/03/2019,88,MIN,2.1
18/03/2019,89,MEAN,10.3
18/03/2019,89,MAX,17.3
18/03/2019,89,MIN,3.2
19/03/2019,90,MEAN,10.6
19/03/2019,90,MAX,17.5
19/03/2019,90,MIN,5.1
20/03/2019,91,MEAN,8.6
20/03/2019,91,MAX,16.1
20/03/2019,91,MIN,-0.1
21/03/2019,92,MEAN,7.8
21/03/2019,92,MAX,17.4
21/03/2019,92,MIN,-1.5
22/03/2019,93,MEAN,9.7
22/03/2019,93,MAX,20.1
22/03/2019,93,MIN,-1
23/03/2019,94,MEAN,11.5
23/03/2019,94,MAX,21.8
23/03/2019,94,MIN,0.5
24/03/2019,95,MEAN,12.6
24/03/2019,95,MAX,23.2
24/03/2019,95,MIN,2.1
25/03/2019,96,MEAN,12.6
25/03/2019,96,MAX,21.1
25/03/2019,96,MIN,3.6
26/03/2019,97,MEAN,9.9
26/03/2019,97,MAX,19.4
26/03/2019,97,MIN,0.2
27/03/2019,98,MEAN,9.1
27/03/2019,98,MAX,19.4
27/03/2019,98,MIN,-0.8
28/03/2019,99,MEAN,9.6
28/03/2019,99,MAX,18.6
28/03/2019,99,MIN,0
29/03/2019,100,MEAN,10
29/03/2019,100,MAX,19.3
29/03/2019,100,MIN,0.7
30/03/2019,101,MEAN,9.9
30/03/2019,101,MAX,19.1
30/03/2019,101,MIN,0.5
31/03/2019,102,MEAN,9.6
31/03/2019,102,MAX,16.5
31/03/2019,102,MIN,1.2
1/4/2019,103,MEAN,12.4
1/4/2019,103,MAX,17.7
1/4/2019,103,MIN,8.9
2/4/2019,104,MEAN,12.8
2/4/2019,104,MAX,19.6
2/4/2019,104,MIN,4.3
3/4/2019,105,MEAN,9.7
3/4/2019,105,MAX,13.5
3/4/2019,105,MIN,4.8
4/4/2019,106,MEAN,7.4
4/4/2019,106,MAX,15
4/4/2019,106,MIN,0.4
5/4/2019,107,MEAN,8.3
5/4/2019,107,MAX,15.2
5/4/2019,107,MIN,-0.3
6/4/2019,108,MEAN,9.3
6/4/2019,108,MAX,15.3
6/4/2019,108,MIN,4.2
7/4/2019,109,MEAN,10.1
7/4/2019,109,MAX,17.2
7/4/2019,109,MIN,2.9
8/4/2019,110,MEAN,11
8/4/2019,110,MAX,19.1
8/4/2019,110,MIN,2.5
9/4/2019,111,MEAN,12.9
9/4/2019,111,MAX,19.3
9/4/2019,111,MIN,8.3
10/4/2019,112,MEAN,11.8
10/4/2019,112,MAX,18.9
10/4/2019,112,MIN,6.5
11/4/2019,113,MEAN,12.5
11/4/2019,113,MAX,20.3
11/4/2019,113,MIN,5.8
12/4/2019,114,MEAN,12.6
12/4/2019,114,MAX,20.6
12/4/2019,114,MIN,3.4
13/04/2019,115,MEAN,11.8
13/04/2019,115,MAX,21.9
13/04/2019,115,MIN,0.6
14/04/2019,116,MEAN,14.6
14/04/2019,116,MAX,24.9
14/04/2019,116,MIN,1.8
15/04/2019,117,MEAN,13.5
15/04/2019,117,MAX,19
15/04/2019,117,MIN,7.7
16/04/2019,118,MEAN,12.5
16/04/2019,118,MAX,21.4
16/04/2019,118,MIN,5.3
17/04/2019,119,MEAN,13.7
17/04/2019,119,MAX,20.8
17/04/2019,119,MIN,6
18/04/2019,120,MEAN,14.5
18/04/2019,120,MAX,19
18/04/2019,120,MIN,9.1
19/04/2019,121,MEAN,16.7
19/04/2019,121,MAX,22.4
19/04/2019,121,MIN,11.4
20/04/2019,122,MEAN,13.2
20/04/2019,122,MAX,20.2
20/04/2019,122,MIN,4.9
21/04/2019,123,MEAN,12.6
21/04/2019,123,MAX,17.2
21/04/2019,123,MIN,8.7
22/04/2019,124,MEAN,12.7
22/04/2019,124,MAX,16
22/04/2019,124,MIN,9.4
23/04/2019,125,MEAN,14.1
23/04/2019,125,MAX,21.4
23/04/2019,125,MIN,10.1
24/04/2019,126,MEAN,13.3
24/04/2019,126,MAX,18.8
24/04/2019,126,MIN,8.5
25/04/2019,127,MEAN,14.4
25/04/2019,127,MAX,19.8
25/04/2019,127,MIN,7.8
26/04/2019,128,MEAN,13.8
26/04/2019,128,MAX,19.8
26/04/2019,128,MIN,7.6
27/04/2019,129,MEAN,14.5
27/04/2019,129,MAX,22.7
27/04/2019,129,MIN,5.7
28/04/2019,130,MEAN,14.2
28/04/2019,130,MAX,22.1
28/04/2019,130,MIN,7.4
29/04/2019,131,MEAN,13.9
29/04/2019,131,MAX,22.8
29/04/2019,131,MIN,6
30/04/2019,132,MEAN,15.3
30/04/2019,132,MAX,23.5
30/04/2019,132,MIN,7.1
1/5/2019,133,MEAN,15.8
1/5/2019,133,MAX,26.3
1/5/2019,133,MIN,7
2/5/2019,134,MEAN,15.5
2/5/2019,134,MAX,24.2
2/5/2019,134,MIN,11.1
3/5/2019,135,MEAN,10.3
3/5/2019,135,MAX,12.7
3/5/2019,135,MIN,5.7
4/5/2019,136,MEAN,13.3
4/5/2019,136,MAX,21.4
4/5/2019,136,MIN,5.4
5/5/2019,137,MEAN,12.3
5/5/2019,137,MAX,20.2
5/5/2019,137,MIN,4.3
6/5/2019,138,MEAN,11.2
6/5/2019,138,MAX,21.2
6/5/2019,138,MIN,-0.2
7/5/2019,139,MEAN,15.2
7/5/2019,139,MAX,25.6
7/5/2019,139,MIN,4.3
8/5/2019,140,MEAN,18.9
8/5/2019,140,MAX,25.6
8/5/2019,140,MIN,11.8
9/5/2019,141,MEAN,18
9/5/2019,141,MAX,24.4
9/5/2019,141,MIN,12
10/5/2019,142,MEAN,20.6
10/5/2019,142,MAX,28.3
10/5/2019,142,MIN,12.8
11/5/2019,143,MEAN,18.1
11/5/2019,143,MAX,24.7
11/5/2019,143,MIN,11.4
12/5/2019,144,MEAN,16
12/5/2019,144,MAX,25.5
12/5/2019,144,MIN,8.4
13/05/2019,145,MEAN,15.1
13/05/2019,145,MAX,26.3
13/05/2019,145,MIN,5.2
14/05/2019,146,MEAN,16.6
14/05/2019,146,MAX,26.2
14/05/2019,146,MIN,5.1
15/05/2019,147,MEAN,16.1
15/05/2019,147,MAX,27.3
15/05/2019,147,MIN,7.9
16/05/2019,148,MEAN,15.8
16/05/2019,148,MAX,25.4
16/05/2019,148,MIN,5.6
17/05/2019,149,MEAN,13.6
17/05/2019,149,MAX,18.4
17/05/2019,149,MIN,10.5
18/05/2019,150,MEAN,13.7
18/05/2019,150,MAX,19.5
18/05/2019,150,MIN,7.1
19/05/2019,151,MEAN,13.9
19/05/2019,151,MAX,20.9
19/05/2019,151,MIN,8.4
20/05/2019,152,MEAN,15
20/05/2019,152,MAX,23
20/05/2019,152,MIN,8.1
21/05/2019,153,MEAN,16
21/05/2019,153,MAX,25.4
21/05/2019,153,MIN,6
22/05/2019,154,MEAN,17.5
22/05/2019,154,MAX,26.3
22/05/2019,154,MIN,7.7
23/05/2019,155,MEAN,19.3
23/05/2019,155,MAX,28.8
23/05/2019,155,MIN,7.8
24/05/2019,156,MEAN,15.1
24/05/2019,156,MAX,16.6
24/05/2019,156,MIN,13.1
25/05/2019,157,MEAN,17.2
25/05/2019,157,MAX,24.5
25/05/2019,157,MIN,12.8
26/05/2019,158,MEAN,17.6
26/05/2019,158,MAX,24.8
26/05/2019,158,MIN,10.9
27/05/2019,159,MEAN,18.3
27/05/2019,159,MAX,25.7
27/05/2019,159,MIN,11
28/05/2019,160,MEAN,16.9
28/05/2019,160,MAX,23.7
28/05/2019,160,MIN,11.4
29/05/2019,161,MEAN,16.9
29/05/2019,161,MAX,24.7
29/05/2019,161,MIN,9.1
30/05/2019,162,MEAN,17.8
30/05/2019,162,MAX,27.3
30/05/2019,162,MIN,7.8
31/05/2019,163,MEAN,19.6
31/05/2019,163,MAX,29.3
31/05/2019,163,MIN,9.5
1/6/2019,164,MEAN,21.2
1/6/2019,164,MAX,31.7
1/6/2019,164,MIN,10.9
2/6/2019,165,MEAN,21.7
2/6/2019,165,MAX,32.9
2/6/2019,165,MIN,10.9
3/6/2019,166,MEAN,21.8
3/6/2019,166,MAX,32.2
3/6/2019,166,MIN,12.4
4/6/2019,167,MEAN,22
4/6/2019,167,MAX,30.6
4/6/2019,167,MIN,12.9
5/6/2019,168,MEAN,17.9
5/6/2019,168,MAX,21.6
5/6/2019,168,MIN,13.7
6/6/2019,169,MEAN,17.5
6/6/2019,169,MAX,24.9
6/6/2019,169,MIN,8.7
7/6/2019,170,MEAN,18.5
7/6/2019,170,MAX,24.8
7/6/2019,170,MIN,10.4
8/6/2019,171,MEAN,18.4
8/6/2019,171,MAX,27.6
8/6/2019,171,MIN,7.1
9/6/2019,172,MEAN,20.9
9/6/2019,172,MAX,29.5
9/6/2019,172,MIN,13.9
10/6/2019,173,MEAN,19.4
10/6/2019,173,MAX,26.3
10/6/2019,173,MIN,13.4
11/6/2019,174,MEAN,13.3
11/6/2019,174,MAX,17.8
11/6/2019,174,MIN,9.6
12/6/2019,175,MEAN,15.3
12/6/2019,175,MAX,23.3
12/6/2019,175,MIN,6.2
13/06/2019,176,MEAN,18.6
13/06/2019,176,MAX,26.8
13/06/2019,176,MIN,9
14/06/2019,177,MEAN,20.9
14/06/2019,177,MAX,28.2
14/06/2019,177,MIN,14.9
15/06/2019,178,MEAN,20.6
15/06/2019,178,MAX,27.9
15/06/2019,178,MIN,14.1
16/06/2019,179,MEAN,20.6
16/06/2019,179,MAX,29.4
16/06/2019,179,MIN,10.6
17/06/2019,180,MEAN,22.4
17/06/2019,180,MAX,34.3
17/06/2019,180,MIN,11.1
18/06/2019,181,MEAN,23.1
18/06/2019,181,MAX,33.5
18/06/2019,181,MIN,13.4
19/06/2019,182,MEAN,23.6
19/06/2019,182,MAX,32.4
19/06/2019,182,MIN,11.6
20/06/2019,183,MEAN,22.6
20/06/2019,183,MAX,31.3
20/06/2019,183,MIN,15.5
21/06/2019,184,MEAN,21.1
21/06/2019,184,MAX,28.1
21/06/2019,184,MIN,15.9
22/06/2019,185,MEAN,22.1
22/06/2019,185,MAX,30.9
22/06/2019,185,MIN,14.2
23/06/2019,186,MEAN,25.2
23/06/2019,186,MAX,36.8
23/06/2019,186,MIN,15.7
24/06/2019,187,MEAN,25.5
24/06/2019,187,MAX,33.7
24/06/2019,187,MIN,16.9
