year,variety,nitrogen,location,reps,AGW,KN,GY
2024,cv3,N1,Iowa,8,319.8,5540,17528.7
2024,cv3,N1,Iowa,9,331.1,4780,15656.7
2024,cv3,N1,Iowa,10,359.7,4925,17528.7
2024,cv3,N1,Illinois,1,263.9,5453,14237.7
2024,cv3,N1,Illinois,2,280.4,5288,14669.2
2024,cv3,N1,Illinois,3,246.9,5122,12511.9
2024,cv3,N1,Illinois,4,265.2,4406,11562.8
2024,cv3,N1,Illinois,5,263.2,4406,11476.5
2024,cv3,N1,Illinois,6,281.2,4994,13892.6
2024,cv3,N1,Illinois,7,273.5,5453,14755.5
2024,cv3,N1,Illinois,8,262.7,4847,12598.2
2024,cv3,N1,Illinois,9,237.5,5618,13202.2
2024,cv3,N1,Illinois,10,254.2,4700,11821.6
2023,cv1,N0,Iowa,1,309.7,3321,10177.3
2023,cv1,N0,Iowa,2,283.9,3736,10493.7
2023,cv1,N0,Iowa,3,308.4,2783,8489.9
2023,cv1,N0,Iowa,4,300.7,3332,9913.7
2023,cv1,N0,Iowa,5,308,2872,8753.6
2023,cv1,N0,Iowa,6,320.3,2962,9386.3
2023,cv1,N0,Iowa,7,324.6,2693,8648.1
2023,cv1,N0,Iowa,8,316.7,2962,9280.9
2023,cv1,N0,Iowa,9,325.5,2603,8384.4
2023,cv1,N0,Iowa,10,320.6,3142,9966.4
2023,cv1,N0,Illinois,1,312.5,2171,6711.4
2023,cv1,N0,Illinois,2,337,2415,8053.7
2023,cv1,N0,Illinois,3,322.8,2546,8130.4
2023,cv1,N0,Illinois,4,306.3,2481,7516.7
2023,cv1,N0,Illinois,5,264.1,2481,6481.3
2023,cv1,N0,Illinois,6,329.7,2481,8092
2023,cv1,N0,Illinois,7,289.8,2742,7861.9
2023,cv1,N0,Illinois,8,296.7,2717,7977
2023,cv1,N0,Illinois,9,307,2676,8130.4
2023,cv1,N0,Illinois,10,264.1,2481,6481.3
2023,cv1,N0,Nebraska,1,281,4039,11232
2023,cv1,N0,Nebraska,2,298.2,4039,11917.5
2023,cv1,N0,Nebraska,3,329.5,3590,11706.6
2023,cv1,N0,Nebraska,4,278.4,4039,11126.5
2023,cv1,N0,Nebraska,5,313.8,3770,11706.6
2023,cv1,N0,Nebraska,6,309.4,3411,10441
2023,cv1,N0,Nebraska,7,310.6,3501,10757.4
2023,cv1,N0,Nebraska,8,238.8,4039,9544.5
2023,cv1,N0,Nebraska,9,345.6,3501,11970.2
2023,cv1,N0,Nebraska,10,301.4,3501,10441
2023,cv2,N0,Iowa,1,275.6,3718,10139
2023,cv2,N0,Iowa,2,319.3,2731,8628.9
2023,cv2,N0,Iowa,3,335.2,2651,8790.7
2023,cv2,N0,Iowa,4,295.9,3408,9977.2
2023,cv2,N0,Iowa,5,321.3,3121,9923.3
2023,cv2,N0,Iowa,6,336.5,2754,9168.2
2023,cv2,N0,Iowa,7,295.1,3121,9114.3
2023,cv2,N0,Iowa,8,298.5,3397,10031.1
2023,cv2,N0,Iowa,9,288.9,3924,11217.6
2023,cv2,N0,Iowa,10,322.1,3029,9653.6
2023,cv2,N0,Illinois,1,304.9,3623,10930
2023,cv2,N0,Illinois,2,330.8,3427,11217.6
2023,cv2,N0,Illinois,3,327.1,3342,10814.9
2023,cv2,N0,Illinois,4,320.9,3623,11505.2
2023,cv2,N0,Illinois,5,337.5,3256,10872.4
2023,cv2,N0,Illinois,6,322.3,3427,10930
2023,cv2,N0,Illinois,7,305.8,3745,11332.6
2023,cv2,N0,Illinois,8,316.1,3623,11332.6
2023,cv2,N0,Illinois,9,313.2,3917,12138
2023,cv2,N0,Illinois,10,348,3525,12138
2023,cv2,N0,Nebraska,1,312.8,3764,11649
2023,cv2,N0,Nebraska,2,318.6,3764,11864.8
2023,cv2,N0,Nebraska,3,329.5,3672,11972.6
2023,cv2,N0,Nebraska,4,360.7,3672,13105.2
2023,cv2,N0,Nebraska,5,348.8,3672,12673.7
2023,cv2,N0,Nebraska,6,338.9,3764,12619.8
2023,cv2,N0,Nebraska,7,342.2,3488,11810.8
2023,cv2,N0,Nebraska,8,325.8,3397,10947.9
2023,cv2,N0,Nebraska,9,292.2,4234,12242.3
2023,cv2,N0,Nebraska,10,351.6,3488,12134.4
2023,cv3,N0,Iowa,1,362.2,2754,9869.3
2023,cv3,N0,Iowa,2,305.1,3305,9977.2
2023,cv3,N0,Iowa,3,371.1,2570,9437.9
2023,cv3,N0,Iowa,4,321.9,3488,11109.7
2023,cv3,N0,Iowa,5,342.3,3408,11541.2
2023,cv3,N0,Iowa,6,345.5,3029,10354.7
2023,cv3,N0,Iowa,7,317.3,2972,9330
2023,cv3,N0,Iowa,8,359,2490,8844.6
2023,cv3,N0,Iowa,9,335.5,2892,9599.7
2023,cv3,N0,Iowa,10,312.5,3488,10786.1
2023,cv3,N0,Illinois,1,317.9,2909,9151.4
2023,cv3,N0,Illinois,2,293.7,3472,10088.6
2023,cv3,N0,Illinois,3,349.3,2792,9647.6
2023,cv3,N0,Illinois,4,299.9,3660,10860.5
2023,cv3,N0,Illinois,5,300.8,3038,9041.2
2023,cv3,N0,Illinois,6,302,3284,9813
2023,cv3,N0,Illinois,7,252.3,3754,9372
2023,cv3,N0,Illinois,8,273.8,3378,9151.4
2023,cv3,N0,Illinois,9,309.1,2956,9041.2
2023,cv3,N0,Illinois,10,293.5,3284,9537.4
2023,cv3,N0,Nebraska,1,267.7,4145,10976.7
2023,cv3,N0,Nebraska,2,296.9,3509,10306.8
2023,cv3,N0,Nebraska,3,310.7,3772,11595.1
2023,cv3,N0,Nebraska,4,281.9,4046,11285.9
2023,cv3,N0,Nebraska,5,259.9,3947,10152.2
2023,cv3,N0,Nebraska,6,368.1,3070,11182.8
2023,cv3,N0,Nebraska,7,354.6,3070,10770.6
2023,cv3,N0,Nebraska,8,314.1,3333,10358.3
2023,cv3,N0,Nebraska,9,286.7,3651,10358.3
2023,cv3,N0,Nebraska,10,329.5,3509,11440.5
2024,cv1,N0,Iowa,1,341.6,3553,12007.4
2024,cv1,N0,Iowa,2,282.9,3553,9946
2024,cv1,N0,Iowa,3,332.8,3553,11698.2
2024,cv1,N0,Iowa,4,331.6,3849,12625.8
2024,cv1,N0,Iowa,5,306.7,3651,11079.8
2024,cv1,N0,Iowa,6,341.7,3750,12677.3
2024,cv1,N0,Iowa,7,295.3,4057,11852.8
2024,cv1,N0,Iowa,8,329.7,3333,10873.6
2024,cv1,N0,Iowa,9,296.7,3651,10719
2024,cv1,N0,Iowa,10,343.1,3947,13398.8
2024,cv1,N0,Illinois,1,312.7,3947,12213.5
2024,cv1,N0,Illinois,2,331.7,3454,11337.4
2024,cv1,N0,Illinois,3,410.5,3070,12471.2
2024,cv1,N0,Illinois,4,353.1,3333,11646.6
2024,cv1,N0,Illinois,5,301,3651,10873.6
2024,cv1,N0,Illinois,6,385.1,3246,12368.1
2024,cv1,N0,Illinois,7,356.3,3553,12522.7
2024,cv1,N0,Illinois,8,307.4,2982,9070
2024,cv1,N0,Illinois,9,361.1,3750,13398.8
2024,cv1,N0,Illinois,10,281.5,3553,9894.5
2024,cv2,N0,Iowa,1,339.9,3672,12350.1
2024,cv2,N0,Iowa,2,350.4,3718,12889.4
2024,cv2,N0,Iowa,3,339.8,4234,14237.7
2024,cv2,N0,Iowa,4,393.9,2892,11271.5
2024,cv2,N0,Iowa,5,373.8,3718,13752.3
2024,cv2,N0,Iowa,6,388.2,3580,13752.3
2024,cv2,N0,Iowa,7,369.1,3397,12404.1
2024,cv2,N0,Iowa,8,329.2,3924,12781.6
2024,cv2,N0,Iowa,9,379.7,3488,13105.2
2024,cv2,N0,Iowa,10,391.8,3408,13213
2024,cv2,N0,Illinois,1,373.9,3397,12565.9
2024,cv2,N0,Illinois,2,333.2,3305,10894
2024,cv2,N0,Illinois,3,329.9,3305,10786.1
2024,cv2,N0,Illinois,4,361.3,4028,14399.5
2024,cv2,N0,Illinois,5,356.3,3305,11649
2024,cv2,N0,Illinois,6,354.8,3718,13051.2
2024,cv2,N0,Illinois,7,379.3,3305,12404.1
2024,cv2,N0,Illinois,8,369.1,3397,12404.1
2024,cv2,N0,Illinois,9,337,3397,11325.5
2024,cv2,N0,Illinois,10,430.4,3052,12997.3
2024,cv3,N0,Iowa,1,379,3260,12223.1
2024,cv3,N0,Iowa,2,403,3164,12617.4
2024,cv3,N0,Iowa,3,410.2,3164,12842.7
2024,cv3,N0,Iowa,4,390.7,2972,11490.8
2024,cv3,N0,Iowa,5,413.7,2972,12166.8
2024,cv3,N0,Iowa,6,389.7,2936,11321.9
2024,cv3,N0,Iowa,7,399.9,3260,12899
2024,cv3,N0,Iowa,8,364.5,3452,12448.4
2024,cv3,N0,Iowa,9,354.5,3260,11434.5
2024,cv3,N0,Iowa,10,312.3,3883,11997.8
2024,cv3,N0,Illinois,1,286.3,4361,12350.1
2024,cv3,N0,Illinois,2,367.8,3305,12026.6
2024,cv3,N0,Illinois,3,387.7,3121,11972.6
2024,cv3,N0,Illinois,4,403.4,2892,11541.2
2024,cv3,N0,Illinois,5,376,3305,12296.2
2024,cv3,N0,Illinois,6,367.8,3305,12026.6
2024,cv3,N0,Illinois,7,351.3,3305,11487.2
2024,cv3,N0,Illinois,8,373.2,3213,11864.8
2024,cv3,N0,Illinois,9,367.8,3305,12026.6
2024,cv3,N0,Illinois,10,382.6,3305,12511.9
