year,variety,nitrogen,location ,AGW,KN,GY
2023,cv2,N1,Nebraska,313.5,3572,11081
2023,cv2,N1,Nebraska,313,3818,11825.2
2023,cv2,N1,Nebraska,268.2,4082,10832.9
2023,cv2,N1,Nebraska,282,3941,10998.3
2023,cv3,N1,Iowa,298.6,4070,12023
2023,cv3,N1,Iowa,286.4,5271,14937.6
2023,cv3,N1,Iowa,280.3,3876,10747.8
2023,cv3,N1,Iowa,251.9,5116,12751.6
2023,cv3,N1,Iowa,311.2,4496,13844.6
2023,cv3,N1,Iowa,292,4477,12933.8
2023,cv3,N1,Iowa,279.9,4341,12023
2023,cv3,N1,Iowa,300.7,4806,14300
2023,cv3,N1,Iowa,276.5,4961,13571.4
2023,cv3,N1,Iowa,289.5,4961,14209
2023,cv3,N1,Illinois,288.4,4820,13752.3
2023,cv3,N1,Illinois,286.9,4686,13302.9
2023,cv3,N1,Illinois,284.6,4150,11685
2023,cv3,N1,Illinois,269,4896,13033.3
2023,cv3,N1,Illinois,260.6,5508,14201.8
2023,cv3,N1,Illinois,280.5,4437,12314.2
2023,cv3,N1,Illinois,301.6,3615,10786.1
2023,cv3,N1,Illinois,300.5,4686,13932.1
2023,cv3,N1,Illinois,345.6,4284,14651.2
2023,cv3,N1,Illinois,283.7,4131,11595.1
2023,cv3,N1,Nebraska,250.9,4427,10989.9
2023,cv3,N1,Nebraska,247.4,3873,9479.8
2023,cv3,N1,Nebraska,245.5,4248,10318.8
2023,cv3,N1,Nebraska,281.7,4123,11493.2
2023,cv3,N1,Nebraska,252.3,3998,9983.2
2023,cv3,N1,Nebraska,258.8,4980,12751.6
2023,cv3,N1,Nebraska,261.8,4016,10402.6
2023,cv3,N1,Nebraska,270.5,3856,10318.8
2023,cv3,N1,Nebraska,273.1,3695,9983.2
2023,cv3,N1,Nebraska,275.7,3998,10906
2024,cv1,N1,Iowa,285,5141,14496.6
2024,cv1,N1,Iowa,283.3,5141,14410.3
2024,cv1,N1,Iowa,295,4553,13288.5
2024,cv1,N1,Iowa,327.5,4847,15704.6
2024,cv1,N1,Iowa,291.1,5122,14755.5
2024,cv1,N1,Iowa,313.8,4113,12770.8
2024,cv1,N1,Iowa,322.6,4406,14065.1
2024,cv1,N1,Iowa,263.9,5618,14669.2
2024,cv1,N1,Iowa,283.9,4792,13461.1
2024,cv1,N1,Iowa,309.4,4792,14669.2
2024,cv1,N1,Illinois,267.2,4700,12425.6
2024,cv1,N1,Illinois,306,3819,11562.8
2024,cv1,N1,Illinois,305.4,4113,12425.6
2024,cv1,N1,Illinois,270.9,4957,13288.5
2024,cv1,N1,Illinois,245,4627,11217.6
2024,cv1,N1,Illinois,196.8,5141,10009.5
2024,cv1,N1,Illinois,290.9,4406,12684.5
2024,cv1,N1,Illinois,269.2,4406,11735.3
2024,cv1,N1,Illinois,281.6,4553,12684.5
2024,cv1,N1,Illinois,280.5,4260,11821.6
2024,cv2,N1,Iowa,343.3,4570,15520.1
2024,cv2,N1,Iowa,313.6,4570,14177.8
2024,cv2,N1,Iowa,294.8,4141,12080.5
2024,cv2,N1,Iowa,306.2,4570,13842.2
2024,cv2,N1,Iowa,289,3374,9647.6
2024,cv2,N1,Iowa,351.3,4248,14765
2024,cv2,N1,Iowa,329.6,4141,13506.7
2024,cv2,N1,Iowa,326.6,4284,13842.2
2024,cv2,N1,Iowa,316.7,4284,13422.8
2024,cv2,N1,Iowa,333.2,5141,16946.2
2024,cv2,N1,Illinois,345.1,4436,15146.2
2024,cv2,N1,Illinois,272.4,4925,13274.2
2024,cv2,N1,Illinois,350.9,4436,15401.4
2024,cv2,N1,Illinois,293.4,4925,14295.2
2024,cv2,N1,Illinois,325.7,4780,15401.4
2024,cv2,N1,Illinois,321,4635,14720.7
2024,cv2,N1,Illinois,303.4,4309,12933.8
2024,cv2,N1,Illinois,275.3,4780,13018.9
2024,cv2,N1,Illinois,324.8,4925,15826.9
2024,cv2,N1,Illinois,335.9,5069,16848
2024,cv3,N1,Iowa,302.6,4490,13444.3
2024,cv3,N1,Iowa,288.1,4925,14040
2024,cv3,N1,Iowa,341.9,4780,16167.2
2024,cv3,N1,Iowa,379.6,4780,17954.1
2024,cv3,N1,Iowa,375.3,4056,15061.1
2024,cv3,N1,Iowa,302.3,4780,14295.2
2024,cv3,N1,Iowa,337.2,4056,13529.4
2024,cv3,N1,Iowa,319.8,5540,17528.7
2024,cv3,N1,Iowa,331.1,4780,15656.7
2024,cv3,N1,Iowa,359.7,4925,17528.7
2024,cv3,N1,Illinois,263.9,5453,14237.7
2024,cv3,N1,Illinois,280.4,5288,14669.2
2024,cv3,N1,Illinois,246.9,5122,12511.9
2024,cv3,N1,Illinois,265.2,4406,11562.8
2024,cv3,N1,Illinois,263.2,4406,11476.5
2024,cv3,N1,Illinois,281.2,4994,13892.6
2024,cv3,N1,Illinois,273.5,5453,14755.5
2024,cv3,N1,Illinois,262.7,4847,12598.2
2024,cv3,N1,Illinois,237.5,5618,13202.2
2024,cv3,N1,Illinois,254.2,4700,11821.6
2023,cv1,N0,Iowa,309.7,3321,10177.3
2023,cv1,N0,Iowa,283.9,3736,10493.7
2023,cv1,N0,Iowa,308.4,2783,8489.9
2023,cv1,N0,Iowa,300.7,3332,9913.7
2023,cv1,N0,Iowa,308,2872,8753.6
2023,cv1,N0,Iowa,320.3,2962,9386.3
2023,cv1,N0,Iowa,324.6,2693,8648.1
2023,cv1,N0,Iowa,316.7,2962,9280.9
2023,cv1,N0,Iowa,325.5,2603,8384.4
2023,cv1,N0,Iowa,320.6,3142,9966.4
2023,cv1,N0,Illinois,312.5,2171,6711.4
2023,cv1,N0,Illinois,337,2415,8053.7
2023,cv1,N0,Illinois,322.8,2546,8130.4
2023,cv1,N0,Illinois,306.3,2481,7516.7
2023,cv1,N0,Illinois,264.1,2481,6481.3
2023,cv1,N0,Illinois,329.7,2481,8092
2023,cv1,N0,Illinois,289.8,2742,7861.9
2023,cv1,N0,Illinois,296.7,2717,7977
2023,cv1,N0,Illinois,307,2676,8130.4
2023,cv1,N0,Illinois,264.1,2481,6481.3
2023,cv1,N0,Nebraska,281,4039,11232
2023,cv1,N0,Nebraska,298.2,4039,11917.5
2023,cv1,N0,Nebraska,329.5,3590,11706.6
2023,cv1,N0,Nebraska,278.4,4039,11126.5
2023,cv1,N0,Nebraska,313.8,3770,11706.6
2023,cv1,N0,Nebraska,309.4,3411,10441
2023,cv1,N0,Nebraska,310.6,3501,10757.4
2023,cv1,N0,Nebraska,238.8,4039,9544.5
2023,cv1,N0,Nebraska,345.6,3501,11970.2
2023,cv1,N0,Nebraska,301.4,3501,10441
2023,cv2,N0,Iowa,275.6,3718,10139
2023,cv2,N0,Iowa,319.3,2731,8628.9
2023,cv2,N0,Iowa,335.2,2651,8790.7
2023,cv2,N0,Iowa,295.9,3408,9977.2
2023,cv2,N0,Iowa,321.3,3121,9923.3
2023,cv2,N0,Iowa,336.5,2754,9168.2
2023,cv2,N0,Iowa,295.1,3121,9114.3
2023,cv2,N0,Iowa,298.5,3397,10031.1
2023,cv2,N0,Iowa,288.9,3924,11217.6
2023,cv2,N0,Iowa,322.1,3029,9653.6
2023,cv2,N0,Illinois,304.9,3623,10930
2023,cv2,N0,Illinois,330.8,3427,11217.6
2023,cv2,N0,Illinois,327.1,3342,10814.9
2023,cv2,N0,Illinois,320.9,3623,11505.2
2023,cv2,N0,Illinois,337.5,3256,10872.4
2023,cv2,N0,Illinois,322.3,3427,10930
2023,cv2,N0,Illinois,305.8,3745,11332.6
2023,cv2,N0,Illinois,316.1,3623,11332.6
2023,cv2,N0,Illinois,313.2,3917,12138
2023,cv2,N0,Illinois,348,3525,12138
2023,cv2,N0,Nebraska,312.8,3764,11649
2023,cv2,N0,Nebraska,318.6,3764,11864.8
2023,cv2,N0,Nebraska,329.5,3672,11972.6
2023,cv2,N0,Nebraska,360.7,3672,13105.2
2023,cv2,N0,Nebraska,348.8,3672,12673.7
2023,cv2,N0,Nebraska,338.9,3764,12619.8
2023,cv2,N0,Nebraska,342.2,3488,11810.8
2023,cv2,N0,Nebraska,325.8,3397,10947.9
2023,cv2,N0,Nebraska,292.2,4234,12242.3
2023,cv2,N0,Nebraska,351.6,3488,12134.4
2023,cv3,N0,Iowa,362.2,2754,9869.3
2023,cv3,N0,Iowa,305.1,3305,9977.2
2023,cv3,N0,Iowa,371.1,2570,9437.9
2023,cv3,N0,Iowa,321.9,3488,11109.7
2023,cv3,N0,Iowa,342.3,3408,11541.2
2023,cv3,N0,Iowa,345.5,3029,10354.7
2023,cv3,N0,Iowa,317.3,2972,9330
2023,cv3,N0,Iowa,359,2490,8844.6
2023,cv3,N0,Iowa,335.5,2892,9599.7
2023,cv3,N0,Iowa,312.5,3488,10786.1
2023,cv3,N0,Illinois,317.9,2909,9151.4
2023,cv3,N0,Illinois,293.7,3472,10088.6
2023,cv3,N0,Illinois,349.3,2792,9647.6
2023,cv3,N0,Illinois,299.9,3660,10860.5
2023,cv3,N0,Illinois,300.8,3038,9041.2
2023,cv3,N0,Illinois,302,3284,9813
2023,cv3,N0,Illinois,252.3,3754,9372
2023,cv3,N0,Illinois,273.8,3378,9151.4
2023,cv3,N0,Illinois,309.1,2956,9041.2
2023,cv3,N0,Illinois,293.5,3284,9537.4
2023,cv3,N0,Nebraska,267.7,4145,10976.7
2023,cv3,N0,Nebraska,296.9,3509,10306.8
2023,cv3,N0,Nebraska,310.7,3772,11595.1
2023,cv3,N0,Nebraska,281.9,4046,11285.9
2023,cv3,N0,Nebraska,259.9,3947,10152.2
2023,cv3,N0,Nebraska,368.1,3070,11182.8
2023,cv3,N0,Nebraska,354.6,3070,10770.6
2023,cv3,N0,Nebraska,314.1,3333,10358.3
2023,cv3,N0,Nebraska,286.7,3651,10358.3
2023,cv3,N0,Nebraska,329.5,3509,11440.5
2024,cv1,N0,Iowa,341.6,3553,12007.4
2024,cv1,N0,Iowa,282.9,3553,9946
2024,cv1,N0,Iowa,332.8,3553,11698.2
2024,cv1,N0,Iowa,331.6,3849,12625.8
2024,cv1,N0,Iowa,306.7,3651,11079.8
2024,cv1,N0,Iowa,341.7,3750,12677.3
2024,cv1,N0,Iowa,295.3,4057,11852.8
2024,cv1,N0,Iowa,329.7,3333,10873.6
2024,cv1,N0,Iowa,296.7,3651,10719
2024,cv1,N0,Iowa,343.1,3947,13398.8
2024,cv1,N0,Illinois,312.7,3947,12213.5
2024,cv1,N0,Illinois,331.7,3454,11337.4
2024,cv1,N0,Illinois,410.5,3070,12471.2
2024,cv1,N0,Illinois,353.1,3333,11646.6
2024,cv1,N0,Illinois,301,3651,10873.6
2024,cv1,N0,Illinois,385.1,3246,12368.1
2024,cv1,N0,Illinois,356.3,3553,12522.7
2024,cv1,N0,Illinois,307.4,2982,9070
2024,cv1,N0,Illinois,361.1,3750,13398.8
2024,cv1,N0,Illinois,281.5,3553,9894.5
2024,cv2,N0,Iowa,339.9,3672,12350.1
2024,cv2,N0,Iowa,350.4,3718,12889.4
2024,cv2,N0,Iowa,339.8,4234,14237.7
2024,cv2,N0,Iowa,393.9,2892,11271.5
2024,cv2,N0,Iowa,373.8,3718,13752.3
2024,cv2,N0,Iowa,388.2,3580,13752.3
2024,cv2,N0,Iowa,369.1,3397,12404.1
2024,cv2,N0,Iowa,329.2,3924,12781.6
2024,cv2,N0,Iowa,379.7,3488,13105.2
2024,cv2,N0,Iowa,391.8,3408,13213
2024,cv2,N0,Illinois,373.9,3397,12565.9
2024,cv2,N0,Illinois,333.2,3305,10894
2024,cv2,N0,Illinois,329.9,3305,10786.1
2024,cv2,N0,Illinois,361.3,4028,14399.5
2024,cv2,N0,Illinois,356.3,3305,11649
2024,cv2,N0,Illinois,354.8,3718,13051.2
2024,cv2,N0,Illinois,379.3,3305,12404.1
2024,cv2,N0,Illinois,369.1,3397,12404.1
2024,cv2,N0,Illinois,337,3397,11325.5
2024,cv2,N0,Illinois,430.4,3052,12997.3
2024,cv3,N0,Iowa,379,3260,12223.1
2024,cv3,N0,Iowa,403,3164,12617.4
2024,cv3,N0,Iowa,410.2,3164,12842.7
2024,cv3,N0,Iowa,390.7,2972,11490.8
2024,cv3,N0,Iowa,413.7,2972,12166.8
2024,cv3,N0,Iowa,389.7,2936,11321.9
2024,cv3,N0,Iowa,399.9,3260,12899
2024,cv3,N0,Iowa,364.5,3452,12448.4
2024,cv3,N0,Iowa,354.5,3260,11434.5
2024,cv3,N0,Iowa,312.3,3883,11997.8
2024,cv3,N0,Illinois,286.3,4361,12350.1
2024,cv3,N0,Illinois,367.8,3305,12026.6
2024,cv3,N0,Illinois,387.7,3121,11972.6
2024,cv3,N0,Illinois,403.4,2892,11541.2
2024,cv3,N0,Illinois,376,3305,12296.2
2024,cv3,N0,Illinois,367.8,3305,12026.6
2024,cv3,N0,Illinois,351.3,3305,11487.2
2024,cv3,N0,Illinois,373.2,3213,11864.8
2024,cv3,N0,Illinois,367.8,3305,12026.6
2024,cv3,N0,Illinois,382.6,3305,12511.9
