Season,Site,Plot,Genotype,Block1,Block,Row,Plant,Yield
2023,AV,B301,CV1,III,C,West,1,175.800
2023,AV,B301,CV1,III,C,West,2,250.200
2023,AV,B301,CV1,III,C,West,3,383.300
2023,AV,B301,CV1,III,C,West,4,238.100
2023,AV,B301,CV1,III,C,West,5,328.200
2023,AV,B401,CV1,IV,D,East,1,168.100
2023,AV,B401,CV1,IV,D,East,2,102.500
2023,AV,B401,CV1,IV,D,East,3,217.300
2023,AV,B401,CV1,IV,D,East,4,293.900
2023,AV,B401,CV1,IV,D,East,5,112.200
2023,AV,B401,CV1,IV,D,West,1,113.400
2023,AV,B401,CV1,IV,D,West,2,555.600
2023,AV,B401,CV1,IV,D,West,3,133.500
2023,AV,B401,CV1,IV,D,West,4,197.100
2023,AV,B401,CV1,IV,D,West,5,218.800
2024,Control,A101,CV1,I,I,East,1,499.212
2024,Control,A101,CV1,I,I,East,2,132.104
2024,Control,A101,CV1,I,I,East,3,100.058
2024,Control,A101,CV1,I,I,East,4,170.128
2024,Control,A101,CV1,I,I,East,5,189.532
2024,Control,A101,CV1,I,I,West,1,90.160
2024,Control,A101,CV1,I,I,West,2,208.544
2024,Control,A101,CV1,I,I,West,3,273.322
2024,Control,A101,CV1,I,I,West,4,275.184
2024,Control,A201,CV1,II,II,East,1,99.470
2024,Control,A201,CV1,II,II,East,2,229.810
2024,Control,A201,CV1,II,II,East,3,144.550
2024,Control,A201,CV1,II,II,East,4,45.178
2024,Control,A201,CV1,II,II,East,5,81.340
2024,Control,A201,CV1,II,II,West,1,228.046
2024,Control,A201,CV1,II,II,West,2,130.340
2024,Control,A201,CV1,II,II,West,3,220.990
2024,Control,A201,CV1,II,II,West,4,132.692
2024,Control,A201,CV1,II,II,West,5,140.042
2024,Control,A301,CV1,III,III,East,1,190.512
2024,Control,A301,CV1,III,III,East,2,188.944
2024,Control,A301,CV1,III,III,East,3,142.688
2024,Control,A301,CV1,III,III,East,4,219.324
2024,Control,A301,CV1,III,III,East,5,135.044
2024,Control,A301,CV1,III,III,West,1,125.832
2024,Control,A301,CV1,III,III,West,2,93.100
2024,Control,A301,CV1,III,III,West,3,156.800
2024,Control,A301,CV1,III,III,West,4,158.760
2024,Control,A301,CV1,III,III,West,5,79.968
2024,Control,A401,CV1,IV,IV,East,1,203.448
2024,Control,A301,CV1,IV,IV,East,2,205.800
2024,Control,A301,CV1,IV,IV,East,3,407.190
2024,Control,A301,CV1,IV,IV,East,4,198.842
2024,Control,A301,CV1,IV,IV,East,5,96.922
2024,Control,A301,CV1,IV,IV,West,1,548.898
2024,Control,A301,CV1,IV,IV,West,2,429.142
2024,Control,A301,CV1,IV,IV,West,3,167.188
2024,Control,A301,CV1,IV,IV,West,4,199.920
2024,Control,A301,CV1,IV,IV,West,5,34.888
2024,AV,B101,CV1,I,A,East,1,487.875
2024,AV,B101,CV1,I,A,East,2,116.875
2024,AV,B101,CV1,I,A,East,3,201.625
2024,AV,B101,CV1,I,A,East,4,279.000
2024,AV,B101,CV1,I,A,East,5,335.625
2024,AV,B101,CV1,I,A,West,1,127.000
2024,AV,B101,CV1,I,A,West,2,235.125
2024,AV,B101,CV1,I,A,West,3,221.625
2024,AV,B101,CV1,I,A,West,4,61.250
2024,AV,B101,CV1,I,A,West,5,187.750
2024,AV,B201,CV1,II,B,East,1,140.875
2024,AV,B201,CV1,II,B,East,2,210.125
2024,AV,B201,CV1,II,B,East,3,280.750
2024,AV,B201,CV1,II,B,East,4,142.000
2024,AV,B201,CV1,II,B,East,5,147.625
2024,AV,B201,CV1,II,B,West,1,214.750
2024,AV,B201,CV1,II,B,West,2,127.375
2024,AV,B201,CV1,II,B,West,3,99.250
2024,AV,B201,CV1,II,B,West,4,80.625
2024,AV,B201,CV1,II,B,West,5,100.500
2024,AV,B301,CV1,III,C,East,1,104.000
2024,AV,B301,CV1,III,C,East,2,64.000
2024,AV,B301,CV1,III,C,East,3,377.750
2024,AV,B301,CV1,III,C,East,4,275.000
2024,AV,B301,CV1,III,C,East,5,142.875
2024,AV,B301,CV1,III,C,West,1,219.750
2024,AV,B301,CV1,III,C,West,2,312.750
2024,AV,B301,CV1,III,C,West,3,479.125
2024,AV,B301,CV1,III,C,West,4,297.625
2024,AV,B301,CV1,III,C,West,5,410.250
2024,AV,B401,CV1,IV,D,East,1,210.125
2024,AV,B401,CV1,IV,D,East,2,128.125
2024,AV,B401,CV1,IV,D,East,3,271.625
2024,AV,B401,CV1,IV,D,East,4,367.375
2024,AV,B401,CV1,IV,D,East,5,140.250
2024,AV,B401,CV1,IV,D,West,1,141.750
2024,AV,B401,CV1,IV,D,West,2,694.500
2024,AV,B401,CV1,IV,D,West,3,166.875
2024,AV,B401,CV1,IV,D,West,4,246.375
2024,AV,B401,CV1,IV,D,West,5,273.500
2023,Control,C101,CV2,I,I,East,1,399.879
2023,Control,C101,CV2,I,I,East,2,105.818
2023,Control,C101,CV2,I,I,East,3,80.149
2023,Control,C101,CV2,I,I,East,4,136.276
2023,Control,C101,CV2,I,I,East,5,151.819
2023,Control,C101,CV2,I,I,West,1,72.220
2023,Control,C101,CV2,I,I,West,2,167.048
2023,Control,C101,CV2,I,I,West,3,218.937
2023,Control,C101,CV2,I,I,West,4,220.428
2023,Control,C201,CV2,II,II,East,1,79.678
2023,Control,C201,CV2,II,II,East,2,184.083
2023,Control,C201,CV2,II,II,East,3,115.788
2023,Control,C201,CV2,II,II,East,4,36.189
2023,Control,C201,CV2,II,II,East,5,65.155
2023,Control,C201,CV2,II,II,West,1,182.670
2023,Control,C201,CV2,II,II,West,2,104.405
2023,Control,C201,CV2,II,II,West,3,177.018
2023,Control,C201,CV2,II,II,West,4,106.289
2023,Control,C201,CV2,II,II,West,5,112.177
2023,Control,C301,CV2,III,III,East,1,152.604
2023,Control,C301,CV2,III,III,East,2,151.348
2023,Control,C301,CV2,III,III,East,3,114.296
2023,Control,C301,CV2,III,III,East,4,175.683
2023,Control,C301,CV2,III,III,East,5,108.173
2023,Control,C301,CV2,III,III,West,1,100.794
2023,Control,C301,CV2,III,III,West,2,74.575
2023,Control,C301,CV2,III,III,West,3,125.600
2023,Control,C301,CV2,III,III,West,4,127.170
2023,Control,C301,CV2,III,III,West,5,64.056
2023,Control,C401,CV2,IV,IV,East,1,162.966
2023,Control,C301,CV2,IV,IV,East,2,164.850
2023,Control,C301,CV2,IV,IV,East,3,326.168
2023,Control,C301,CV2,IV,IV,East,4,159.277
2023,Control,C301,CV2,IV,IV,East,5,77.637
2023,Control,C301,CV2,IV,IV,West,1,439.679
2023,Control,C301,CV2,IV,IV,West,2,343.752
2023,Control,C301,CV2,IV,IV,West,3,133.921
2023,Control,C301,CV2,IV,IV,West,4,160.140
2023,Control,C301,CV2,IV,IV,West,5,27.946
2023,AV,D101,CV2,I,A,East,1,306.386
2023,AV,D101,CV2,I,A,East,2,73.398
2023,AV,D101,CV2,I,A,East,3,126.621
2023,AV,D101,CV2,I,A,East,4,175.212
2023,AV,D101,CV2,I,A,East,5,210.773
2023,AV,D101,CV2,I,A,West,1,79.756
2023,AV,D101,CV2,I,A,West,2,147.659
2023,AV,D101,CV2,I,A,West,3,139.181
2023,AV,D101,CV2,I,A,West,4,38.465
2023,AV,D101,CV2,I,A,West,5,117.907
2023,AV,D201,CV2,II,B,East,1,88.470
2023,AV,D201,CV2,II,B,East,2,131.959
2023,AV,D201,CV2,II,B,East,3,176.311
2023,AV,D201,CV2,II,B,East,4,89.176
2023,AV,D201,CV2,II,B,East,5,92.709
2023,AV,D201,CV2,II,B,West,1,134.863
2023,AV,D201,CV2,II,B,West,2,79.992
2023,AV,D201,CV2,II,B,West,3,62.329
2023,AV,D201,CV2,II,B,West,4,50.633
2023,AV,D201,CV2,II,B,West,5,63.114
2023,AV,D301,CV2,III,C,East,1,65.312
2023,AV,D301,CV2,III,C,East,2,40.192
2023,AV,D301,CV2,III,C,East,3,237.227
2023,AV,D301,CV2,III,C,East,4,172.700
2023,AV,D301,CV2,III,C,East,5,89.726
2023,AV,D301,CV2,III,C,West,1,138.003
2023,AV,D301,CV2,III,C,West,2,196.407
2023,AV,D301,CV2,III,C,West,3,300.891
2023,AV,D301,CV2,III,C,West,4,186.909
2023,AV,D301,CV2,III,C,West,5,257.637
2023,AV,D401,CV2,IV,D,East,1,131.959
2023,AV,D401,CV2,IV,D,East,2,80.463
2023,AV,D401,CV2,IV,D,East,3,170.581
2023,AV,D401,CV2,IV,D,East,4,230.712
2023,AV,D401,CV2,IV,D,East,5,88.077
2023,AV,D401,CV2,IV,D,West,1,89.019
2023,AV,D401,CV2,IV,D,West,2,436.146
2023,AV,D401,CV2,IV,D,West,3,104.798
2023,AV,D401,CV2,IV,D,West,4,154.724
2023,AV,D401,CV2,IV,D,West,5,171.758
2024,Control,C101,CV2,I,I,East,1,391.881
2024,Control,C101,CV2,I,I,East,2,103.702
2024,Control,C101,CV2,I,I,East,3,78.546
2024,Control,C101,CV2,I,I,East,4,133.550
2024,Control,C101,CV2,I,I,East,5,148.783
2024,Control,C101,CV2,I,I,West,1,70.776
2024,Control,C101,CV2,I,I,West,2,163.707
2024,Control,C101,CV2,I,I,West,3,214.558
2024,Control,C101,CV2,I,I,West,4,216.019
2024,Control,C201,CV2,II,II,East,1,78.084
2024,Control,C201,CV2,II,II,East,2,180.401
2024,Control,C201,CV2,II,II,East,3,113.472
2024,Control,C201,CV2,II,II,East,4,35.465
2024,Control,C201,CV2,II,II,East,5,63.852
2024,Control,C201,CV2,II,II,West,1,179.016
2024,Control,C201,CV2,II,II,West,2,102.317
2024,Control,C201,CV2,II,II,West,3,173.477
2024,Control,C201,CV2,II,II,West,4,104.163
2024,Control,C201,CV2,II,II,West,5,109.933
2024,Control,C301,CV2,III,III,East,1,149.552
2024,Control,C301,CV2,III,III,East,2,148.321
2024,Control,C301,CV2,III,III,East,3,112.010
2024,Control,C301,CV2,III,III,East,4,172.169
2024,Control,C301,CV2,III,III,East,5,106.010
2024,Control,C301,CV2,III,III,West,1,98.778
2024,Control,C301,CV2,III,III,West,2,73.084
2024,Control,C301,CV2,III,III,West,3,123.088
2024,Control,C301,CV2,III,III,West,4,124.627
2024,Control,C301,CV2,III,III,West,5,62.775
2024,Control,C401,CV2,IV,IV,East,1,159.707
2024,Control,C301,CV2,IV,IV,East,2,161.553
2024,Control,C301,CV2,IV,IV,East,3,319.644
2024,Control,C301,CV2,IV,IV,East,4,156.091
2024,Control,C301,CV2,IV,IV,East,5,76.084
2024,Control,C301,CV2,IV,IV,West,1,430.885
2024,Control,C301,CV2,IV,IV,West,2,336.876
2024,Control,C301,CV2,IV,IV,West,3,131.243
2024,Control,C301,CV2,IV,IV,West,4,156.937
2024,Control,C301,CV2,IV,IV,West,5,27.387
2024,AV,D101,CV2,I,A,East,1,382.982
2024,AV,D101,CV2,I,A,East,2,91.747
2024,AV,D101,CV2,I,A,East,3,158.276
2024,AV,D101,CV2,I,A,East,4,219.015
2024,AV,D101,CV2,I,A,East,5,263.466
2024,AV,D101,CV2,I,A,West,1,99.695
2024,AV,D101,CV2,I,A,West,2,184.573
2024,AV,D101,CV2,I,A,West,3,173.976
2024,AV,D101,CV2,I,A,West,4,48.081
2024,AV,D101,CV2,I,A,West,5,147.384
2024,AV,D201,CV2,II,B,East,1,110.587
2024,AV,D201,CV2,II,B,East,2,164.948
2024,AV,D201,CV2,II,B,East,3,220.389
2024,AV,D201,CV2,II,B,East,4,111.470
2024,AV,D201,CV2,II,B,East,5,115.886
2024,AV,D201,CV2,II,B,West,1,168.579
2024,AV,D201,CV2,II,B,West,2,99.989
2024,AV,D201,CV2,II,B,West,3,77.911
2024,AV,D201,CV2,II,B,West,4,63.291
2024,AV,D201,CV2,II,B,West,5,78.893
2024,AV,D301,CV2,III,C,East,1,81.640
2024,AV,D301,CV2,III,C,East,2,50.240
2024,AV,D301,CV2,III,C,East,3,296.534
2024,AV,D301,CV2,III,C,East,4,215.875
2024,AV,D301,CV2,III,C,East,5,112.157
2024,AV,D301,CV2,III,C,West,1,172.504
2024,AV,D301,CV2,III,C,West,2,245.509
2024,AV,D301,CV2,III,C,West,3,376.113
2024,AV,D301,CV2,III,C,West,4,233.636
2024,AV,D301,CV2,III,C,West,5,322.046
2024,AV,D401,CV2,IV,D,East,1,164.948
2024,AV,D401,CV2,IV,D,East,2,100.578
2024,AV,D401,CV2,IV,D,East,3,213.226
2024,AV,D401,CV2,IV,D,East,4,288.389
2024,AV,D401,CV2,IV,D,East,5,110.096
2024,AV,D401,CV2,IV,D,West,1,111.274
2024,AV,D401,CV2,IV,D,West,2,545.183
2024,AV,D401,CV2,IV,D,West,3,130.997
2024,AV,D401,CV2,IV,D,West,4,193.404
2024,AV,D401,CV2,IV,D,West,5,214.698
