Season,Location ,AV_Site,Genotype,Plot,Block,Row,Yield
2015 season,East,AV,cv2,103,III,East,126.3
2015 season,East,AV,cv2,103,III,East,178.7
2015 season,East,AV,cv2,103,III,Middle,150.3
2015 season,East,AV,cv2,103,III,West,51.2
2015 season,East,AV,cv2,103,III,West,27.6
2015 season,East,AV,cv1,104,IV,East,112.5
2015 season,East,AV,cv1,104,IV,East,150.4
2015 season,East,AV,cv1,104,IV,Middle,149.9
2015 season,East,AV,cv1,104,IV,West,87.1
2015 season,East,AV,cv1,104,IV,West,46.9
2015 season,East,AV,cv2,105,I,East,144.5
2015 season,East,AV,cv2,105,I,East,187.9
2015 season,East,AV,cv2,105,I,Middle,168.2
2015 season,East,AV,cv2,105,I,West,171.0
2015 season,East,AV,cv2,105,I,West,142.5
2015 season,East,AV,cv1,106,II,East,88.0
2015 season,East,AV,cv1,106,II,East,119.2
2015 season,East,AV,cv1,106,II,Middle,55.9
2015 season,East,AV,cv1,106,II,West,80.8
2015 season,East,AV,cv1,106,II,West,93.6
2015 season,East,AV,cv1,107,III,East,126.9
2015 season,East,AV,cv1,107,III,East,198.6
2015 season,East,AV,cv1,107,III,Middle,202.0
2015 season,East,AV,cv1,107,III,West,183.4
2015 season,East,AV,cv1,107,III,West,99.2
2015 season,East,AV,cv2,108,IV,East,139.7
2015 season,East,AV,cv2,108,IV,East,159.2
2015 season,East,AV,cv2,108,IV,Middle,195.4
2015 season,East,AV,cv2,108,IV,West,186.4
2015 season,East,AV,cv2,108,IV,West,158.1
2016 season,East,Control,cv1,109,I,East,734.7
2016 season,East,Control,cv1,109,I,East,556.2
2016 season,East,Control,cv1,109,I,Middle,466.9
2016 season,East,Control,cv1,109,I,West,515.0
2016 season,East,Control,cv1,109,I,West,666.0
2016 season,East,Control,cv2,110,I,East,714.4
2016 season,East,Control,cv2,110,I,East,532.6
2016 season,East,Control,cv2,110,I,Middle,565.0
2016 season,East,Control,cv2,110,I,West,480.6
2016 season,East,Control,cv2,110,I,West,604.0
2016 season,East,Control,cv2,111,II,East,688.4
2016 season,East,Control,cv2,111,II,East,656.0
2016 season,East,Control,cv2,111,II,Middle,409.2
2016 season,East,Control,cv2,111,II,West,584.5
2016 season,East,Control,cv2,111,II,West,824.8
2016 season,East,Control,cv1,112,II,East,638.6
2016 season,East,Control,cv1,112,II,East,521.8
2016 season,East,Control,cv1,112,II,Middle,521.8
2016 season,East,Control,cv1,112,II,West,563.0
2016 season,East,Control,cv1,112,II,West,477.9
2016 season,East,Control,cv2,113,III,East,602.7
2016 season,East,Control,cv2,113,III,East,446.8
2016 season,East,Control,cv2,113,III,Middle,493.6
2016 season,East,Control,cv2,113,III,West,420.9
2016 season,East,Control,cv2,113,III,West,498.8
2016 season,East,Control,cv1,114,III,East,560.3
2016 season,East,Control,cv1,114,III,East,384.5
2016 season,East,Control,cv1,114,III,Middle,313.1
2016 season,East,Control,cv1,114,III,West,472.4
2016 season,East,Control,cv1,114,III,West,346.1
2016 season,East,Control,cv1,115,IV,East,554.8
2016 season,East,Control,cv1,115,IV,East,543.8
2016 season,East,Control,cv1,115,IV,Middle,186.8
2016 season,East,Control,cv1,115,IV,West,473.8
2016 season,East,Control,cv1,115,IV,West,487.5
2016 season,East,Control,cv2,116,IV,East,675.4
2016 season,East,Control,cv2,116,IV,East,539.1
2016 season,East,Control,cv2,116,IV,Middle,503.3
2016 season,East,Control,cv2,116,IV,West,506.6
2016 season,East,Control,cv2,116,IV,West,571.5
2016 season,East,AV,cv1,101,I,East,43.3
2016 season,East,AV,cv1,101,I,East,240.7
2016 season,East,AV,cv1,101,I,Middle,227.3
2016 season,East,AV,cv1,101,I,West,201.7
2016 season,East,AV,cv1,101,I,West,126.7
2016 season,East,AV,cv2,102,II,East,167.4
2016 season,East,AV,cv2,102,II,East,193.1
2016 season,East,AV,cv2,102,II,Middle,272.6
2016 season,East,AV,cv2,102,II,West,295.9
2016 season,East,AV,cv2,102,II,West,119.2
2016 season,East,AV,cv2,103,III,East,155.6
2016 season,East,AV,cv2,103,III,East,218.0
2016 season,East,AV,cv2,103,III,Middle,185.2
2016 season,East,AV,cv2,103,III,West,78.8
2016 season,East,AV,cv2,103,III,West,42.5
2016 season,East,AV,cv1,104,IV,East,173.2
2016 season,East,AV,cv1,104,IV,East,231.7
2016 season,East,AV,cv1,104,IV,Middle,230.8
2016 season,East,AV,cv1,104,IV,West,134.1
2016 season,East,AV,cv1,104,IV,West,38.8
2016 season,East,AV,cv2,105,I,East,222.5
2016 season,East,AV,cv2,105,I,East,278.8
2016 season,East,AV,cv2,105,I,Middle,259.1
2016 season,East,AV,cv2,105,I,West,263.4
2016 season,East,AV,cv2,105,I,West,175.6
2016 season,East,AV,cv1,106,II,East,108.5
2016 season,East,AV,cv1,106,II,East,146.9
2016 season,East,AV,cv1,106,II,Middle,69.8
2016 season,East,AV,cv1,106,II,West,79.6
2016 season,East,AV,cv1,106,II,West,92.4
2016 season,East,AV,cv1,107,III,East,125.1
2016 season,East,AV,cv1,107,III,East,195.7
2016 season,East,AV,cv1,107,III,Middle,199.0
2016 season,East,AV,cv1,107,III,West,180.8
2016 season,East,AV,cv1,107,III,West,97.8
2016 season,East,AV,cv2,108,IV,East,137.7
2016 season,East,AV,cv2,108,IV,East,156.9
2016 season,East,AV,cv2,108,IV,Middle,191.5
2016 season,East,AV,cv2,108,IV,West,183.7
2016 season,East,AV,cv2,108,IV,West,161.2
