Treatment,Block,Plant,Branch,Days,Biomass
Drought,II,6,1,59,141.08
Drought,II,6,2,59,144.55
Drought,II,7,1,59,139.22
Drought,III,1,1,59,279.23
Drought,III,1,2,59,297.10
Drought,III,2,1,59,123.75
Drought,III,3,1,59,308.84
Drought,III,3,2,59,162.15
Drought,III,4,1,59,139.22
Drought,III,4,2,59,143.48
Drought,III,4,3,59,203.76
Drought,III,4,4,59,211.49
Drought,III,4,5,59,223.49
Drought,III,5,1,59,236.03
Drought,III,5,2,59,221.36
Drought,III,5,3,59,177.62
Drought,III,5,4,59,174.42
Drought,III,5,5,59,132.82
Drought,III,6,1,59,124.28
Drought,III,6,2,59,147.49
Drought,III,7,1,59,168.55
Drought,III,7,2,59,150.15
Drought,III,8,1,59,173.89
Drought,IV,2,1,59,168.82
Drought,IV,2,2,59,248.30
Drought,IV,2,3,59,203.49
Drought,IV,3,1,59,268.03
Drought,IV,3,2,59,188.02
Drought,IV,4,1,59,209.09
Drought,IV,4,2,59,125.88
Drought,IV,4,3,59,133.88
Drought,IV,4,4,59,283.50
Drought,IV,4,5,59,135.75
Drought,IV,5,1,59,219.23
Drought,IV,5,2,59,305.10
Drought,IV,5,3,59,203.76
Drought,IV,6,1,59,269.10
Drought,IV,7,1,59,252.56
Drought,IV,7,2,59,223.23
Drought,IV,8,1,59,286.44
Drought,IV,8,2,59,152.29
Drought,IV,8,3,59,274.43
Drought,I,3,1,66,144.82
Drought,I,3,2,66,217.36
Drought,I,5,1,66,222.96
Drought,I,5,2,66,164.82
Drought,I,7,1,66,189.36
Drought,II,1,1,66,174.16
Drought,II,2,1,66,147.22
Drought,II,2,2,66,136.55
Drought,II,3,1,66,170.42
Drought,II,3,2,66,237.36
Drought,II,3,3,66,206.96
Drought,II,4,1,66,237.36
Drought,II,4,2,66,175.22
Drought,II,4,3,66,148.02
Drought,II,5,1,66,208.56
Drought,II,6,1,66,123.75
Drought,II,6,2,66,129.88
Drought,II,6,3,66,123.75
Drought,II,7,1,66,168.29
Drought,II,7,2,66,182.42
Drought,II,7,3,66,187.76
Drought,II,7,4,66,245.63
Drought,II,8,1,66,104.55
Drought,II,8,2,66,188.56
Drought,II,8,3,66,215.23
Drought,III,1,1,66,190.42
Drought,III,2,1,66,168.02
Drought,III,6,1,66,149.09
Drought,III,6,2,66,145.88
Drought,III,7,1,66,142.68
Drought,III,8,1,66,211.23
Drought,IV,1,1,66,251.50
Drought,IV,1,2,66,216.29
Drought,IV,2,1,66,227.23
Drought,IV,2,2,66,159.49
Drought,IV,3,1,66,169.62
Drought,IV,3,2,66,273.10
Drought,IV,4,1,66,166.42
Drought,IV,4,2,66,199.22
Drought,IV,5,1,66,235.50
Drought,IV,7,1,66,288.30
Drought,IV,7,2,66,276.57
Drought,IV,7,3,66,152.55
Drought,I,1,1,73,159.22
Drought,I,1,2,73,205.89
Drought,I,1,3,73,195.22
Drought,I,2,1,73,233.36
Drought,I,2,2,73,121.88
Drought,I,3,1,73,217.09
Drought,I,5,1,73,126.68
Drought,I,7,1,73,230.96
Drought,I,7,2,73,272.30
Drought,II,1,1,73,155.22
Drought,II,1,2,73,194.69
Drought,II,1,3,73,132.02
Drought,II,2,1,73,161.62
Drought,II,2,2,73,150.95
Drought,II,2,3,73,224.83
Drought,II,2,4,73,116.81
Drought,II,2,5,73,266.97
Drought,II,3,1,73,212.83
Drought,II,3,2,73,117.88
Drought,II,4,1,73,151.22
Drought,II,5,1,73,236.83
Drought,II,5,2,73,156.82
Drought,II,5,3,73,169.09
Drought,II,6,1,73,121.88
Drought,II,7,1,73,354.18
Drought,II,7,2,73,258.70
Drought,II,7,3,73,180.56
Drought,II,8,1,73,261.90
Drought,II,8,2,73,287.77
Drought,II,8,3,73,182.42
Drought,III,1,1,73,254.43
Drought,III,1,2,73,123.75
Drought,III,1,3,73,138.95
Drought,III,2,1,73,168.29
Drought,III,2,2,73,225.36
Drought,III,3,1,73,226.70
Drought,III,5,1,73,227.50
Drought,III,6,1,73,109.08
Drought,III,7,1,73,166.42
Drought,III,7,2,73,135.75
Drought,III,7,3,73,137.62
Drought,III,7,4,73,132.82
Drought,III,7,5,73,136.82
Drought,III,8,1,73,188.29
Drought,III,8,2,73,161.89
Drought,III,8,3,73,157.89
Drought,IV,2,1,73,218.43
Drought,IV,2,2,73,217.36
Drought,IV,3,1,73,212.83
Drought,IV,3,2,73,174.69
Drought,IV,3,3,73,152.02
Drought,IV,4,1,73,265.10
Drought,IV,4,2,73,144.82
Drought,IV,4,3,73,191.76
Drought,IV,4,4,73,124.55
Drought,IV,5,1,73,298.44
Drought,IV,5,2,73,128.55
Drought,IV,5,3,73,213.36
Drought,IV,6,1,73,195.22
Drought,IV,6,2,73,122.68
Drought,IV,6,3,73,182.96
Drought,IV,6,4,73,153.09
Drought,IV,7,1,73,204.83
Drought,IV,8,1,73,169.35
Drought,IV,8,2,73,106.68
Drought,IV,8,3,73,209.36
Drought,IV,8,4,73,163.49
Drought,IV,8,5,73,126.42
Control,I,1,1,45,124.95
Control,I,1,2,45,99.51
Control,I,2,1,45,793.83
Control,I,2,2,45,227.29
Control,I,3,1,45,336.42
Control,I,3,2,45,183.19
Control,I,3,3,45,292.88
Control,I,3,4,45,134.57
Control,I,4,1,45,124.39
Control,I,5,1,45,107.99
Control,I,6,1,45,102.34
Control,I,7,1,45,258.96
Control,I,7,2,45,160.57
Control,I,7,3,45,177.54
Control,I,7,4,45,124.39
Control,I,8,1,45,231.25
Control,I,8,2,45,160.01
Control,I,8,3,45,185.45
Control,I,8,4,45,118.73
Control,II,2,1,45,646.26
Control,II,3,1,45,208.63
Control,II,3,2,45,84.81
Control,II,4,1,45,178.10
Control,II,4,2,45,400.31
Control,II,4,3,45,503.21
Control,II,5,1,45,182.06
Control,II,5,2,45,146.44
Control,II,5,3,45,107.99
Control,II,6,1,45,235.77
Control,II,6,2,45,242.56
Control,II,6,3,45,125.52
Control,II,8,1,45,121.00
Control,II,8,2,45,220.51
Control,III,1,1,45,113.65
Control,III,1,2,45,222.77
Control,III,1,3,45,218.25
Control,III,1,4,45,93.29
Control,III,1,5,45,89.90
Control,III,1,6,45,101.77
Control,III,2,1,45,839.06
Control,III,2,2,45,558.05
Control,III,2,3,45,390.13
Control,III,3,1,45,161.71
Control,III,3,2,45,124.95
Control,III,4,1,45,446.10
Control,III,4,2,45,292.31
Control,III,4,3,45,114.78
Control,III,5,1,45,154.36
Control,III,5,2,45,152.09
Control,III,5,3,45,148.70
Control,III,6,1,45,349.42
Control,III,6,2,45,165.66
Control,III,6,3,45,132.30
Control,III,6,4,45,90.46
Control,III,6,5,45,122.13
Control,III,6,6,45,84.25
Control,III,7,1,45,90.46
Control,III,7,2,45,141.92
Control,III,8,1,45,181.49
Control,III,8,2,45,115.34
Control,III,8,3,45,193.37
Control,III,8,4,45,123.82
Control,IV,1,1,45,87.07
Control,IV,2,1,45,104.03
Control,IV,5,1,45,183.19
Control,IV,5,2,45,218.25
Control,IV,5,3,45,117.60
Control,IV,5,4,45,186.02
Control,IV,5,5,45,221.07
Control,IV,6,1,45,84.81
Control,IV,6,2,45,238.60
Control,IV,7,1,45,69.54
Control,IV,7,2,45,188.84
Control,IV,7,3,45,261.22
Control,IV,7,4,45,73.50
Control,IV,7,5,45,226.73
Control,IV,7,6,45,112.52
Control,IV,8,1,45,118.17
Control,I,4,1,52,415.01
Control,I,4,2,52,574.45
Control,I,4,3,52,318.89
Control,I,8,1,52,461.37
Control,II,2,1,52,296.27
Control,II,5,1,52,325.11
Control,III,1,1,52,309.28
Control,III,8,1,52,368.64
Control,IV,2,1,52,417.27
Control,IV,2,2,52,545.61
Control,IV,6,1,52,304.19
Control,IV,8,1,52,323.41
Control,I,1,1,59,426.31
Control,I,1,2,59,621.38
Control,I,1,3,59,431.97
Control,I,2,1,59,285.53
Control,I,2,2,59,395.78
Control,I,2,3,59,507.73
Control,I,2,4,59,378.26
Control,I,2,5,59,292.88
Control,I,3,1,59,347.16
Control,I,3,2,59,291.18
Control,I,3,3,59,450.63
Control,I,3,4,59,606.68
Control,I,3,5,59,587.45
Control,I,3,6,59,404.83
Control,I,3,7,59,264.61
Control,I,3,8,59,277.05
Control,I,4,1,59,485.12
Control,I,4,2,59,514.52
Control,I,4,3,59,322.28
Control,I,4,4,59,617.42
Control,I,4,5,59,336.42
Control,I,5,1,59,476.64
Control,I,5,2,59,378.82
Control,I,5,3,59,339.81
Control,I,5,4,59,345.46
Control,I,5,5,59,439.32
Control,I,5,6,59,487.38
Control,I,6,1,59,398.04
Control,I,6,2,59,408.79
Control,I,6,3,59,560.32
Control,I,6,4,59,270.26
Control,I,7,1,59,245.95
Control,I,7,2,59,266.87
Control,I,7,3,59,344.33
Control,I,7,4,59,608.37
Control,I,7,5,59,499.82
Control,I,7,6,59,539.40
Control,I,7,7,59,290.05
Control,I,7,8,59,323.41
Control,I,7,9,59,243.12
Control,I,7,10,59,384.47
Control,I,8,1,59,292.31
Control,I,8,2,59,285.53
Control,I,8,3,59,322.28
Control,I,8,4,59,222.77
Control,I,8,5,59,478.33
Control,I,8,6,59,276.48
Control,I,8,7,59,528.09
Control,I,8,8,59,478.90
Control,II,1,1,59,452.89
Control,II,2,1,59,301.36
Control,II,2,2,59,317.76
Control,II,3,1,59,400.31
Control,II,4,1,59,206.94
Control,II,5,1,59,378.82
Control,II,5,2,59,723.72
Control,II,5,3,59,398.61
Control,II,6,1,59,558.62
Control,II,6,2,59,477.20
Control,II,6,3,59,377.12
Control,II,7,1,59,461.94
Control,II,7,2,59,576.71
Control,II,7,3,59,557.49
Control,II,7,4,59,245.95
Control,II,8,1,59,543.35
Control,II,8,2,59,323.98
Control,II,8,3,59,413.88
Control,III,1,1,59,403.70
Control,III,1,2,59,415.01
Control,III,2,1,59,601.59
Control,III,2,2,59,433.10
Control,III,2,3,59,308.15
Control,III,2,4,59,350.55
Control,III,3,1,59,411.05
Control,III,3,2,59,310.97
Control,III,3,3,59,706.76
Control,III,3,4,59,217.68
Control,III,3,5,59,272.52
Control,III,4,1,59,563.14
Control,III,4,2,59,394.65
Control,III,4,3,59,456.85
Control,III,4,4,59,309.28
Control,III,4,5,59,421.23
Control,III,4,6,59,260.09
Control,III,5,1,59,424.62
Control,III,5,2,59,439.32
Control,III,5,3,59,309.84
Control,III,5,4,59,518.48
Control,III,6,1,59,296.84
Control,III,6,2,59,454.02
Control,III,6,3,59,382.21
Control,III,7,1,59,267.44
Control,III,7,2,59,326.24
Control,III,7,3,59,372.04
Control,III,7,4,59,257.26
Control,III,8,1,59,188.84
Control,III,8,2,59,188.84
Control,IV,1,1,59,728.24
Control,IV,1,2,59,554.66
Control,IV,1,3,59,334.72
Control,IV,1,4,59,326.24
Control,IV,2,1,59,460.24
Control,IV,2,2,59,467.02
Control,IV,2,3,59,447.23
Control,IV,2,4,59,757.64
Control,IV,6,1,59,477.77
Control,IV,6,2,59,581.24
Control,IV,6,3,59,361.29
Control,IV,6,4,59,477.77
Control,IV,7,1,59,561.45
Control,IV,8,1,59,611.20
Control,I,1,1,66,392.96
Control,I,2,1,66,331.33
Control,I,2,2,66,464.20
Control,I,3,1,66,545.05
Control,I,3,2,66,404.83
Control,I,4,1,66,343.20
Control,I,4,2,66,378.26
Control,I,4,3,66,269.70
Control,I,4,4,66,346.59
Control,I,5,1,66,307.58
Control,I,5,2,66,339.81
Control,I,5,3,66,347.72
Control,I,5,4,66,299.66
Control,I,5,5,66,387.30
Control,I,5,6,66,394.09
Control,I,5,7,66,454.02
Control,I,5,8,66,547.31
Control,I,6,1,66,387.30
Control,I,6,2,66,481.16
Control,I,6,3,66,442.71
Control,I,6,4,66,282.70
Control,I,6,5,66,413.88
Control,I,7,1,66,330.20
Control,I,8,1,66,508.86
Control,I,8,2,66,288.36
Control,I,8,3,66,403.13
Control,I,8,4,66,299.66
Control,II,1,1,66,447.80
Control,II,1,2,66,397.48
Control,II,2,1,66,477.77
Control,II,2,2,66,387.30
Control,II,2,3,66,382.21
Control,II,2,4,66,251.60
Control,II,3,1,66,334.72
Control,II,3,2,66,351.68
Control,II,4,1,66,233.51
Control,II,4,2,66,372.04
Control,II,5,1,66,560.88
Control,II,5,2,66,360.16
Control,II,6,1,66,399.74
Control,II,6,2,66,486.25
Control,II,7,1,66,315.50
Control,II,7,2,66,451.76
Control,II,7,3,66,460.80
Control,II,7,4,66,252.17
Control,II,7,5,66,500.38
Control,II,8,1,66,392.96
Control,III,1,1,66,509.99
Control,III,1,2,66,364.69
Control,III,1,3,66,429.14
Control,III,2,1,66,355.07
Control,III,2,2,66,302.49
Control,III,3,1,66,262.35
Control,III,3,2,66,312.10
Control,III,3,3,66,356.20
Control,III,3,4,66,373.73
Control,III,4,1,66,312.67
Control,III,4,2,66,592.54
Control,III,5,1,66,360.73
Control,III,5,2,66,407.66
Control,III,6,1,66,215.42
Control,III,6,2,66,245.95
Control,III,7,1,66,310.97
Control,III,7,2,66,485.12
Control,III,8,1,66,364.69
Control,IV,6,1,66,424.05
Control,IV,6,2,66,284.96
Control,IV,8,1,66,698.27
Control,I,1,1,73,684.14
Control,I,1,2,73,436.49
Control,I,1,3,73,660.96
Control,I,1,4,73,565.40
Control,I,1,5,73,332.46
Control,I,1,6,73,468.72
Control,I,2,1,73,549.57
Control,I,2,2,73,342.07
Control,I,3,1,73,418.96
Control,I,3,2,73,225.03
Control,I,3,3,73,431.97
Control,I,4,1,73,279.31
Control,I,4,2,73,291.75
Control,I,4,3,73,234.08
Control,I,5,1,73,395.78
Control,I,5,2,73,493.60
Control,I,6,1,73,472.11
Control,I,6,2,73,538.26
Control,I,6,3,73,502.64
Control,I,7,1,73,457.41
Control,I,7,2,73,333.02
Control,I,8,1,73,383.34
Control,II,1,1,73,425.18
Control,II,1,2,73,316.63
Control,II,1,3,73,309.84
Control,II,2,1,73,224.47
Control,II,2,2,73,421.79
Control,II,2,3,73,333.59
Control,II,2,4,73,443.84
Control,II,3,1,73,585.19
Control,II,3,2,73,479.46
Control,II,3,3,73,284.96
Control,II,3,4,73,244.82
Control,II,4,1,73,333.59
Control,II,4,2,73,453.45
Control,II,5,1,73,430.27
Control,II,6,1,73,593.67
Control,II,6,2,73,534.31
Control,II,6,3,73,298.53
Control,II,7,1,73,394.65
Control,II,7,2,73,294.58
Control,II,7,3,73,357.90
Control,II,8,1,73,513.95
Control,II,8,2,73,378.82
Control,II,8,3,73,405.96
Control,II,8,4,73,577.28
Control,III,1,1,73,486.25
Control,III,1,2,73,522.43
Control,III,1,3,73,499.25
Control,III,2,1,73,370.91
Control,III,2,2,73,338.11
Control,III,2,3,73,349.99
Control,III,2,4,73,478.90
Control,III,2,5,73,268.57
Control,III,2,6,73,305.88
Control,III,3,1,73,382.78
Control,III,3,2,73,350.55
Control,III,3,3,73,314.36
Control,III,4,1,73,417.83
Control,III,5,1,73,479.46
Control,III,5,2,73,304.75
Control,III,5,3,73,513.95
Control,III,5,4,73,425.75
Control,III,6,1,73,311.54
Control,III,6,2,73,433.66
Control,III,6,3,73,327.93
Control,III,7,1,73,551.83
Control,III,8,1,73,403.13
Control,III,8,2,73,387.87
Control,IV,1,1,73,554.66
Control,IV,1,2,73,431.97
Control,IV,1,3,73,363.55
Control,IV,1,4,73,337.55
Control,IV,1,5,73,316.63
Control,IV,1,6,73,357.34
Control,IV,1,7,73,346.59
Control,IV,1,8,73,565.40
Control,IV,3,1,73,389.56
Control,IV,6,1,73,273.66
Control,IV,7,1,73,594.81
Control,IV,7,2,73,467.59
Control,IV,8,1,73,364.69
Control,IV,8,2,73,411.61
Control,IV,8,3,73,251.04
