Domain Code,Domain,Area Code (M49),area,location,element,item,year,year_count,decade,Trend,Yield
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1992,32,2ND,2NDWorld,1.0313
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1993,33,2ND,2NDWorld,1.0211
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1994,34,2ND,2NDWorld,1.025
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1995,35,2ND,2NDWorld,1.0895
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1996,36,2ND,2NDWorld,1.122
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1997,37,2ND,2NDWorld,1.2764
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1998,38,2ND,2NDWorld,1.2964
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,1999,39,2ND,2NDWorld,1.2329
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2000,40,2ND,2NDWorld,0.724
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2001,41,3RD,3RDWorld,0.8977
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2002,42,3RD,3RDWorld,1.5419
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2003,43,3RD,3RDWorld,1.5
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2004,44,3RD,3RDWorld,1.2659
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2005,45,3RD,3RDWorld,1.8215
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2006,46,3RD,3RDWorld,1.376
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2007,47,3RD,3RDWorld,1.8183
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2008,48,3RD,3RDWorld,1.2263
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2009,49,3RD,3RDWorld,1.9666
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2010,50,3RD,3RDWorld,1.9252
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2011,51,3RD,3RDWorld,1.5179
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2012,52,3RD,3RDWorld,2.0104
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2013,53,3RD,3RDWorld,2.0248
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2014,54,3RD,3RDWorld,2.0237
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2015,55,3RD,3RDWorld,2.1959
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2016,56,3RD,3RDWorld,1.9803
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2017,57,3RD,3RDWorld,2.0342
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2018,58,3RD,3RDWorld,2.21
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2019,59,3RD,3RDWorld,2.0951
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2020,60,3RD,3RDWorld,1.9434
QCL,Crops and livestock products,4,Afghanistan,World,Yield,Wheat,2021,60,3RD,3RDWorld,2.1272
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1961,1,1ST,1STWorld,0.7731
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1962,2,1ST,1STWorld,1.0522
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1963,3,1ST,1STWorld,0.7127
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1964,4,1ST,1STWorld,0.9625
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1965,5,1ST,1STWorld,1.1344
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1966,6,1ST,1STWorld,1.2398
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1967,7,1ST,1STWorld,1.355
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1968,8,1ST,1STWorld,1.4124
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1969,9,1ST,1STWorld,1.6389
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1970,10,1ST,1STWorld,1.5377
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1971,11,1ST,1STWorld,1.8735
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1972,12,1ST,1STWorld,1.9
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1973,13,1ST,1STWorld,2.0097
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1974,14,1ST,1STWorld,2.0625
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1975,15,1ST,1STWorld,1.9375
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1976,16,1ST,1STWorld,2.5526
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1977,17,1ST,1STWorld,2.45
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1978,18,1ST,1STWorld,2.45
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1979,19,1ST,1STWorld,2.49
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1980,20,1ST,1STWorld,2.5198
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1981,21,2ND,2NDWorld,2.5321
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1982,22,2ND,2NDWorld,2.6886
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1983,23,2ND,2NDWorld,3.0879
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1984,24,2ND,2NDWorld,3.1579
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1985,25,2ND,2NDWorld,3.1406
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1986,26,2ND,2NDWorld,2.8945
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1987,27,2ND,2NDWorld,3.1031
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1988,28,2ND,2NDWorld,3.201
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1989,29,2ND,2NDWorld,2.9302
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1990,30,2ND,2NDWorld,3.0197
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1991,31,2ND,2NDWorld,2.0698
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1992,32,2ND,2NDWorld,2.4388
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1993,33,2ND,2NDWorld,2.9976
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1994,34,2ND,2NDWorld,2.4745
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1995,35,2ND,2NDWorld,2.8703
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1996,36,2ND,2NDWorld,2.1741
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1997,37,2ND,2NDWorld,2.8516
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1998,38,2ND,2NDWorld,2.8037
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,1999,39,2ND,2NDWorld,2.4954
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2000,40,2ND,2NDWorld,3.0455
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2001,41,3RD,3RDWorld,2.822
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2002,42,3RD,3RDWorld,3.1617
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2003,43,3RD,3RDWorld,2.8629
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2004,44,3RD,3RDWorld,3.113
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2005,45,3RD,3RDWorld,3.1582
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2006,46,3RD,3RDWorld,3.0787
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2007,47,3RD,3RDWorld,3.5496
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2008,48,3RD,3RDWorld,4.0168
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2009,49,3RD,3RDWorld,4.0229
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2010,50,3RD,3RDWorld,3.9905
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2011,51,3RD,3RDWorld,4.2301
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2012,52,3RD,3RDWorld,4.1096
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2013,53,3RD,3RDWorld,4.1292
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2014,54,3RD,3RDWorld,4.0001
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2015,55,3RD,3RDWorld,3.9511
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2016,56,3RD,3RDWorld,3.9
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2017,57,3RD,3RDWorld,4.0367
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2018,58,3RD,3RDWorld,3.6927
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2019,59,3RD,3RDWorld,4.068
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2020,60,3RD,3RDWorld,4.3271
QCL,Crops and livestock products,8,Albania,World,Yield,Wheat,2021,60,3RD,3RDWorld,4.1305
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1961,1,1ST,1STWorld,0.406
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1962,2,1ST,1STWorld,0.8045
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1963,3,1ST,1STWorld,0.8326
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1964,4,1ST,1STWorld,0.5317
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1965,5,1ST,1STWorld,0.6057
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1966,6,1ST,1STWorld,0.4252
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1967,7,1ST,1STWorld,0.6333
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1968,8,1ST,1STWorld,0.6899
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1969,9,1ST,1STWorld,0.6034
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1970,10,1ST,1STWorld,0.6245
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1971,11,1ST,1STWorld,0.6133
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1972,12,1ST,1STWorld,0.6701
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1973,13,1ST,1STWorld,0.4934
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1974,14,1ST,1STWorld,0.4957
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1975,15,1ST,1STWorld,0.8313
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1976,16,1ST,1STWorld,0.7101
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1977,17,1ST,1STWorld,0.4337
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1978,18,1ST,1STWorld,0.5809
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1979,19,1ST,1STWorld,0.5553
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1980,20,1ST,1STWorld,0.7297
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1981,21,2ND,2NDWorld,0.672
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1982,22,2ND,2NDWorld,0.5965
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1983,23,2ND,2NDWorld,0.5635
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1984,24,2ND,2NDWorld,0.573
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1985,25,2ND,2NDWorld,0.8861
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1986,26,2ND,2NDWorld,0.8084
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1987,27,2ND,2NDWorld,0.7777
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1988,28,2ND,2NDWorld,0.6006
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1989,29,2ND,2NDWorld,0.7821
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1990,30,2ND,2NDWorld,0.6315
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1991,31,2ND,2NDWorld,1.0809
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1992,32,2ND,2NDWorld,0.9939
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1993,33,2ND,2NDWorld,0.8097
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1994,34,2ND,2NDWorld,0.7999
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1995,35,2ND,2NDWorld,0.8924
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1996,36,2ND,2NDWorld,1.309
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1997,37,2ND,2NDWorld,0.8016
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1998,38,2ND,2NDWorld,0.8847
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,1999,39,2ND,2NDWorld,1.0711
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2000,40,2ND,2NDWorld,0.9194
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2001,41,3RD,3RDWorld,1.1104
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2002,42,3RD,3RDWorld,1.0739
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2003,43,3RD,3RDWorld,1.448
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2004,44,3RD,3RDWorld,1.3582
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2005,45,3RD,3RDWorld,1.5057
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2006,46,3RD,3RDWorld,1.5068
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2007,47,3RD,3RDWorld,1.2742
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2008,48,3RD,3RDWorld,1.1038
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2009,49,3RD,3RDWorld,1.5975
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2010,50,3RD,3RDWorld,1.4838
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2011,51,3RD,3RDWorld,1.7405
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2012,52,3RD,3RDWorld,1.7639
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2013,53,3RD,3RDWorld,1.91
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2014,54,3RD,3RDWorld,1.4753
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2015,55,3RD,3RDWorld,1.464
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2016,56,3RD,3RDWorld,1.1833
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2017,57,3RD,3RDWorld,1.1501
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2018,58,3RD,3RDWorld,2.0433
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2019,59,3RD,3RDWorld,1.963
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2020,60,3RD,3RDWorld,1.6811
QCL,Crops and livestock products,12,Algeria,World,Yield,Wheat,2021,60,3RD,3RDWorld,1.5843
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1961,1,1ST,1STWorld,1.1111
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1962,2,1ST,1STWorld,1.1111
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1963,3,1ST,1STWorld,1.1111
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1964,4,1ST,1STWorld,0.9286
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1965,5,1ST,1STWorld,1.1111
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1966,6,1ST,1STWorld,1.1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1967,7,1ST,1STWorld,1.35
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1968,8,1ST,1STWorld,1.35
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1969,9,1ST,1STWorld,0.943
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1970,10,1ST,1STWorld,0.8546
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1971,11,1ST,1STWorld,0.913
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1972,12,1ST,1STWorld,1.1592
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1973,13,1ST,1STWorld,0.8867
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1974,14,1ST,1STWorld,1.3065
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1975,15,1ST,1STWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1976,16,1ST,1STWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1977,17,1ST,1STWorld,0.7692
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1978,18,1ST,1STWorld,0.5882
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1979,19,1ST,1STWorld,0.5333
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1980,20,1ST,1STWorld,0.5833
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1981,21,2ND,2NDWorld,0.6316
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1982,22,2ND,2NDWorld,0.625
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1983,23,2ND,2NDWorld,0.625
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1984,24,2ND,2NDWorld,0.625
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1985,25,2ND,2NDWorld,0.625
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1986,26,2ND,2NDWorld,0.8
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1987,27,2ND,2NDWorld,0.8
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1988,28,2ND,2NDWorld,0.8
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1989,29,2ND,2NDWorld,0.8
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1990,30,2ND,2NDWorld,0.7995
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1991,31,2ND,2NDWorld,0.8
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1992,32,2ND,2NDWorld,0.8
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1993,33,2ND,2NDWorld,0.8862
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1994,34,2ND,2NDWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1995,35,2ND,2NDWorld,1.1865
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1996,36,2ND,2NDWorld,1.3758
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1997,37,2ND,2NDWorld,1.5529
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1998,38,2ND,2NDWorld,1.7143
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,1999,39,2ND,2NDWorld,1.7391
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2000,40,2ND,2NDWorld,1.7025
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2001,41,3RD,3RDWorld,1.6667
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2002,42,3RD,3RDWorld,1.5485
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2003,43,3RD,3RDWorld,1.3879
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2004,44,3RD,3RDWorld,1.2412
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2005,45,3RD,3RDWorld,1.086
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2006,46,3RD,3RDWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2007,47,3RD,3RDWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2008,48,3RD,3RDWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2009,49,3RD,3RDWorld,1
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2010,50,3RD,3RDWorld,1.0526
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2011,51,3RD,3RDWorld,1.0959
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2012,52,3RD,3RDWorld,1.1294
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2013,53,3RD,3RDWorld,0.9399
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2014,54,3RD,3RDWorld,0.7798
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2015,55,3RD,3RDWorld,1.0059
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2016,56,3RD,3RDWorld,0.8829
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2017,57,3RD,3RDWorld,0.858
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2018,58,3RD,3RDWorld,0.9117
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2019,59,3RD,3RDWorld,0.8838
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2020,60,3RD,3RDWorld,0.8841
QCL,Crops and livestock products,24,Angola,World,Yield,Wheat,2021,60,3RD,3RDWorld,0.893
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1961,1,1ST,1STWorld,1.295
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1962,2,1ST,1STWorld,1.5222
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1963,3,1ST,1STWorld,1.5751
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1964,4,1ST,1STWorld,1.8353
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1965,5,1ST,1STWorld,1.3212
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1966,6,1ST,1STWorld,1.1982
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1967,7,1ST,1STWorld,1.2595
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1968,8,1ST,1STWorld,0.9833
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1969,9,1ST,1STWorld,1.3523
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1970,10,1ST,1STWorld,1.3294
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1971,11,1ST,1STWorld,1.2667
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1972,12,1ST,1STWorld,1.5911
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1973,13,1ST,1STWorld,1.6574
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1974,14,1ST,1STWorld,1.4103
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1975,15,1ST,1STWorld,1.626
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1976,16,1ST,1STWorld,1.7045
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1977,17,1ST,1STWorld,1.3612
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1978,18,1ST,1STWorld,1.7396
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1979,19,1ST,1STWorld,1.6934
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1980,20,1ST,1STWorld,1.5596
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1981,21,2ND,2NDWorld,1.4014
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1982,22,2ND,2NDWorld,2.0501
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1983,23,2ND,2NDWorld,1.8405
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1984,24,2ND,2NDWorld,2.3068
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1985,25,2ND,2NDWorld,1.6177
QCL,Crops and livestock products,32,Argentina,World,Yield,Wheat,1986,26,2ND,2NDWorld,1.7819
