Treatment ,Block,Root_DW_g,Leaf_DW_g,Stem_DW_g,Total_DW_g,Partitioning_DW_Root,Partitioning_DW_Leaf,Partitioning_DW_Stem
N0,IV,7.30,17.90,14.90,40.10,18.2%,44.6%,37.2%
N0,IV,12.00,24.50,17.40,53.90,22.3%,45.5%,32.3%
N0,IV,19.30,27.70,21.60,68.60,28.1%,40.4%,31.5%
N0,IV,8.70,16.70,13.50,38.90,22.4%,42.9%,34.7%
N0,IV,9.40,14.80,17.80,42.00,22.4%,35.2%,42.4%
N0,IV,30.60,57.60,45.65,133.85,22.9%,43.0%,34.1%
N0,IV,15.20,19.80,20.11,55.11,27.6%,35.9%,36.5%
N0,IV,13.90,22.90,20.40,57.20,24.3%,40.0%,35.7%
N0,IV,14.30,28.90,28.40,71.60,20.0%,40.4%,39.7%
N1,I,36.80,52.57,38.25,127.62,28.8%,41.2%,30.0%
N1,I,19.00,22.50,21.30,62.80,30.3%,35.8%,33.9%
N1,I,10.90,15.60,13.40,39.90,27.3%,39.1%,33.6%
N1,I,20.80,24.70,27.50,73.00,28.5%,33.8%,37.7%
N1,I,25.00,26.40,27.50,78.90,31.7%,33.5%,34.9%
N1,I,12.20,17.20,17.90,47.30,25.8%,36.4%,37.8%
N1,I,20.30,28.10,20.00,68.40,29.7%,41.1%,29.2%
N1,I,22.10,32.10,26.10,80.30,27.5%,40.0%,32.5%
N1,I,25.00,30.40,23.70,79.10,31.6%,38.4%,30.0%
N1,II,10.70,17.30,12.30,40.30,26.6%,42.9%,30.5%
N1,II,20.20,27.00,21.30,68.50,29.5%,39.4%,31.1%
N1,II,26.60,21.60,19.00,67.20,39.6%,32.1%,28.3%
N1,II,11.80,13.50,12.10,37.40,31.6%,36.1%,32.4%
N1,II,11.50,17.30,14.10,42.90,26.8%,40.3%,32.9%
N1,II,21.10,30.80,24.90,76.80,27.5%,40.1%,32.4%
N1,II,13.40,19.10,14.50,47.00,28.5%,40.6%,30.9%
N1,II,16.50,28.30,22.10,66.90,24.7%,42.3%,33.0%
N1,II,9.50,19.90,16.00,45.40,20.9%,43.8%,35.2%
N1,II,16.80,23.80,20.90,61.50,27.3%,38.7%,34.0%
N1,III,21.80,27.50,24.20,73.50,29.7%,37.4%,32.9%
N1,III,20.10,27.60,23.20,70.90,28.3%,38.9%,32.7%
N1,III,25.00,23.20,19.00,67.20,37.2%,34.5%,28.3%
N1,III,21.40,26.20,19.70,67.30,31.8%,38.9%,29.3%
N1,III,15.71,25.60,25.20,66.51,23.6%,38.5%,37.9%
N1,III,14.70,20.80,20.70,56.20,26.2%,37.0%,36.8%
N1,III,11.40,18.30,15.30,45.00,25.3%,40.7%,34.0%
N1,III,15.60,22.70,19.10,57.40,27.2%,39.5%,33.3%
N1,III,18.30,23.90,20.70,62.90,29.1%,38.0%,32.9%
N1,III,9.30,16.50,14.30,40.10,23.2%,41.1%,35.7%
N1,IV,24.94,26.40,23.55,74.89,33.3%,35.3%,31.4%
N1,IV,12.58,22.80,19.00,54.38,23.1%,41.9%,34.9%
N1,IV,27.10,52.70,36.60,116.40,23.3%,45.3%,31.4%
N1,IV,18.60,26.20,24.00,68.80,27.0%,38.1%,34.9%
N1,IV,15.00,18.30,23.10,56.40,26.6%,32.4%,41.0%
N1,IV,29.30,63.00,44.90,137.20,21.4%,45.9%,32.7%
N1,IV,27.20,50.50,41.60,119.30,22.8%,42.3%,34.9%
N1,IV,19.50,24.30,22.70,66.50,29.3%,36.5%,34.1%
N1,IV,15.17,26.09,20.30,61.56,24.6%,42.4%,33.0%
N1,IV,9.60,12.00,12.70,34.30,28.0%,35.0%,37.0%
