Genotype,Replicate,baseline,plasticity,baseline_se,plasticity_se
CV1,51,3.83,0.00,1.13,0.01
CV1,52,3.70,0.00,1.59,0.01
CV1,53,3.60,0.00,1.25,0.01
CV1,54,3.34,0.00,1.04,0.01
CV1,55,3.37,0.00,1.19,0.01
CV1,56,3.33,0.00,0.93,0.01
CV1,57,3.63,0.00,1.12,0.01
CV1,58,3.46,0.00,1.05,0.01
CV1,59,3.60,0.00,1.24,0.01
CV1,60,3.50,0.00,1.05,0.01
CV1,61,3.47,0.00,1.14,0.01
CV1,62,3.55,0.00,1.08,0.01
CV1,63,3.97,0.00,1.34,0.01
CV1,64,3.67,0.00,1.08,0.01
CV1,65,3.80,0.00,1.42,0.01
CV1,66,3.39,0.00,1.34,0.01
CV1,67,3.41,0.00,1.24,0.01
CV1,68,3.68,0.00,1.20,0.01
CV1,69,3.56,0.00,1.19,0.01
CV1,70,3.48,0.00,0.88,0.01
CV1,71,3.48,0.00,1.11,0.01
CV1,72,3.81,0.00,1.23,0.01
CV1,73,3.85,0.00,1.11,0.01
CV1,74,3.36,0.00,0.94,0.01
CV1,75,3.52,0.00,1.15,0.01
CV1,76,3.89,0.00,1.32,0.01
CV1,77,3.76,0.00,1.34,0.01
CV1,78,3.58,0.00,1.09,0.01
CV1,79,3.55,0.00,1.24,0.01
CV1,80,3.55,0.00,1.10,0.01
CV1,81,3.30,0.00,0.88,0.01
CV1,82,3.46,0.00,1.05,0.01
CV1,83,3.62,0.00,1.34,0.01
CV1,84,3.45,0.00,1.13,0.01
CV1,85,3.57,0.00,1.16,0.01
CV1,86,3.60,0.00,1.08,0.01
CV1,87,3.82,0.00,1.41,0.01
CV1,88,3.61,0.00,1.40,0.01
CV1,89,3.79,0.00,1.44,0.01
CV1,90,3.54,0.00,1.14,0.01
CV1,91,3.60,0.00,1.21,0.01
CV1,92,3.38,0.00,0.96,0.01
CV1,93,3.48,0.00,1.36,0.01
CV1,94,3.54,0.00,0.99,0.01
CV1,95,3.57,0.00,1.10,0.01
CV1,96,3.44,0.00,0.96,0.01
CV1,97,3.75,0.00,1.05,0.01
CV1,98,3.75,0.00,1.01,0.01
CV1,99,3.54,0.00,1.05,0.01
CV1,100,3.47,0.00,1.08,0.01
CV1,101,3.51,0.00,1.14,0.01
CV1,102,3.60,0.00,1.19,0.01
CV1,103,3.29,0.00,0.97,0.01
CV1,104,3.79,0.00,1.14,0.01
CV1,105,3.86,0.00,1.25,0.01
CV1,106,3.31,0.01,1.05,0.01
CV1,107,3.49,0.00,1.05,0.01
CV1,108,3.54,0.00,1.06,0.01
CV1,109,3.61,0.00,1.33,0.01
CV1,110,3.69,0.00,1.15,0.01
CV1,111,3.56,0.00,1.07,0.01
CV1,112,3.52,0.00,1.26,0.01
CV1,113,3.76,0.00,0.94,0.01
CV1,114,3.75,0.00,1.28,0.01
CV1,115,3.63,0.00,1.19,0.01
CV1,116,3.43,0.00,1.18,0.01
CV1,117,3.61,0.00,0.97,0.01
CV1,118,3.63,0.00,0.94,0.01
CV1,119,3.59,0.00,1.22,0.01
CV1,120,3.89,0.00,1.29,0.01
CV1,121,3.28,0.01,1.06,0.01
CV1,122,3.43,0.00,1.19,0.01
CV1,123,3.26,0.00,0.90,0.01
CV1,124,3.48,0.00,1.08,0.01
CV1,125,3.69,0.00,1.13,0.01
CV1,126,3.86,0.00,0.93,0.01
CV1,127,3.44,0.00,1.03,0.01
CV1,128,3.50,0.00,1.02,0.01
CV1,129,3.48,0.00,1.26,0.01
CV1,130,3.59,0.00,1.09,0.01
CV1,131,3.74,0.00,0.71,0.01
CV1,132,3.42,0.00,0.78,0.01
CV1,133,3.40,0.00,1.13,0.01
CV1,134,3.66,0.00,1.21,0.01
CV1,135,3.42,0.00,0.70,0.01
CV1,136,3.79,0.00,1.02,0.01
CV1,137,3.56,0.00,1.12,0.01
CV1,138,3.60,0.00,1.31,0.01
CV1,139,3.56,0.00,1.06,0.01
CV1,140,3.70,0.00,1.14,0.01
CV1,141,3.75,0.00,1.13,0.01
CV1,142,3.51,0.00,0.82,0.01
CV1,143,3.74,0.00,1.26,0.01
CV1,144,3.71,0.00,1.19,0.01
CV1,145,3.81,0.00,1.21,0.01
CV1,146,3.91,0.00,1.70,0.01
CV1,147,3.44,0.00,0.85,0.01
CV1,148,3.88,0.00,1.36,0.01
CV1,149,3.71,0.00,1.03,0.01
CV1,150,3.45,0.00,1.18,0.01
CV1,151,3.67,0.00,1.12,0.01
CV1,152,3.50,0.00,1.11,0.01
CV1,153,3.67,0.00,1.03,0.01
CV1,154,3.79,0.00,1.18,0.01
CV1,155,3.44,0.00,0.87,0.01
CV1,156,3.62,0.00,1.22,0.01
CV1,157,3.27,0.00,1.13,0.01
CV1,158,3.53,0.00,1.02,0.01
CV1,159,3.51,0.00,1.07,0.01
CV1,160,3.96,-0.00,1.31,0.01
CV1,161,3.65,0.00,1.07,0.01
CV1,162,3.74,0.00,1.11,0.01
CV1,163,3.56,0.00,0.97,0.01
CV1,164,3.85,0.00,1.22,0.01
CV1,165,3.51,0.00,1.33,0.01
CV1,166,3.69,0.00,1.41,0.01
CV1,167,3.52,0.00,1.09,0.01
CV1,168,3.60,0.00,1.24,0.01
CV1,169,3.45,0.00,1.11,0.01
CV1,170,3.60,0.00,1.31,0.01
CV1,171,3.42,0.00,1.00,0.01
CV1,172,3.54,0.00,1.24,0.01
CV1,173,3.46,0.00,1.12,0.01
CV1,174,3.44,0.00,1.15,0.01
CV1,175,3.86,0.00,1.08,0.01
CV1,176,3.35,0.00,1.23,0.01
CV1,177,3.31,0.00,1.18,0.01
CV1,178,3.60,0.00,1.14,0.01
CV1,179,4.01,-0.00,1.37,0.01
CV1,180,3.80,0.00,1.25,0.01
CV1,181,3.42,0.00,1.26,0.01
CV1,182,3.89,-0.00,1.05,0.01
CV1,183,3.22,0.01,0.99,0.01
CV1,184,3.32,0.01,1.28,0.01
CV1,185,3.91,0.00,1.22,0.01
CV1,186,3.47,0.00,1.37,0.01
CV1,187,3.42,0.00,1.04,0.01
CV1,188,3.62,0.00,1.08,0.01
CV1,189,3.52,0.00,0.85,0.01
CV1,190,3.53,0.00,1.13,0.01
CV1,191,3.49,0.00,1.28,0.01
CV1,192,3.61,0.00,1.04,0.01
CV1,193,3.71,0.00,1.22,0.01
CV1,194,3.54,0.00,1.18,0.01
CV1,195,3.79,0.00,1.11,0.01
CV1,196,3.28,0.00,0.95,0.01
CV1,197,3.45,0.00,1.18,0.01
CV1,198,3.31,0.00,0.73,0.01
CV1,199,3.65,0.00,1.10,0.01
CV1,200,3.45,0.00,0.90,0.01
CV1,201,3.47,0.00,1.34,0.01
CV1,202,3.72,0.00,1.22,0.01
CV1,203,3.34,0.01,1.19,0.01
CV1,204,3.76,0.00,1.32,0.01
CV1,205,3.42,0.00,1.01,0.01
CV1,206,3.99,-0.00,1.38,0.01
CV1,207,3.52,0.00,1.32,0.01
CV1,208,3.81,0.00,1.03,0.01
CV1,209,3.81,0.00,1.25,0.01
CV1,210,3.54,0.00,0.94,0.01
CV1,211,3.59,0.00,1.02,0.01
CV1,212,3.75,0.00,1.01,0.01
CV1,213,3.59,0.00,1.04,0.01
CV1,214,3.61,0.00,0.92,0.01
CV1,215,3.72,0.00,1.33,0.01
CV1,216,3.74,0.00,1.06,0.01
CV1,217,3.53,0.00,1.22,0.01
CV1,218,3.68,0.00,1.06,0.01
CV1,219,3.42,0.00,0.85,0.01
CV1,220,3.44,0.00,1.13,0.01
CV1,221,3.43,0.00,0.82,0.01
CV1,222,3.25,0.00,1.23,0.01
CV1,223,3.66,0.00,0.91,0.01
CV1,224,3.74,0.00,1.49,0.01
CV1,225,3.63,0.00,1.30,0.01
CV1,226,3.37,0.00,1.22,0.01
CV1,227,3.64,0.00,1.27,0.01
CV1,228,3.28,0.00,1.03,0.01
CV1,229,3.34,0.00,1.24,0.01
CV1,230,3.79,-0.00,1.20,0.01
CV1,231,3.65,0.00,1.18,0.01
CV1,232,3.57,0.00,1.30,0.01
CV1,233,3.45,0.01,1.23,0.01
CV1,234,3.66,0.00,1.19,0.01
CV1,235,3.50,0.00,0.85,0.01
CV1,236,3.33,0.00,1.04,0.01
CV1,237,3.80,0.00,1.06,0.01
CV1,238,3.72,0.00,1.13,0.01
CV1,239,3.40,0.00,0.95,0.01
CV1,240,3.69,0.00,1.46,0.01
CV1,241,3.85,-0.00,1.41,0.01
CV1,242,3.40,0.00,1.25,0.01
CV1,243,3.64,0.00,1.18,0.01
CV1,244,3.50,0.00,1.08,0.01
CV1,245,3.43,0.00,1.07,0.01
CV1,246,3.62,0.00,1.13,0.01
CV1,247,3.77,0.00,1.18,0.01
CV1,248,3.36,0.00,0.92,0.01
CV1,249,3.48,0.00,1.15,0.01
CV1,250,3.60,0.00,1.13,0.01
CV1,251,3.55,0.00,0.87,0.01
CV1,252,3.62,0.00,1.00,0.01
CV1,253,3.55,0.00,1.13,0.01
CV1,254,3.62,0.00,1.43,0.01
CV1,255,3.51,0.00,1.27,0.01
CV1,256,3.58,0.00,0.93,0.01
CV1,257,3.67,0.00,1.25,0.01
CV1,258,3.44,0.00,0.91,0.01
CV1,259,3.86,0.00,1.29,0.01
CV1,260,3.55,0.00,1.05,0.01
CV1,261,3.52,0.00,1.11,0.01
CV1,262,3.60,0.00,1.37,0.01
CV1,263,3.66,0.00,0.95,0.01
CV1,264,3.31,0.00,0.96,0.01
CV1,265,3.79,0.00,0.99,0.01
CV1,266,3.67,0.00,1.31,0.01
CV1,267,3.44,0.00,0.98,0.01
CV1,268,3.05,0.01,0.72,0.01
CV1,269,3.54,0.00,1.07,0.01
CV1,270,3.54,0.00,1.23,0.01
CV1,271,3.72,0.00,1.27,0.01
CV1,272,3.52,0.00,1.12,0.01
CV1,273,3.65,0.00,1.10,0.01
CV1,274,3.87,0.00,1.32,0.01
CV1,275,3.30,0.00,0.92,0.01
CV1,276,3.65,0.00,1.09,0.01
CV1,277,3.77,0.00,1.17,0.01
CV1,278,3.73,0.00,1.19,0.01
CV1,279,3.57,0.00,0.98,0.01
CV1,280,3.41,0.00,1.16,0.01
CV1,281,3.46,0.00,0.77,0.01
CV1,282,3.19,0.00,1.10,0.01
CV1,283,3.66,0.00,1.20,0.01
CV1,284,3.59,0.00,1.03,0.01
CV1,285,3.57,0.00,1.14,0.01
CV1,286,3.91,0.00,1.05,0.01
CV1,287,3.33,0.01,1.05,0.01
CV1,288,3.39,0.00,1.21,0.01
CV1,289,3.45,0.00,0.96,0.01
CV1,290,3.52,0.00,1.14,0.01
CV1,291,3.74,0.00,1.19,0.01
CV1,292,3.56,0.00,1.20,0.01
CV1,293,3.62,0.00,1.07,0.01
CV1,294,3.62,0.00,1.17,0.01
CV1,295,3.50,0.00,1.22,0.01
CV1,296,3.57,0.00,0.78,0.01
CV1,297,3.81,0.00,1.33,0.01
CV1,298,3.35,0.00,1.08,0.01
CV1,299,3.71,0.00,1.17,0.01
CV1,300,3.85,0.00,1.28,0.01
CV1,301,3.42,0.00,0.93,0.01
CV1,302,3.48,0.00,1.03,0.01
CV1,303,3.54,0.00,1.08,0.01
CV1,304,3.52,0.00,1.02,0.01
CV1,305,3.57,0.00,1.47,0.01
CV1,306,3.40,0.00,1.05,0.01
CV1,307,3.45,0.00,1.02,0.01
CV1,308,3.79,0.00,1.11,0.01
CV1,309,3.57,0.00,0.92,0.01
CV1,310,3.52,0.00,1.09,0.01
CV1,311,3.76,0.00,1.14,0.01
CV1,312,3.15,0.01,1.12,0.01
CV1,313,3.74,0.00,1.11,0.01
CV1,314,3.36,0.00,1.12,0.01
CV1,315,3.40,0.00,0.92,0.01
CV1,316,3.42,0.00,1.23,0.01
CV1,317,3.34,0.00,1.47,0.01
CV1,318,3.63,0.00,1.08,0.01
CV1,319,3.64,0.00,1.18,0.01
CV1,320,3.72,0.00,1.18,0.01
CV1,321,3.59,0.00,0.95,0.01
CV1,322,3.86,0.00,1.37,0.01
CV1,323,3.57,0.00,1.18,0.01
CV1,324,3.61,0.00,1.44,0.01
CV1,325,3.57,0.00,1.02,0.01
CV1,326,3.61,0.00,1.41,0.01
CV1,327,3.49,0.00,1.28,0.01
CV1,328,3.61,0.00,1.24,0.01
CV1,329,3.74,0.00,1.15,0.01
CV1,330,3.55,0.00,1.07,0.01
CV1,331,3.66,0.00,1.33,0.01
CV1,332,3.58,0.00,1.16,0.01
CV1,333,3.27,0.00,0.86,0.01
CV1,334,3.60,0.00,1.06,0.01
CV1,335,3.51,0.00,1.06,0.01
CV1,336,3.45,0.00,1.17,0.01
CV1,337,3.65,0.00,1.10,0.01
CV1,338,3.66,0.00,1.30,0.01
CV1,339,3.35,0.00,0.83,0.01
CV1,340,3.70,0.00,1.16,0.01
CV1,341,3.52,0.00,0.91,0.01
CV1,342,3.67,0.00,1.23,0.01
CV1,343,3.75,0.00,1.12,0.01
CV1,344,3.44,0.00,1.18,0.01
CV1,345,3.68,0.00,0.95,0.01
CV1,346,3.66,0.00,1.36,0.01
CV1,347,3.67,0.00,1.24,0.01
CV1,348,3.33,0.00,1.32,0.01
CV1,349,3.57,0.00,1.15,0.01
CV1,350,3.72,0.00,1.19,0.01
CV1,351,3.62,0.00,1.03,0.01
CV1,352,3.19,0.01,1.35,0.01
CV1,353,3.86,0.00,1.33,0.01
CV1,354,3.71,0.00,1.25,0.01
CV1,355,3.53,0.00,1.03,0.01
CV1,356,3.59,0.00,1.18,0.01
CV1,357,3.51,0.00,0.97,0.01
CV1,358,3.53,0.00,1.20,0.01
CV1,359,3.54,0.00,1.25,0.01
CV1,360,3.70,0.00,0.80,0.01
CV1,361,3.43,0.00,0.97,0.01
CV1,362,3.45,0.00,1.07,0.01
CV1,363,3.65,0.00,1.05,0.01
CV1,364,3.51,0.00,1.02,0.01
CV1,365,3.68,0.00,1.15,0.01
CV1,366,3.56,0.00,1.17,0.01
CV1,367,3.75,0.00,1.05,0.01
CV1,368,3.45,0.00,1.10,0.01
CV1,369,3.53,0.00,1.39,0.01
CV1,370,3.77,0.00,1.37,0.01
CV1,371,3.91,-0.00,1.04,0.01
CV1,372,3.74,0.00,1.01,0.01
CV1,373,3.69,0.00,1.18,0.01
CV1,374,3.38,0.00,1.11,0.01
CV1,375,3.73,0.00,1.06,0.01
CV1,376,3.55,0.00,1.30,0.01
CV1,377,3.38,0.00,0.89,0.01
CV1,378,3.66,0.00,1.29,0.01
CV1,379,3.62,0.00,1.14,0.01
CV1,380,3.63,0.00,1.02,0.01
CV1,381,3.61,0.00,1.10,0.01
CV1,382,3.58,0.00,1.10,0.01
CV1,383,3.66,0.00,0.80,0.01
CV1,384,3.76,0.00,1.30,0.01
CV1,385,3.57,0.00,1.19,0.01
CV1,386,3.67,0.00,1.20,0.01
CV1,387,3.17,0.00,0.08,0.00
CV1,388,2.90,0.00,0.19,0.00
CV1,389,3.02,0.00,0.16,0.00
CV1,390,2.98,0.00,0.14,0.00
CV1,391,3.03,0.00,0.11,0.00
CV1,392,3.07,0.00,0.27,0.00
CV1,393,2.95,0.00,0.05,0.00
CV1,394,3.03,0.00,0.07,0.00
CV1,395,2.95,0.00,0.16,0.00
CV1,396,3.13,0.00,0.25,0.00
CV1,397,2.71,0.00,0.09,0.00
CV1,398,2.74,0.00,0.03,0.00
CV1,399,3.15,0.00,0.14,0.00
CV1,400,2.72,0.00,0.09,0.00
CV1,401,2.81,0.01,0.12,0.00
CV1,402,2.90,0.00,0.27,0.00
CV1,403,2.79,0.00,0.23,0.00
CV1,404,2.87,0.00,0.10,0.00
CV1,405,3.09,0.00,0.22,0.00
CV1,406,3.00,0.00,0.17,0.00
CV1,407,2.83,0.00,0.10,0.00
CV1,408,3.13,0.00,0.28,0.00
CV1,409,3.28,0.00,0.11,0.00
CV1,410,3.07,0.00,0.10,0.00
CV1,411,2.58,0.01,0.06,0.00
CV1,412,3.39,-0.00,0.14,0.00
CV1,413,2.86,0.00,0.11,0.00
CV1,414,2.86,0.00,0.22,0.00
CV1,415,3.17,0.00,0.19,0.00
CV1,416,3.10,0.00,0.30,0.00
CV1,417,3.11,0.00,0.13,0.00
CV1,418,2.98,0.00,0.12,0.00
CV1,419,3.08,0.00,0.12,0.00
CV1,420,3.17,0.00,0.02,0.00
CV1,421,3.12,0.00,0.17,0.00
CV1,422,3.10,0.00,0.09,0.00
CV1,423,2.95,0.00,0.09,0.00
CV1,424,3.08,0.00,0.11,0.00
CV1,425,2.78,0.00,0.07,0.00
CV1,426,3.03,0.00,0.21,0.00
CV1,427,2.66,0.00,0.10,0.00
CV1,428,3.06,0.00,0.12,0.00
CV1,429,3.09,0.00,0.23,0.00
CV1,430,2.89,0.00,0.09,0.00
CV1,431,3.04,0.00,0.08,0.00
CV1,432,3.18,0.00,0.10,0.00
CV1,433,3.06,0.00,0.11,0.00
CV1,434,2.90,0.00,0.19,0.00
CV1,435,2.63,0.00,0.13,0.00
CV1,436,3.37,-0.00,0.16,0.00
CV1,437,2.73,0.00,0.24,0.00
CV1,438,2.98,0.00,0.11,0.00
CV1,439,3.10,0.00,0.11,0.00
CV1,440,2.94,0.00,0.17,0.00
CV1,441,2.90,0.00,0.13,0.00
CV1,442,2.91,0.00,0.13,0.00
CV1,443,3.16,0.00,0.21,0.00
CV1,444,2.93,0.00,0.16,0.00
CV1,445,2.83,0.00,0.15,0.00
CV1,446,2.94,0.00,0.14,0.00
CV1,447,3.02,0.00,0.02,0.00
CV1,448,3.01,0.00,0.16,0.00
CV1,449,2.99,0.00,0.18,0.00
CV1,450,3.18,0.00,0.07,0.00
CV1,451,3.19,0.00,0.13,0.00
CV1,452,2.97,0.00,0.10,0.00
CV1,453,3.07,0.00,0.10,0.00
CV1,454,2.99,0.00,0.20,0.00
CV1,455,2.79,0.00,0.18,0.00
CV1,456,2.98,0.00,0.12,0.00
CV1,457,2.96,0.00,0.17,0.00
CV1,458,3.01,0.00,0.24,0.00
CV1,459,2.88,0.00,0.16,0.00
CV1,460,3.22,0.00,0.13,0.00
CV1,461,2.79,0.00,0.15,0.00
CV1,462,2.96,0.00,0.12,0.00
CV1,463,3.06,0.00,0.16,0.00
CV1,464,3.11,0.00,0.23,0.00
CV1,465,2.94,0.00,0.07,0.00
CV1,466,3.22,0.00,0.11,0.00
CV1,467,2.81,0.00,0.20,0.00
CV1,468,3.03,0.00,0.03,0.00
CV1,469,3.05,0.00,0.22,0.00
CV1,470,3.32,-0.00,0.16,0.00
CV1,471,2.71,0.00,0.25,0.00
CV1,472,3.02,0.00,0.10,0.00
CV1,473,3.20,0.00,0.09,0.00
CV1,474,3.10,0.00,0.14,0.00
CV1,475,2.82,0.00,0.25,0.00
CV1,476,3.09,0.00,0.17,0.00
CV1,477,3.10,0.00,0.21,0.00
CV1,478,2.97,0.00,0.11,0.00
CV1,479,2.97,0.00,0.20,0.00
CV1,480,3.31,0.00,0.13,0.00
CV1,481,2.79,0.00,0.20,0.00
CV1,482,2.80,0.00,0.23,0.00
CV1,483,2.83,0.00,0.12,0.00
CV1,484,3.47,0.00,0.11,0.00
CV1,485,2.74,0.00,0.12,0.00
CV1,486,3.18,0.00,0.23,0.00
CV1,487,3.30,0.00,0.18,0.00
CV1,488,2.76,0.00,0.12,0.00
CV1,489,3.03,0.00,0.12,0.00
CV1,490,3.26,0.00,0.09,0.00
CV1,491,2.97,0.00,0.14,0.00
CV1,492,3.17,0.00,0.25,0.00
CV1,493,2.99,0.00,0.25,0.00
CV1,494,2.77,0.00,0.14,0.00
CV1,495,3.01,0.00,0.16,0.00
CV1,496,2.90,0.00,0.17,0.00
CV1,497,2.98,0.00,0.10,0.00
CV1,498,2.84,0.00,0.26,0.00
CV1,499,2.99,0.00,0.04,0.00
CV1,500,2.80,0.00,0.20,0.00
CV2,1,3.09,0.01,0.32,0.00
CV2,2,2.80,0.01,0.35,0.00
CV2,3,3.22,0.01,0.32,0.00
CV2,4,2.82,0.01,0.41,0.00
CV2,5,2.84,0.01,0.39,0.00
CV2,6,2.65,0.01,0.35,0.00
CV2,7,3.03,0.01,0.43,0.00
CV2,8,3.11,0.01,0.43,0.00
CV2,9,3.05,0.01,0.41,0.00
CV2,10,3.08,0.01,0.26,0.00
CV2,11,3.18,0.01,0.33,0.00
CV2,12,3.11,0.01,0.43,0.00
CV2,13,2.85,0.01,0.44,0.00
CV2,14,2.97,0.01,0.42,0.00
CV2,15,2.90,0.01,0.45,0.00
CV2,16,3.01,0.01,0.39,0.00
CV2,17,3.32,0.01,0.45,0.00
CV2,18,2.94,0.01,0.36,0.00
CV2,19,3.16,0.01,0.44,0.00
CV2,20,2.87,0.01,0.34,0.00
CV2,21,3.42,0.00,0.29,0.00
CV2,22,2.97,0.01,0.29,0.00
CV2,23,2.95,0.01,0.37,0.00
CV2,24,2.83,0.01,0.33,0.00
CV2,25,2.99,0.01,0.31,0.00
CV2,26,2.87,0.01,0.55,0.00
CV2,27,3.15,0.01,0.44,0.00
CV2,28,2.94,0.01,0.31,0.00
CV2,29,3.03,0.01,0.35,0.00
CV2,30,3.02,0.01,0.39,0.00
CV2,31,2.95,0.01,0.43,0.00
CV2,32,2.91,0.01,0.39,0.00
CV2,33,3.11,0.01,0.26,0.00
CV2,34,3.32,0.01,0.54,0.00
CV2,35,3.11,0.01,0.40,0.00
CV2,36,3.03,0.01,0.37,0.00
CV2,37,3.06,0.01,0.36,0.00
CV2,38,3.05,0.01,0.50,0.00
CV2,39,2.76,0.01,0.28,0.00
CV2,40,3.14,0.01,0.43,0.00
CV2,41,2.77,0.01,0.53,0.00
CV2,42,2.62,0.01,0.40,0.00
CV2,43,3.06,0.01,0.38,0.00
CV2,44,2.99,0.01,0.33,0.00
CV2,45,2.97,0.01,0.41,0.00
CV2,46,3.10,0.01,0.58,0.00
CV2,47,3.44,0.00,0.44,0.00
CV2,48,3.07,0.01,0.37,0.00
CV2,49,3.05,0.01,0.30,0.00
CV2,50,3.00,0.01,0.29,0.00
CV2,51,2.89,0.01,0.45,0.00
CV2,52,2.85,0.01,0.44,0.00
CV2,53,2.64,0.01,0.44,0.00
CV2,54,3.40,0.01,0.32,0.00
CV2,55,3.04,0.01,0.40,0.00
CV2,56,3.04,0.01,0.42,0.00
CV2,57,2.66,0.01,0.44,0.00
CV2,58,3.04,0.01,0.47,0.00
CV2,59,3.44,0.00,0.35,0.00
CV2,60,2.80,0.01,0.29,0.00
CV2,61,3.21,0.01,0.36,0.00
CV2,62,3.08,0.01,0.34,0.00
CV2,63,2.95,0.01,0.38,0.00
CV2,64,2.67,0.01,0.37,0.00
CV2,65,2.60,0.01,0.35,0.00
CV2,66,3.10,0.01,0.38,0.00
CV2,67,2.72,0.01,0.37,0.00
CV2,68,2.87,0.01,0.35,0.00
CV2,69,2.88,0.01,0.30,0.00
CV2,70,2.89,0.01,0.40,0.00
CV2,71,3.18,0.01,0.42,0.00
CV2,72,3.20,0.01,0.36,0.00
CV2,73,2.81,0.01,0.30,0.00
CV2,74,3.22,0.01,0.40,0.00
CV2,75,3.03,0.01,0.36,0.00
CV2,76,2.86,0.01,0.45,0.00
CV2,77,2.93,0.01,0.36,0.00
CV2,78,3.02,0.01,0.32,0.00
CV2,79,2.99,0.01,0.37,0.00
CV2,80,3.11,0.01,0.41,0.00
CV2,81,3.04,0.01,0.36,0.00
CV2,82,2.99,0.01,0.39,0.00
CV2,83,2.82,0.01,0.40,0.00
CV2,84,3.11,0.01,0.30,0.00
CV2,85,2.98,0.01,0.44,0.00
CV2,86,2.78,0.01,0.40,0.00
CV2,87,2.84,0.01,0.49,0.00
CV2,88,2.98,0.01,0.53,0.00
CV2,89,2.83,0.01,0.24,0.00
CV2,90,2.94,0.01,0.28,0.00
CV2,91,3.03,0.01,0.36,0.00
CV2,92,2.74,0.01,0.37,0.00
CV2,93,3.02,0.01,0.44,0.00
CV2,94,2.71,0.01,0.33,0.00
CV2,95,3.36,0.01,0.42,0.00
CV2,96,3.04,0.01,0.46,0.00
CV2,97,3.32,0.01,0.44,0.00
CV2,98,2.91,0.01,0.39,0.00
CV2,99,3.10,0.01,0.45,0.00
CV2,100,2.81,0.01,0.35,0.00
CV2,101,3.05,0.01,0.34,0.00
CV2,102,2.88,0.01,0.39,0.00
CV2,103,3.06,0.01,0.51,0.00
CV2,104,2.79,0.01,0.47,0.00
CV2,105,2.81,0.01,0.35,0.00
CV2,106,2.86,0.01,0.49,0.00
CV2,107,2.73,0.01,0.33,0.00
CV2,108,2.90,0.01,0.32,0.00
CV2,109,2.78,0.01,0.47,0.00
CV2,110,2.93,0.01,0.59,0.00
CV2,111,3.14,0.01,0.45,0.00
CV2,112,3.29,0.01,0.41,0.00
CV2,113,3.04,0.01,0.47,0.00
CV2,114,2.82,0.01,0.43,0.00
CV2,115,2.91,0.01,0.34,0.00
CV2,116,2.97,0.01,0.32,0.00
CV2,117,3.03,0.01,0.41,0.00
CV2,118,2.88,0.01,0.44,0.00
CV2,119,2.82,0.01,0.36,0.00
CV2,120,2.89,0.01,0.46,0.00
CV2,121,3.01,0.01,0.37,0.00
CV2,122,3.20,0.01,0.40,0.00
CV2,123,3.06,0.01,0.58,0.00
CV2,124,2.76,0.01,0.43,0.00
CV2,125,3.14,0.01,0.48,0.00
CV2,126,2.79,0.01,0.37,0.00
CV2,127,2.75,0.01,0.48,0.00
CV2,128,3.06,0.01,0.39,0.00
CV2,129,2.90,0.01,0.28,0.00
CV2,130,2.85,0.01,0.50,0.00
CV2,131,2.67,0.01,0.50,0.00
CV2,132,3.16,0.01,0.38,0.00
