Treatment,Days,Rep,Cumulative_germination
Control,161,3,1.08
Control,162,3,1.08
Control,163,3,1.08
Control,165,3,1.09
Control,168,3,1.09
Control,170,3,1.10
Control,172,3,1.10
Control,175,3,1.11
Control,177,3,1.11
Control,179,3,1.11
Control,182,3,1.12
Control,184,3,1.12
Control,186,3,1.12
Control,189,3,1.13
Control,191,3,1.13
Control,193,3,1.13
Control,196,3,1.13
Control,198,3,1.13
Control,200,3,1.13
Control,203,3,1.13
Control,207,3,1.13
Control,210,3,1.13
Control,213,3,1.13
Control,217,3,1.14
Control,219,3,1.14
Control,221,3,1.14
Control,226,3,1.14
Control,228,3,1.14
Control,233,3,1.14
Control,238,3,1.14
Control,246,3,1.14
Control,248,3,1.14
Control,249,3,1.14
Control,250,3,1.14
Control,109,4,0.00
Control,112,4,0.00
Control,114,4,0.00
Control,116,4,0.00
Control,120,4,0.02
Control,123,4,0.05
Control,126,4,0.08
Control,128,4,0.10
Control,130,4,0.12
Control,134,4,0.15
Control,136,4,0.18
Control,137,4,0.21
Control,140,4,0.28
Control,141,4,0.30
Control,142,4,0.31
Control,143,4,0.34
Control,144,4,0.38
Control,146,4,0.46
Control,148,4,0.47
Control,149,4,0.54
Control,150,4,0.61
Control,151,4,0.67
Control,153,4,0.75
Control,154,4,0.76
Control,155,4,0.77
Control,156,4,0.79
Control,157,4,0.80
Control,161,4,0.82
Control,162,4,0.82
Control,163,4,0.83
Control,165,4,0.83
Control,168,4,0.83
Control,170,4,0.84
Control,172,4,0.85
Control,175,4,0.85
Control,177,4,0.85
Control,179,4,0.85
Control,182,4,0.86
Control,184,4,0.86
Control,186,4,0.86
Control,189,4,0.86
Control,191,4,0.87
Control,193,4,0.87
Control,196,4,0.87
Control,198,4,0.87
Control,200,4,0.87
Control,203,4,0.87
Control,207,4,0.87
Control,210,4,0.87
Control,213,4,0.87
Control,217,4,0.87
Control,219,4,0.87
Control,221,4,0.87
Control,226,4,0.87
Control,228,4,0.87
Control,233,4,0.87
Control,238,4,0.88
Control,246,4,0.88
Control,248,4,0.88
Control,249,4,0.88
Control,250,4,0.88
Control,114,5,0.00
Control,116,5,0.00
Control,120,5,0.01
Control,123,5,0.03
Control,126,5,0.07
Control,128,5,0.10
Control,130,5,0.12
Control,134,5,0.15
Control,136,5,0.18
Control,137,5,0.21
Control,140,5,0.28
Control,141,5,0.29
Control,142,5,0.31
Control,143,5,0.35
Control,144,5,0.39
Control,146,5,0.48
Control,148,5,0.50
Control,149,5,0.53
Control,150,5,0.60
Control,151,5,0.64
Control,153,5,0.72
Control,154,5,0.73
Control,155,5,0.75
Control,156,5,0.76
Control,157,5,0.77
Control,161,5,0.78
Control,162,5,0.78
Control,163,5,0.79
Control,165,5,0.79
Control,168,5,0.79
Control,170,5,0.79
Control,172,5,0.79
Control,175,5,0.80
Control,177,5,0.80
Control,179,5,0.80
Control,182,5,0.80
Control,184,5,0.80
Control,186,5,0.80
Control,189,5,0.80
Control,191,5,0.81
Control,193,5,0.81
Control,196,5,0.81
Control,198,5,0.81
Control,200,5,0.81
Control,203,5,0.81
Control,207,5,0.81
Control,210,5,0.81
Control,213,5,0.81
Control,217,5,0.81
Control,219,5,0.81
Control,221,5,0.81
Control,226,5,0.81
Control,228,5,0.81
Control,233,5,0.81
Control,238,5,0.81
Control,246,5,0.81
Control,248,5,0.81
Control,249,5,0.81
Control,250,5,0.81
Control,116,6,0.00
Control,120,6,0.01
Control,123,6,0.04
Control,126,6,0.08
Control,128,6,0.10
Control,130,6,0.13
Control,134,6,0.17
Control,136,6,0.19
Control,137,6,0.21
Control,140,6,0.28
Control,141,6,0.29
Control,142,6,0.32
Control,143,6,0.33
Control,144,6,0.36
Control,146,6,0.40
Control,148,6,0.43
Control,149,6,0.47
Control,150,6,0.54
Control,151,6,0.58
Control,153,6,0.63
Control,154,6,0.65
Control,155,6,0.65
Control,156,6,0.65
Control,157,6,0.65
Control,161,6,0.67
Control,162,6,0.67
Control,163,6,0.67
Control,165,6,0.68
Control,168,6,0.68
Control,170,6,0.68
Control,172,6,0.69
Control,175,6,0.69
Control,177,6,0.69
Control,179,6,0.69
Control,182,6,0.70
Control,184,6,0.70
Control,186,6,0.70
Control,189,6,0.70
Control,191,6,0.70
Control,193,6,0.70
Control,196,6,0.70
Control,198,6,0.70
Control,200,6,0.70
Control,203,6,0.70
Control,207,6,0.70
Control,210,6,0.70
Control,213,6,0.71
Control,217,6,0.71
Control,219,6,0.71
Control,221,6,0.71
Control,226,6,0.71
Control,228,6,0.71
Control,233,6,0.71
Control,238,6,0.71
Control,246,6,0.71
Control,248,6,0.71
Control,249,6,0.71
Control,250,6,0.71
Control,120,7,0.01
Control,123,7,0.03
Control,126,7,0.06
Control,128,7,0.08
Control,130,7,0.11
Control,134,7,0.14
Control,136,7,0.16
Control,137,7,0.20
Control,140,7,0.29
Control,141,7,0.31
Control,142,7,0.33
Control,143,7,0.37
Control,144,7,0.39
Control,146,7,0.44
Control,148,7,0.48
Control,149,7,0.52
Control,150,7,0.58
Control,151,7,0.65
Control,153,7,0.75
Control,154,7,0.77
Control,155,7,0.78
Control,156,7,0.78
Control,157,7,0.79
Control,161,7,0.83
Control,162,7,0.83
Control,163,7,0.84
Control,165,7,0.85
Control,168,7,0.87
Control,170,7,0.88
Control,172,7,0.89
Control,175,7,0.90
Control,177,7,0.91
Control,179,7,0.91
Control,182,7,0.91
Control,184,7,0.91
Control,186,7,0.91
Control,189,7,0.91
Control,191,7,0.91
Control,193,7,0.91
Control,196,7,0.91
Control,198,7,0.91
Control,200,7,0.91
Control,203,7,0.92
Control,207,7,0.92
Control,210,7,0.92
Control,213,7,0.92
Control,217,7,0.92
Control,219,7,0.92
Control,221,7,0.92
Control,226,7,0.92
Control,228,7,0.92
Control,233,7,0.92
Control,238,7,0.92
Control,246,7,0.92
Control,248,7,0.92
Control,249,7,0.92
Control,250,7,0.92
Control,112,8,0.00
Control,114,8,0.00
Control,116,8,0.02
Control,120,8,0.04
Control,123,8,0.08
Control,126,8,0.12
Control,128,8,0.13
Control,130,8,0.14
Control,134,8,0.17
Control,136,8,0.20
Control,137,8,0.24
Control,140,8,0.34
Control,141,8,0.35
Control,142,8,0.38
Control,143,8,0.42
Control,144,8,0.48
Control,146,8,0.57
Control,148,8,0.59
Control,149,8,0.66
Control,150,8,0.76
Control,151,8,0.84
Control,153,8,0.97
Control,154,8,1.00
Control,155,8,1.01
Control,156,8,1.02
Control,157,8,1.03
Control,161,8,1.05
Control,162,8,1.06
Control,163,8,1.07
Control,165,8,1.07
Control,168,8,1.07
Control,170,8,1.08
Control,172,8,1.08
Control,175,8,1.09
Control,177,8,1.09
Control,179,8,1.09
Control,182,8,1.09
Control,184,8,1.10
Control,186,8,1.10
Control,189,8,1.10
Control,191,8,1.10
Control,193,8,1.10
Control,196,8,1.10
Control,198,8,1.10
Control,200,8,1.10
Control,203,8,1.10
Control,207,8,1.10
Control,210,8,1.10
Control,213,8,1.10
Control,217,8,1.10
Control,219,8,1.11
Control,221,8,1.11
Control,226,8,1.11
Control,228,8,1.11
Control,233,8,1.11
Control,238,8,1.11
Control,246,8,1.11
Control,248,8,1.11
Control,249,8,1.11
Control,250,8,1.11
Control,114,9,0.00
Control,116,9,0.00
Control,120,9,0.00
Control,123,9,0.01
Control,126,9,0.03
Control,128,9,0.04
Control,130,9,0.05
Control,134,9,0.07
Control,136,9,0.10
Control,137,9,0.14
Control,140,9,0.24
Control,141,9,0.25
Control,142,9,0.29
Control,143,9,0.36
Control,144,9,0.41
Control,146,9,0.46
Control,148,9,0.48
Control,149,9,0.56
Control,150,9,0.64
Control,151,9,0.71
Control,153,9,0.83
Control,154,9,0.86
Control,155,9,0.88
Control,156,9,0.89
Control,157,9,0.90
Control,161,9,0.92
Control,162,9,0.92
Control,163,9,0.92
Control,165,9,0.92
Control,168,9,0.93
Control,170,9,0.93
Control,172,9,0.93
Control,175,9,0.94
Control,177,9,0.94
Control,179,9,0.94
Control,182,9,0.94
Control,184,9,0.94
Control,186,9,0.94
Control,189,9,0.94
Control,191,9,0.94
Control,193,9,0.94
Control,196,9,0.94
Control,198,9,0.94
Control,200,9,0.94
Control,203,9,0.94
Control,207,9,0.95
Control,210,9,0.95
Control,213,9,0.95
Control,217,9,0.95
Control,219,9,0.95
Control,221,9,0.95
Control,226,9,0.95
Control,228,9,0.95
Control,233,9,0.95
Control,238,9,0.95
Control,246,9,0.95
Control,248,9,0.95
Control,249,9,0.95
Control,250,9,0.95
Control,116,10,0.00
Control,120,10,0.00
Control,123,10,0.01
Control,126,10,0.03
Control,128,10,0.05
Control,130,10,0.08
Control,134,10,0.11
Control,136,10,0.14
Control,137,10,0.17
Control,140,10,0.24
Control,141,10,0.25
Control,142,10,0.31
Control,143,10,0.36
Control,144,10,0.40
Control,146,10,0.50
Control,148,10,0.53
Control,149,10,0.59
Control,150,10,0.68
Control,151,10,0.76
Control,153,10,0.89
Control,154,10,0.90
Control,155,10,0.91
Control,156,10,0.92
Control,157,10,0.93
Control,161,10,0.96
Control,162,10,0.96
Control,163,10,0.97
Control,165,10,0.97
Control,168,10,0.98
Control,170,10,0.98
Control,172,10,0.99
Control,175,10,0.99
Control,177,10,1.00
Control,179,10,1.00
Control,182,10,1.00
Control,184,10,1.00
Control,186,10,1.00
Control,189,10,1.01
Control,191,10,1.01
Control,193,10,1.01
Control,196,10,1.01
Control,198,10,1.01
Control,200,10,1.01
Control,203,10,1.01
Control,207,10,1.01
Control,210,10,1.01
Control,213,10,1.01
Control,217,10,1.01
Control,219,10,1.01
Control,221,10,1.01
Control,226,10,1.01
Control,228,10,1.01
Control,233,10,1.01
Control,238,10,1.01
Control,246,10,1.01
Control,248,10,1.02
Control,249,10,1.02
Control,250,10,1.02
