month1,month,day1,day,day_length,night_length
Aug,8,8,220,14:03,9:57
Aug,8,9,221,14:01,9:59
Aug,8,10,222,13:58,10:02
Aug,8,11,223,13:56,10:04
Aug,8,12,224,13:54,10:06
Aug,8,13,225,13:52,10:08
Aug,8,14,226,13:49,10:11
Aug,8,15,227,13:47,10:13
Aug,8,16,228,13:45,10:15
Aug,8,17,229,13:42,10:18
Aug,8,18,230,13:40,10:20
Aug,8,19,231,13:38,10:22
Aug,8,20,232,13:35,10:25
Aug,8,21,233,13:33,10:27
Aug,8,22,234,13:31,10:29
Aug,8,23,235,13:28,10:32
Aug,8,24,236,13:26,10:34
Aug,8,25,237,13:23,10:37
Aug,8,26,238,13:21,10:39
Aug,8,27,239,13:18,10:42
Aug,8,28,240,13:16,10:44
Aug,8,29,241,13:13,10:47
Aug,8,30,242,13:11,10:49
Aug,8,31,243,13:08,10:52
Sep,9,1,244,13:06,10:54
Sep,9,2,245,13:03,10:57
Sep,9,3,246,13:01,10:59
Sep,9,4,247,12:58,11:02
Sep,9,5,248,12:56,11:04
Sep,9,6,249,12:53,11:07
Sep,9,7,250,12:51,11:09
Sep,9,8,251,12:48,11:12
Sep,9,9,252,12:45,11:15
Sep,9,10,253,12:43,11:17
Sep,9,11,254,12:40,11:20
Sep,9,12,255,12:38,11:22
Sep,9,13,256,12:35,11:25
Sep,9,14,257,12:32,11:28
Sep,9,15,258,12:30,11:30
Sep,9,16,259,12:27,11:33
Sep,9,17,260,12:25,11:35
Sep,9,18,261,12:22,11:38
Sep,9,19,262,12:19,11:41
Sep,9,20,263,12:17,11:43
Sep,9,21,264,12:14,11:46
Sep,9,22,265,12:12,11:48
Sep,9,23,266,12:09,11:51
Sep,9,24,267,12:06,11:54
Sep,9,25,268,12:04,11:56
Sep,9,26,269,12:01,11:59
Sep,9,27,270,11:58,12:02
Sep,9,28,271,11:56,12:04
Sep,9,29,272,11:53,12:07
Sep,9,30,273,11:51,12:09
Oct,10,1,274,11:48,12:12
Oct,10,2,275,11:45,12:15
Oct,10,3,276,11:43,12:17
Oct,10,4,277,11:40,12:20
Oct,10,5,278,11:38,12:22
Oct,10,6,279,11:35,12:25
Oct,10,7,280,11:32,12:28
Oct,10,8,281,11:30,12:30
Oct,10,9,282,11:27,12:33
Oct,10,10,283,11:25,12:35
Oct,10,11,284,11:22,12:38
Oct,10,12,285,11:19,12:41
Oct,10,13,286,11:17,12:43
Oct,10,14,287,11:14,12:46
Oct,10,15,288,11:12,12:48
Oct,10,16,289,11:09,12:51
Oct,10,17,290,11:07,12:53
Oct,10,18,291,11:04,12:56
Oct,10,19,292,11:01,12:59
Oct,10,20,293,10:59,13:01
Oct,10,21,294,10:56,13:04
Oct,10,22,295,10:54,13:06
Oct,10,23,296,10:51,13:09
Oct,10,24,297,10:49,13:11
Oct,10,25,298,10:46,13:14
Oct,10,26,299,10:44,13:16
Oct,10,27,300,10:42,13:18
Oct,10,28,301,10:39,13:21
Oct,10,29,302,10:37,13:23
Oct,10,30,303,10:34,13:26
Oct,10,31,304,10:32,13:28
Nov,11,1,305,10:30,13:30
Nov,11,2,306,10:27,13:33
Nov,11,3,307,10:25,13:35
Nov,11,4,308,10:23,13:37
Nov,11,5,309,10:20,13:40
Nov,11,6,310,10:18,13:42
Nov,11,7,311,10:16,13:44
Nov,11,8,312,10:14,13:46
Nov,11,9,313,10:12,13:48
Nov,11,10,314,10:09,13:51
Nov,11,11,315,10:07,13:53
Nov,11,12,316,10:05,13:55
Nov,11,13,317,10:03,13:57
Nov,11,14,318,10:01,13:59
Nov,11,15,319,9:59,14:01
Nov,11,16,320,9:57,14:03
Nov,11,17,321,9:55,14:05
Nov,11,18,322,9:53,14:07
Nov,11,19,323,9:51,14:09
Nov,11,20,324,9:50,14:10
Nov,11,21,325,9:48,14:12
Nov,11,22,326,9:46,14:14
Nov,11,23,327,9:44,14:16
Nov,11,24,328,9:43,14:17
Nov,11,25,329,9:41,14:19
Nov,11,26,330,9:40,14:20
Nov,11,27,331,9:38,14:22
Nov,11,28,332,9:37,14:23
Nov,11,29,333,9:35,14:25
Nov,11,30,334,9:34,14:26
Dec,12,1,335,9:33,14:27
Dec,12,2,336,9:31,14:29
Dec,12,3,337,9:30,14:30
Dec,12,4,338,9:29,14:31
Dec,12,5,339,9:28,14:32
Dec,12,6,340,9:27,14:33
Dec,12,7,341,9:26,14:34
Dec,12,8,342,9:25,14:35
Dec,12,9,343,9:24,14:36
Dec,12,10,344,9:23,14:37
Dec,12,11,345,9:22,14:38
Dec,12,12,346,9:22,14:38
Dec,12,13,347,9:21,14:39
Dec,12,14,348,9:21,14:39
Dec,12,15,349,9:20,14:40
Dec,12,16,350,9:20,14:40
Dec,12,17,351,9:19,14:41
Dec,12,18,352,9:19,14:41
Dec,12,19,353,9:19,14:41
Dec,12,20,354,9:19,14:41
Dec,12,21,355,9:19,14:41
Dec,12,22,356,9:18,14:42
Dec,12,23,357,9:19,14:41
Dec,12,24,358,9:19,14:41
Dec,12,25,359,9:19,14:41
Dec,12,26,360,9:19,14:41
Dec,12,27,361,9:19,14:41
Dec,12,28,362,9:20,14:40
Dec,12,29,363,9:20,14:40
Dec,12,30,364,9:21,14:39
Dec,12,31,365,9:21,14:39
