year,location,month,Days,date,temp,gdds
2018,Elora,September,143,20-Sep,16.5,2798.46
2018,Elora,September,144,21-Sep,22.32,2820.78
2018,Elora,September,145,22-Sep,12.51,2833.29
2018,Elora,September,146,23-Sep,13.61,2846.9
2018,Elora,September,147,24-Sep,15.65,2862.55
2018,Elora,September,148,25-Sep,19.54,2882.09
2018,Elora,September,149,26-Sep,16.19,2898.28
2018,Elora,September,150,27-Sep,11.61,2909.89
2018,Elora,September,151,28-Sep,12.26,2922.15
2018,Elora,September,152,29-Sep,10.01,2932.16
2018,Elora,September,153,30-Sep,10.22,2942.38
2018,Elora,October,154,1-Oct,9.65,2952.03
2018,Elora,October,155,2-Oct,14.92,2966.95
2018,Elora,October,156,3-Oct,12.65,2979.6
2018,Elora,October,157,4-Oct,14.05,2993.65
2018,Elora,October,158,5-Oct,7.8,3001.45
2018,Elora,October,159,6-Oct,15.62,3017.07
2018,Elora,October,160,7-Oct,14.51,3031.58
2018,Elora,October,161,8-Oct,16.83,3048.41
2018,Elora,October,162,9-Oct,21.43,3069.84
2018,Elora,October,163,10-Oct,21,3090.84
2018,Elora,October,164,11-Oct,13.87,3104.71
2018,Elora,October,165,12-Oct,5.89,3110.6
2018,Elora,October,166,13-Oct,4.62,3115.22
2018,Elora,October,167,14-Oct,7.4,3122.62
2018,Elora,October,168,15-Oct,7.88,3130.5
2018,Elora,October,169,16-Oct,5.3,3135.8
2018,Elora,October,170,17-Oct,4.49,3140.29
2018,Elora,October,171,18-Oct,2.41,3142.7
2018,Elora,October,172,19-Oct,7.67,3150.37
2018,Elora,October,173,20-Oct,6.14,3156.51
2018,Elora,October,174,21-Oct,1.37,3157.88
2018,Elora,October,175,22-Oct,4.25,3162.13
2018,Elora,October,176,23-Oct,4.65,3166.78
2018,Elora,October,177,24-Oct,2.1,3168.88
2018,Elora,October,178,25-Oct,3.06,3171.94
2018,Elora,October,179,26-Oct,3.69,3175.63
2018,Elora,October,180,27-Oct,2.87,3178.5
2018,Elora,October,181,28-Oct,2.76,3181.26
2018,Elora,October,182,29-Oct,3.18,3184.44
2018,Elora,October,183,30-Oct,4.83,3189.27
2018,Elora,October,184,31-Oct,8.27,3197.54
2019,Elora,May,1,1-May,10.43,20.43
2019,Elora,May,2,2-May,9.99,30.42
2019,Elora,May,3,3-May,8.52,38.94
2019,Elora,May,4,4-May,9.12,48.06
2019,Elora,May,5,5-May,11.26,59.32
2019,Elora,May,6,6-May,12.08,71.4
2019,Elora,May,7,7-May,7.21,78.61
2019,Elora,May,8,8-May,6.05,84.66
2019,Elora,May,9,9-May,12.08,96.74
2019,Elora,May,10,10-May,8.3,105.04
2019,Elora,May,11,11-May,5.8,110.84
2019,Elora,May,12,12-May,5.98,116.82
2019,Elora,May,13,13-May,5.19,122.01
2019,Elora,May,14,14-May,8.37,130.38
2019,Elora,May,15,15-May,10.23,140.61
2019,Elora,May,16,16-May,11.01,151.62
2019,Elora,May,17,17-May,10.58,162.2
2019,Elora,May,18,18-May,9.67,171.87
2019,Elora,May,19,19-May,17.53,189.4
2019,Elora,May,20,20-May,9.71,199.11
2019,Elora,May,21,21-May,9.28,208.39
2019,Elora,May,22,22-May,11.21,219.6
2019,Elora,May,23,23-May,14.75,234.35
2019,Elora,May,24,24-May,13.26,247.61
2019,Elora,May,25,25-May,15.88,263.49
2019,Elora,May,26,26-May,13.26,276.75
2019,Elora,May,27,27-May,14.96,291.71
2019,Elora,May,28,28-May,12.88,304.59
2019,Elora,May,29,29-May,12.58,317.17
2019,Elora,May,30,30-May,13.86,331.03
2019,Elora,May,31,31-May,13.58,344.61
2019,Elora,June,32,1-Jun,15.07,359.68
2019,Elora,June,33,2-Jun,10.73,370.41
2019,Elora,June,34,3-Jun,8.3,378.71
2019,Elora,June,35,4-Jun,13.19,391.9
2019,Elora,June,36,5-Jun,16.04,407.94
2019,Elora,June,37,6-Jun,15.9,423.84
2019,Elora,June,38,7-Jun,17.02,440.86
2019,Elora,June,39,8-Jun,15.73,456.59
2019,Elora,June,40,9-Jun,17.12,473.71
2019,Elora,June,41,10-Jun,14.95,488.66
2019,Elora,June,42,11-Jun,13.45,502.11
2019,Elora,June,43,12-Jun,14.76,516.87
2019,Elora,June,44,13-Jun,13.83,530.7
2019,Elora,June,45,14-Jun,13.29,543.99
2019,Elora,June,46,15-Jun,15.5,559.49
2019,Elora,June,47,16-Jun,14.78,574.27
2019,Elora,June,48,17-Jun,15.61,589.88
2019,Elora,June,49,18-Jun,19.19,609.07
2019,Elora,June,50,19-Jun,19.6,628.67
2019,Elora,June,51,20-Jun,16.48,645.15
2019,Elora,June,52,21-Jun,14.98,660.13
2019,Elora,June,53,22-Jun,15.94,676.07
2019,Elora,June,54,23-Jun,18.64,694.71
2019,Elora,June,55,24-Jun,19.74,714.45
2019,Elora,June,56,25-Jun,19.26,733.71
2019,Elora,June,57,26-Jun,20.48,754.19
2019,Elora,June,58,27-Jun,21.37,775.56
2019,Elora,June,59,28-Jun,21.2,796.76
2019,Elora,June,60,29-Jun,21.33,818.09
2019,Elora,June,61,30-Jun,17.84,835.93
2019,Elora,July,62,1-Jul,20.59,856.52
2019,Elora,July,63,2-Jul,21.86,878.38
2019,Elora,July,64,3-Jul,23.57,901.95
2019,Elora,July,65,4-Jul,23.69,925.64
2019,Elora,July,66,5-Jul,25.48,951.12
2019,Elora,July,67,6-Jul,23.98,975.1
2019,Elora,July,68,7-Jul,20.58,995.68
2019,Elora,July,69,8-Jul,19.43,1015.11
2019,Elora,July,70,9-Jul,20.88,1035.99
2019,Elora,July,71,10-Jul,23.46,1059.45
2019,Elora,July,72,11-Jul,22.28,1081.73
2019,Elora,July,73,12-Jul,19.3,1101.03
2019,Elora,July,74,13-Jul,21.65,1122.68
2019,Elora,July,75,14-Jul,19.77,1142.45
2019,Elora,July,76,15-Jul,21.03,1163.48
2019,Elora,July,77,16-Jul,23.75,1187.23
2019,Elora,July,78,17-Jul,23.89,1211.12
2019,Elora,July,79,18-Jul,23.85,1234.97
2019,Elora,July,80,19-Jul,25.26,1260.23
2019,Elora,July,81,20-Jul,26.13,1286.36
2019,Elora,July,82,21-Jul,21.3,1307.66
2019,Elora,July,83,22-Jul,19.85,1327.51
2019,Elora,July,84,23-Jul,18.77,1346.28
2019,Elora,July,85,24-Jul,19.94,1366.22
2019,Elora,July,86,25-Jul,21.68,1387.9
2019,Elora,July,87,26-Jul,22.88,1410.78
2019,Elora,July,88,27-Jul,22.73,1433.51
2019,Elora,July,89,28-Jul,24.79,1458.3
2019,Elora,July,90,29-Jul,24.53,1482.83
2019,Elora,July,91,30-Jul,22.87,1505.7
2019,Elora,July,92,31-Jul,20.21,1525.91
2019,Elora,August,93,1-Aug,20.81,1546.72
2019,Elora,August,94,2-Aug,22.2,1568.92
2019,Elora,August,95,3-Aug,22.83,1591.75
2019,Elora,August,96,4-Aug,22.59,1614.34
2019,Elora,August,97,5-Aug,23.77,1638.11
2019,Elora,August,98,6-Aug,21.98,1660.09
2019,Elora,August,99,7-Aug,22.25,1682.34
2019,Elora,August,100,8-Aug,20.54,1702.88
2019,Elora,August,101,9-Aug,19.35,1722.23
2019,Elora,August,102,10-Aug,18.14,1740.37
2019,Elora,August,103,11-Aug,21.12,1761.49
2019,Elora,August,104,12-Aug,23.3,1784.79
2019,Elora,August,105,13-Aug,23.46,1808.25
2019,Elora,August,106,14-Aug,21.18,1829.43
2019,Elora,August,107,15-Aug,19.16,1848.59
2019,Elora,August,108,16-Aug,20.02,1868.61
2019,Elora,August,109,17-Aug,22.07,1890.68
2019,Elora,August,110,18-Aug,22.45,1913.13
2019,Elora,August,111,19-Aug,22.34,1935.47
2019,Elora,August,112,20-Aug,22.51,1957.98
2019,Elora,August,113,21-Aug,23.77,1981.75
2019,Elora,August,114,22-Aug,18.11,1999.86
2019,Elora,August,115,23-Aug,16.66,2016.52
2019,Elora,August,116,24-Aug,16.92,2033.44
2019,Elora,August,117,25-Aug,18.12,2051.56
2019,Elora,August,118,26-Aug,19.43,2070.99
2019,Elora,August,119,27-Aug,20.19,2091.18
2019,Elora,August,120,28-Aug,19.91,2111.09
2019,Elora,August,121,29-Aug,19.55,2130.64
2019,Elora,August,122,30-Aug,18.3,2148.94
2019,Elora,August,123,31-Aug,15.44,2164.38
2019,Elora,September,124,1-Sep,16.5,2180.88
2019,Elora,September,125,2-Sep,18.73,2199.61
2019,Elora,September,126,3-Sep,19.12,2218.73
2019,Elora,September,127,4-Sep,17.01,2235.74
2019,Elora,September,128,5-Sep,15.87,2251.61
2019,Elora,September,129,6-Sep,15.55,2267.16
2019,Elora,September,130,7-Sep,15.9,2283.06
2019,Elora,September,131,8-Sep,14.79,2297.85
2019,Elora,September,132,9-Sep,14.46,2312.31
2019,Elora,September,133,10-Sep,19.15,2331.46
2019,Elora,September,134,11-Sep,21.87,2353.33
2019,Elora,September,135,12-Sep,16.37,2369.7
2019,Elora,September,136,13-Sep,18.83,2388.53
2019,Elora,September,137,14-Sep,16.9,2405.43
2019,Elora,September,138,15-Sep,16.94,2422.37
2019,Elora,September,139,16-Sep,17.96,2440.33
2019,Elora,September,140,17-Sep,17.78,2458.11
2019,Elora,September,141,18-Sep,17.71,2475.82
2019,Elora,September,142,19-Sep,17.79,2493.61
2019,Elora,September,143,20-Sep,19.3,2512.91
2019,Elora,September,144,21-Sep,21.58,2534.49
2019,Elora,September,145,22-Sep,23.02,2557.51
2019,Elora,September,146,23-Sep,19.58,2577.09
2019,Elora,September,147,24-Sep,16.22,2593.31
2019,Elora,September,148,25-Sep,18.51,2611.82
2019,Elora,September,149,26-Sep,15.14,2626.96
2019,Elora,September,150,27-Sep,15.67,2642.63
2019,Elora,September,151,28-Sep,17.3,2659.93
2019,Elora,September,152,29-Sep,11.9,2671.83
2019,Elora,September,153,30-Sep,16.16,2687.99
2019,Elora,October,154,1-Oct,21.09,2709.08
2019,Elora,October,155,2-Oct,15.83,2724.91
2019,Elora,October,156,3-Oct,10.9,2735.81
2019,Elora,October,157,4-Oct,9.11,2744.92
2019,Elora,October,158,5-Oct,8.7,2753.62
2019,Elora,October,159,6-Oct,14.46,2768.08
2019,Elora,October,160,7-Oct,11.95,2780.03
2019,Elora,October,161,8-Oct,10.89,2790.92
2019,Elora,October,162,9-Oct,11.08,2802
2019,Elora,October,163,10-Oct,11.23,2813.23
2019,Elora,October,164,11-Oct,14.1,2827.33
2019,Elora,October,165,12-Oct,8.53,2835.86
2019,Elora,October,166,13-Oct,9.55,2845.41
2019,Elora,October,167,14-Oct,5.87,2851.28
2019,Elora,October,168,15-Oct,7.97,2859.25
2019,Elora,October,169,16-Oct,8.91,2868.16
2019,Elora,October,170,17-Oct,6.16,2874.32
2019,Elora,October,171,18-Oct,5.44,2879.76
2019,Elora,October,172,19-Oct,6.51,2886.27
2019,Elora,October,173,20-Oct,11.38,2897.65
2019,Elora,October,174,21-Oct,11.99,2909.64
2019,Elora,October,175,22-Oct,12.05,2921.69
2019,Elora,October,176,23-Oct,8.05,2929.74
2019,Elora,October,177,24-Oct,8.4,2938.14
2019,Elora,October,178,25-Oct,5.86,2944
2019,Elora,October,179,26-Oct,5.74,2949.74
2019,Elora,October,180,27-Oct,10.05,2959.79
2019,Elora,October,181,28-Oct,9.28,2969.07
2019,Elora,October,182,29-Oct,9.43,2978.5
2019,Elora,October,183,30-Oct,6.36,2984.86
2019,Elora,October,184,31-Oct,9.23,2994.09
2020,Elora,May,1,1-May,9.35,19.35
2020,Elora,May,2,2-May,11.76,31.11
2020,Elora,May,3,3-May,11.9,43.01
2020,Elora,May,4,4-May,4.51,47.52
2020,Elora,May,5,5-May,4.23,51.75
2020,Elora,May,6,6-May,5.93,57.68
2020,Elora,May,7,7-May,4.83,62.51
2020,Elora,May,8,8-May,-0.37,62.14
2020,Elora,May,9,9-May,-0.12,62.02
2020,Elora,May,10,10-May,4.17,66.19
2020,Elora,May,11,11-May,1.98,68.17
2020,Elora,May,12,12-May,1.73,69.9
2020,Elora,May,13,13-May,5.51,75.41
2020,Elora,May,14,14-May,8.97,84.38
2020,Elora,May,15,15-May,12.97,97.35
2020,Elora,May,16,16-May,13.14,110.49
2020,Elora,May,17,17-May,10.54,121.03
2020,Elora,May,18,18-May,11.41,132.44
2020,Elora,May,19,19-May,12.19,144.63
2020,Elora,May,20,20-May,12.34,156.97
2020,Elora,May,21,21-May,13.36,170.33
2020,Elora,May,22,22-May,16.26,186.59
2020,Elora,May,23,23-May,17.46,204.05
2020,Elora,May,24,24-May,19.18,223.23
2020,Elora,May,25,25-May,22.96,246.19
2020,Elora,May,26,26-May,23.54,269.73
2020,Elora,May,27,27-May,21.83,291.56
2020,Elora,May,28,28-May,20.58,312.14
2020,Elora,May,29,29-May,17.02,329.16
2020,Elora,May,30,30-May,11.89,341.05
2020,Elora,May,31,31-May,9.43,350.48
2020,Elora,June,32,1-Jun,14.23,364.71
2020,Elora,June,33,2-Jun,18.62,383.33
2020,Elora,June,34,3-Jun,19.18,402.51
2020,Elora,June,35,4-Jun,20.49,423
2020,Elora,June,36,5-Jun,21.48,444.48
2020,Elora,June,37,6-Jun,17.3,461.78
2020,Elora,June,38,7-Jun,14.93,476.71
2020,Elora,June,39,8-Jun,17.79,494.5
2020,Elora,June,40,9-Jun,22.64,517.14
2020,Elora,June,41,10-Jun,23.76,540.9
2020,Elora,June,42,11-Jun,18.05,558.95
2020,Elora,June,43,12-Jun,12.19,571.14
2020,Elora,June,44,13-Jun,11.8,582.94
2020,Elora,June,45,14-Jun,12.65,595.59
2020,Elora,June,46,15-Jun,14.85,610.44
2020,Elora,June,47,16-Jun,17.08,627.52
2020,Elora,June,48,17-Jun,20.11,647.63
2020,Elora,June,49,18-Jun,22.11,669.74
2020,Elora,June,50,19-Jun,23.37,693.11
2020,Elora,June,51,20-Jun,25.06,718.17
2020,Elora,June,52,21-Jun,24.52,742.69
2020,Elora,June,53,22-Jun,22.59,765.28
2020,Elora,June,54,23-Jun,20.64,785.92
2020,Elora,June,55,24-Jun,16.91,802.83
2020,Elora,June,56,25-Jun,18.17,821
2020,Elora,June,57,26-Jun,21.9,842.9
2020,Elora,June,58,27-Jun,22.1,865
2020,Elora,June,59,28-Jun,21.19,886.19
2020,Elora,June,60,29-Jun,23.24,909.43
2020,Elora,June,61,30-Jun,22.99,932.42
2020,Elora,July,62,1-Jul,24.49,956.91
2020,Elora,July,63,2-Jul,25.3,982.21
2020,Elora,July,64,3-Jul,25.45,1007.66
2020,Elora,July,65,4-Jul,24.67,1032.33
2020,Elora,July,66,5-Jul,25.65,1057.98
2020,Elora,July,67,6-Jul,26.18,1084.16
2020,Elora,July,68,7-Jul,27.58,1111.74
2020,Elora,July,69,8-Jul,27.38,1139.12
2020,Elora,July,70,9-Jul,27.24,1166.36
2020,Elora,July,71,10-Jul,27,1193.36
2020,Elora,July,72,11-Jul,22.65,1216.01
2020,Elora,July,73,12-Jul,20.4,1236.41
2020,Elora,July,74,13-Jul,19.94,1256.35
2020,Elora,July,75,14-Jul,22.48,1278.83
2020,Elora,July,76,15-Jul,22.29,1301.12
2020,Elora,July,77,16-Jul,23.14,1324.26
2020,Elora,July,78,17-Jul,24.31,1348.57
2020,Elora,July,79,18-Jul,26.45,1375.02
2020,Elora,July,80,19-Jul,25.42,1400.44
2020,Elora,July,81,20-Jul,22.6,1423.04
2020,Elora,July,82,21-Jul,22,1445.04
2020,Elora,July,83,22-Jul,23.61,1468.65
2020,Elora,July,84,23-Jul,22.64,1491.29
2020,Elora,July,85,24-Jul,23.12,1514.41
2020,Elora,July,86,25-Jul,25.01,1539.42
2020,Elora,July,87,26-Jul,26.13,1565.55
2020,Elora,July,88,27-Jul,25.69,1591.24
2020,Elora,July,89,28-Jul,23.28,1614.52
2020,Elora,July,90,29-Jul,23.27,1637.79
2020,Elora,July,91,30-Jul,21.74,1659.53
2020,Elora,July,92,31-Jul,22.68,1682.21
2020,Elora,August,93,1-Aug,22.96,1705.17
2020,Elora,August,94,2-Aug,22.42,1727.59
2020,Elora,August,95,3-Aug,20.23,1747.82
2020,Elora,August,96,4-Aug,19.83,1767.65
2020,Elora,August,97,5-Aug,17.45,1785.1
2020,Elora,August,98,6-Aug,19.94,1805.04
2020,Elora,August,99,7-Aug,21.51,1826.55
2020,Elora,August,100,8-Aug,22.29,1848.84
2020,Elora,August,101,9-Aug,23.48,1872.32
2020,Elora,August,102,10-Aug,25.72,1898.04
2020,Elora,August,103,11-Aug,22.95,1920.99
2020,Elora,August,104,12-Aug,23.16,1944.15
2020,Elora,August,105,13-Aug,23.91,1968.06
2020,Elora,August,106,14-Aug,23.72,1991.78
2020,Elora,August,107,15-Aug,22.09,2013.87
2020,Elora,August,108,16-Aug,20.25,2034.12
2020,Elora,August,109,17-Aug,19.01,2053.13
2020,Elora,August,110,18-Aug,17.72,2070.85
2020,Elora,August,111,19-Aug,17.27,2088.12
2020,Elora,August,112,20-Aug,20.33,2108.45
2020,Elora,August,113,21-Aug,22.37,2130.82
2020,Elora,August,114,22-Aug,24.1,2154.92
2020,Elora,August,115,23-Aug,24.94,2179.86
2020,Elora,August,116,24-Aug,25.26,2205.12
2020,Elora,August,117,25-Aug,22.63,2227.75
2020,Elora,August,118,26-Aug,19.71,2247.46
2020,Elora,August,119,27-Aug,22.6,2270.06
2020,Elora,August,120,28-Aug,21.19,2291.25
2020,Elora,August,121,29-Aug,20.9,2312.15
2020,Elora,August,122,30-Aug,18.68,2330.83
2020,Elora,August,123,31-Aug,20.05,2350.88
2020,Elora,September,124,1-Sep,22.07,2372.95
2020,Elora,September,125,2-Sep,22.33,2395.28
2020,Elora,September,126,3-Sep,20.69,2415.97
2020,Elora,September,127,4-Sep,16.8,2432.77
2020,Elora,September,128,5-Sep,16.05,2448.82
2020,Elora,September,129,6-Sep,16.57,2465.39
2020,Elora,September,130,7-Sep,20.08,2485.47
2020,Elora,September,131,8-Sep,14.46,2499.93
2020,Elora,September,132,9-Sep,18.37,2518.3
2020,Elora,September,133,10-Sep,16.65,2534.95
2020,Elora,September,134,11-Sep,13.68,2548.63
2020,Elora,September,135,12-Sep,17.46,2566.09
2020,Elora,September,136,13-Sep,19.55,2585.64
2020,Elora,September,137,14-Sep,13.17,2598.81
2020,Elora,September,138,15-Sep,12.95,2611.76
2020,Elora,September,139,16-Sep,17.21,2628.97
2020,Elora,September,140,17-Sep,14.4,2643.37
2020,Elora,September,141,18-Sep,9.12,2652.49
2020,Elora,September,142,19-Sep,8.81,2661.3
2020,Elora,September,143,20-Sep,10.58,2671.88
2020,Elora,September,144,21-Sep,12.39,2684.27
2020,Elora,September,145,22-Sep,14.62,2698.89
2020,Elora,September,146,23-Sep,17.26,2716.15
2020,Elora,September,147,24-Sep,18.48,2734.63
2020,Elora,September,148,25-Sep,18.56,2753.19
2020,Elora,September,149,26-Sep,19.24,2772.43
2020,Elora,September,150,27-Sep,20.23,2792.66
2020,Elora,September,151,28-Sep,18.73,2811.39
2020,Elora,September,152,29-Sep,13.45,2824.84
2020,Elora,September,153,30-Sep,11.28,2836.12
2020,Elora,October,154,1-Oct,10.94,2847.06
2020,Elora,October,155,2-Oct,8.83,2855.89
2020,Elora,October,156,3-Oct,7.9,2863.79
2020,Elora,October,157,4-Oct,7.98,2871.77
2020,Elora,October,158,5-Oct,9.61,2881.38
2020,Elora,October,159,6-Oct,12.59,2893.97
2020,Elora,October,160,7-Oct,12.81,2906.78
2020,Elora,October,161,8-Oct,9.1,2915.88
2020,Elora,October,162,9-Oct,11.95,2927.83
2020,Elora,October,163,10-Oct,14.27,2942.1
2020,Elora,October,164,11-Oct,8.3,2950.4
2020,Elora,October,165,12-Oct,13.34,2963.74
2020,Elora,October,166,13-Oct,12.1,2975.84
2020,Elora,October,167,14-Oct,10.91,2986.75
2020,Elora,October,168,15-Oct,10.89,2997.64
2020,Elora,October,169,16-Oct,5.8,3003.44
2020,Elora,October,170,17-Oct,7.33,3010.77
2020,Elora,October,171,18-Oct,10.31,3021.08
2020,Elora,October,172,19-Oct,6.51,3027.59
2020,Elora,October,173,20-Oct,6.66,3034.25
2020,Elora,October,174,21-Oct,10.81,3045.06
2020,Elora,October,175,22-Oct,8.72,3053.78
2020,Elora,October,176,23-Oct,16.31,3070.09
2020,Elora,October,177,24-Oct,4.42,3074.51
2020,Elora,October,178,25-Oct,3.74,3078.25
2020,Elora,October,179,26-Oct,5.04,3083.29
2020,Elora,October,180,27-Oct,2.16,3085.45
2020,Elora,October,181,28-Oct,3.8,3089.25
2020,Elora,October,182,29-Oct,4.88,3094.13
2020,Elora,October,183,30-Oct,-0.23,3093.9
2020,Elora,October,184,31-Oct,1.1,3095
